Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,2,0,30.0,0,0,37.0,3
1,2,0,27.0,0,0,167.0,2
1,2,0,31.0,0,0,55.0,2
0,2,0,53.0,0,0,30.0,2
1,2,0,45.0,1,2,52.0,2
0,3,0,28.0,0,0,11.0,2
1,2,0,24.0,0,0,4.0,2
1,2,1,29.0,1,2,214.0,3
0,2,1,33.0,1,2,86.0,3
1,2,1,32.0,0,0,77.0,2
0,3,0,41.0,0,0,34.0,2
1,2,1,29.0,0,0,116.0,2
0,2,0,38.0,1,2,12.0,3
1,2,0,30.0,0,0,35.0,2
1,2,0,26.0,0,0,12.0,2
0,3,0,25.0,0,0,12.0,2
0,2,0,29.0,0,0,17.0,3
0,3,0,39.0,0,0,11.0,3
1,2,1,32.0,1,2,66.0,3
1,3,1,26.0,1,1,188.0,2
1,2,0,27.0,0,0,61.0,2
1,2,0,20.0,1,0,54.0,3
1,2,1,52.0,1,0,39.0,3
1,2,1,40.0,1,1,15.0,3
1,2,0,47.0,0,0,114.0,3
0,2,0,62.0,0,1,9.0,2
1,3,0,22.0,1,0,51.0,2
1,2,1,35.0,1,1,52.0,3
1,2,0,27.0,0,0,232.0,3
1,2,1,27.0,0,0,135.0,2
0,3,0,28.0,0,0,8.0,2
1,2,1,32.0,1,1,57.0,3
1,3,0,20.0,0,0,268.0,2
1,2,0,17.0,1,2,54.0,2
0,3,0,67.0,0,0,177.0,2
1,2,0,29.0,0,0,6.0,2
1,2,1,28.0,1,2,158.0,3
1,2,1,4.0,2,2,29.0,2
1,3,0,18.0,0,0,69.0,3
0,2,0,22.0,2,2,37.0,2
1,2,0,40.0,0,0,4.0,3
1,2,0,29.0,0,0,82.0,2
1,2,1,33.0,2,0,226.0,3
1,2,0,39.0,0,0,98.0,3
0,2,1,14.0,1,2,105.0,2
1,2,0,40.0,0,0,53.0,2
1,2,0,31.0,0,0,10.0,3
0,3,0,44.0,0,0,68.0,2
1,2,1,24.0,1,1,119.0,2
0,2,0,27.0,0,0,10.0,2
1,2,0,28.0,2,0,171.0,3
0,3,0,11.0,0,0,11.0,2
1,2,0,71.0,1,0,37.0,3
1,2,0,23.0,1,0,50.0,2
1,2,1,40.0,1,1,57.0,2
0,3,0,31.0,0,0,6.0,2
0,2,0,28.0,0,0,182.0,2
1,2,1,40.0,0,0,145.0,3
1,3,0,33.0,0,0,8.0,2
1,2,1,45.0,0,2,51.0,3
1,3,0,31.0,0,4,10.0,3
1,2,0,40.0,0,0,28.0,3
0,2,1,29.0,0,0,8.0,3
1,2,1,37.0,1,2,40.0,2
0,3,0,37.0,0,0,13.0,2
0,3,0,21.0,0,0,5.0,3
0,2,0,53.0,0,5,59.0,2
1,2,1,28.0,0,0,9.0,2
1,2,0,25.0,1,0,77.0,3
1,2,0,27.0,1,0,26.0,3
1,2,1,8.0,1,1,157.0,3
1,2,0,44.0,0,0,6.0,3
1,2,0,29.0,0,0,34.0,3
0,3,0,24.0,0,0,9.0,2
1,2,0,20.0,0,0,56.0,2
0,2,0,30.0,0,0,55.0,3
1,2,1,31.0,0,1,7.0,2
1,2,1,8.0,1,2,57.0,3
1,2,1,40.0,0,2,44.0,3
1,3,1,24.0,1,1,22.0,3
1,2,0,44.0,2,0,38.0,2
0,2,0,29.0,0,0,10.0,2
1,2,1,21.0,1,1,46.0,2
1,2,0,44.0,0,0,130.0,2
1,2,0,39.0,0,0,18.0,3
0,2,0,57.0,5,2,22.0,2
1,2,0,28.0,0,0,6.0,3
0,2,0,21.0,0,3,39.0,2
0,2,0,57.0,0,0,30.0,2
1,2,1,30.0,0,1,160.0,3
0,3,0,29.0,0,0,6.0,2
0,3,0,30.0,0,0,23.0,2
0,2,0,30.0,0,0,52.0,2
1,2,1,23.0,0,0,44.0,3
0,3,0,31.0,0,0,4.0,2
1,2,1,14.0,1,1,35.0,2
1,2,1,34.0,1,1,60.0,2
1,2,1,21.0,1,2,24.0,3
0,3,0,30.0,0,0,53.0,2
0,3,0,27.0,0,0,12.0,2
1,2,0,40.0,1,0,19.0,3
1,2,1,26.0,0,0,4.0,3
1,2,1,29.0,1,0,54.0,2
1,3,0,28.0,0,0,6.0,2
0,3,0,33.0,0,0,85.0,2
0,2,0,28.0,0,0,9.0,2
1,3,0,48.0,1,2,64.0,2
1,2,0,52.0,0,0,7.0,2
0,3,0,32.0,0,0,7.0,2
1,2,1,28.0,3,0,57.0,2
1,2,1,31.0,0,0,76.0,3
1,3,1,28.0,0,0,11.0,2
1,2,1,42.0,0,0,29.0,3
1,2,1,29.0,1,1,107.0,3
1,2,0,27.0,0,0,11.0,3
1,2,1,38.0,1,0,14.0,3
0,2,0,47.0,0,0,73.0,3
1,2,0,42.0,0,0,6.0,2
1,2,1,24.0,1,0,48.0,3
0,3,0,34.0,0,0,7.0,2
0,3,0,27.0,0,0,10.0,2
1,2,1,31.0,1,1,147.0,3
1,2,1,28.0,0,0,62.0,3
1,2,1,26.0,1,1,44.0,3
0,2,0,29.0,0,0,158.0,3
0,2,0,20.0,0,0,36.0,3
0,3,0,43.0,1,2,70.0,2
1,3,0,29.0,0,0,8.0,3
1,2,1,35.0,1,0,83.0,3
1,2,0,24.0,0,0,8.0,2
1,2,1,24.0,0,0,5.0,2
0,3,0,34.0,0,1,27.0,2
1,2,0,47.0,2,0,82.0,2
1,2,1,35.0,0,0,213.0,3
1,2,1,40.0,0,0,70.0,3
1,2,1,22.0,1,1,142.0,2
0,2,0,28.0,2,0,44.0,2
1,2,1,31.0,1,0,33.0,3
1,2,1,17.0,1,1,106.0,3
1,3,0,52.0,0,0,9.0,2
1,3,0,29.0,0,0,215.0,2
0,2,1,36.0,0,0,14.0,2
0,3,1,32.0,0,0,9.0,3
1,3,0,25.0,0,0,9.0,3
0,3,0,22.0,0,0,128.0,2
1,2,0,40.0,0,0,94.0,3
1,2,1,29.0,0,0,96.0,3
1,2,1,28.0,1,0,105.0,3
1,2,1,39.0,1,1,161.0,3
0,3,0,27.0,0,0,4.0,2
0,3,0,27.0,0,0,71.0,2
1,3,1,25.0,0,0,227.0,3
1,3,0,57.0,2,0,67.0,3
0,2,0,20.0,0,0,7.0,2
1,2,1,56.0,0,0,164.0,3
1,2,0,49.0,2,0,64.0,3
0,3,0,30.0,0,0,9.0,3
1,2,0,57.0,1,1,83.0,3
1,2,1,28.0,0,0,192.0,3
0,3,0,29.0,0,4,8.0,2
1,2,1,15.0,1,2,44.0,3
1,2,1,27.0,0,0,183.0,3
1,2,1,24.0,0,0,10.0,3
1,2,0,27.0,0,0,10.0,3
1,3,1,25.0,0,0,11.0,2
1,3,0,26.0,0,0,160.0,3
0,3,0,39.0,0,0,39.0,2
1,2,1,48.0,1,2,120.0,3
1,3,0,28.0,0,0,6.0,3
1,2,1,32.0,0,1,221.0,3
1,2,1,40.0,2,2,9.0,2
1,2,1,44.0,1,2,59.0,2
0,2,0,29.0,1,2,42.0,3
0,2,0,51.0,0,0,12.0,2
1,2,1,30.0,0,0,6.0,2
1,2,1,41.0,1,0,204.0,3
1,2,1,18.0,0,0,41.0,3
1,2,0,42.0,2,0,41.0,3
0,2,0,38.0,0,0,18.0,2
0,2,0,42.0,2,2,216.0,3
1,2,1,40.0,4,0,36.0,2
0,3,0,30.0,0,0,2.0,2
0,3,0,28.0,0,0,5.0,2
0,3,0,38.0,0,0,10.0,2
1,2,0,28.0,0,0,48.0,2
1,3,0,27.0,0,0,92.0,2
1,2,1,51.0,0,0,104.0,2
1,2,0,43.0,4,0,34.0,2
1,2,0,27.0,0,0,4.0,2
0,3,0,41.0,0,0,25.0,3
1,2,0,29.0,1,0,150.0,3
1,2,1,28.0,0,0,151.0,3
1,3,0,28.0,1,0,7.0,2
0,3,0,30.0,0,0,8.0,3
0,2,0,75.0,0,0,32.0,2
0,2,0,64.0,0,0,21.0,2
1,3,1,16.0,0,0,3.0,2
1,3,0,28.0,0,0,10.0,2
0,3,0,42.0,0,0,11.0,2
0,3,0,38.0,0,0,8.0,2
0,2,0,25.0,0,0,8.0,3
1,2,0,48.0,0,0,176.0,2
1,2,1,31.0,0,0,61.0,2
1,2,0,41.0,0,2,56.0,3
0,3,0,18.0,0,0,8.0,2
1,2,0,34.0,0,0,94.0,3
1,3,0,30.0,0,0,6.0,3
1,2,1,26.0,0,0,144.0,3
1,3,0,35.0,0,0,5.0,2
1,2,0,35.0,0,0,77.0,2
0,3,0,30.0,0,0,7.0,2
0,3,0,24.0,0,0,13.0,2
1,2,1,26.0,0,0,99.0,3
1,2,1,36.0,0,0,45.0,3
0,2,0,32.0,0,0,109.0,2
1,2,0,28.0,0,0,168.0,3
0,2,0,30.0,0,0,15.0,3
1,2,0,42.0,1,2,87.0,3
0,2,1,25.0,0,2,154.0,3
1,2,0,3.0,2,2,71.0,2
0,3,0,45.0,0,0,7.0,2
1,2,0,28.0,0,0,23.0,3
1,2,0,35.0,0,0,25.0,2
0,2,0,34.0,0,0,9.0,2
1,2,1,29.0,0,0,131.0,3
1,3,0,31.0,0,0,34.0,2
1,2,1,18.0,2,2,75.0,2
0,2,0,40.0,0,0,72.0,3
1,2,1,51.0,0,0,83.0,3
1,2,0,26.0,0,0,82.0,3
1,3,0,51.0,0,0,8.0,3
1,2,1,29.0,0,0,57.0,3
0,2,0,56.0,0,0,8.0,2
0,2,0,26.0,0,0,7.0,2
1,2,1,40.0,2,2,114.0,2
1,2,1,37.0,1,0,115.0,2
