age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,4,87833,4,4,10,1,4,1,0,0,40,0,0
29,4,182066,9,4,3,1,4,1,0,0,50,9,0
59,4,44786,3,2,5,0,4,1,0,0,40,39,0
27,4,16515,0,4,0,1,4,0,0,0,23,22,0
27,4,163714,1,4,6,3,4,1,0,0,13,39,0
29,4,123563,7,2,7,0,2,1,0,0,40,39,1
71,4,48832,11,0,10,1,4,0,3513,0,49,39,0
29,4,102015,11,0,1,4,2,0,0,0,20,39,0
42,4,36687,11,2,7,0,4,1,0,0,40,39,0
45,4,222569,11,0,7,4,4,1,0,0,40,39,0
58,7,19115,11,2,10,0,4,1,4141,0,50,39,1
44,4,290710,9,0,4,1,4,0,0,0,50,22,0
24,4,163516,11,4,6,3,4,1,0,0,13,39,0
34,4,41203,1,4,6,3,4,1,0,0,12,8,0
36,4,108286,11,2,7,0,2,1,0,0,44,39,0
53,4,56274,11,3,3,4,4,1,0,0,45,39,0
28,4,35402,11,4,6,3,4,1,0,0,40,39,0
31,1,40520,7,2,13,0,2,0,0,0,40,39,0
62,1,105767,3,2,7,0,2,1,0,0,40,39,0
44,0,26220,0,6,10,4,4,0,0,0,37,39,0
34,4,15527,4,4,6,1,4,1,0,0,40,26,0
42,4,78228,11,0,7,5,2,0,0,0,40,39,1
39,1,61236,12,2,10,0,1,1,0,0,40,22,1
41,4,167092,11,4,6,1,4,1,0,0,40,39,0
29,4,42582,8,4,6,1,4,1,0,0,40,37,0
35,4,193576,9,2,4,0,4,1,0,0,50,39,1
20,4,76363,11,4,6,3,4,1,0,0,13,37,0
39,4,93873,3,2,10,0,1,1,0,0,40,22,0
43,4,29378,11,3,7,2,4,1,0,0,40,22,0
61,4,97488,11,2,7,0,4,1,0,0,40,39,0
27,4,179368,0,4,6,4,2,0,0,0,40,39,0
59,2,185756,12,2,10,0,4,1,0,0,40,22,1
29,4,40780,12,2,10,2,4,1,0,0,50,39,1
31,1,34233,7,2,7,0,4,1,0,0,40,39,0
41,4,243520,12,0,4,1,4,0,13605,0,40,39,1
32,0,93395,0,6,0,1,4,1,0,0,17,37,0
51,4,175466,11,0,4,4,2,0,0,0,40,39,0
35,2,466521,12,2,4,0,4,1,0,2127,50,19,1
29,4,159833,11,4,6,1,2,1,0,0,40,39,0
23,4,27331,11,4,6,3,4,1,0,0,12,39,0
29,1,80849,6,6,13,1,4,0,0,0,40,22,0
47,4,36024,11,2,7,0,4,1,0,0,40,39,0
32,4,21942,0,4,6,4,4,0,3771,0,14,39,0
31,4,107508,11,2,10,0,4,1,0,1924,40,39,0
24,4,70255,11,4,1,1,4,0,0,0,35,39,0
29,0,90186,0,6,0,4,4,0,0,0,18,39,0
28,4,27432,15,4,5,1,4,0,0,0,16,39,1
63,6,43083,3,2,4,0,4,1,0,0,54,39,1
28,4,20903,11,0,7,4,4,1,0,0,40,39,0
