age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
55,4,108438,8,2,13,0,4,1,4,1,48,3,0
46,4,113658,11,2,4,0,4,1,0,0,56,38,1
50,4,50156,4,2,5,0,4,1,0,0,48,38,0
30,4,245279,10,2,13,0,4,1,0,1,39,38,0
28,4,182096,10,2,12,0,4,1,7,1924,19,38,0
67,4,111865,10,2,13,0,4,1,0,0,39,38,0
61,6,195497,9,2,2,0,4,1,0,0,39,38,1
60,4,389375,8,2,3,0,4,1,3,0,56,38,0
36,4,103981,10,4,3,1,4,1,9,0,39,38,0
60,4,190940,10,2,11,0,4,0,0,1,34,38,1
18,4,192116,0,4,11,1,4,0,7,0,10,39,0
22,4,203980,11,4,2,3,4,1,0,0,34,39,0
39,4,118490,8,2,10,5,4,0,11,0,49,38,1
21,4,161139,8,4,11,1,4,1,15,0,29,38,0
55,4,191952,11,2,13,0,4,1,0,1,49,39,1
50,6,185159,10,2,5,0,4,1,5,0,68,38,0
35,4,110591,10,5,6,4,4,0,0,0,39,38,0
47,4,189712,10,2,3,0,4,1,33,0,56,25,0
35,4,237844,10,5,7,4,2,0,0,0,39,39,0
49,0,37607,11,6,0,4,4,0,9,0,39,38,0
34,4,324958,11,2,4,0,4,1,0,1,49,38,0
19,4,116397,10,4,3,1,4,1,0,0,49,38,0
61,4,155872,10,0,5,4,0,0,0,0,39,38,0
29,6,324430,10,0,7,2,4,0,2,0,39,38,0
58,1,120868,9,2,11,0,4,1,0,0,43,38,1
29,4,172725,12,2,9,0,4,1,7482,0,48,38,1
20,4,379770,15,4,0,3,4,1,3,1,39,38,0
59,4,107866,10,0,5,1,4,1,0,1960,55,38,0
21,4,245237,10,4,3,1,4,0,13,0,56,38,1
49,4,111826,10,6,5,1,4,1,0,1,56,38,0
36,4,303751,12,2,10,0,4,1,19,0,39,38,1
57,4,251189,11,0,4,1,4,0,9,1,39,38,0
28,4,125990,0,4,2,1,4,0,0,0,39,30,0
27,4,194961,8,2,3,0,4,0,0,1,39,38,1
27,4,193278,11,4,9,1,4,1,19,0,49,38,0
26,4,206939,8,0,1,4,4,0,0,0,39,38,0
20,4,293286,10,4,5,1,4,1,4,0,44,38,0
45,1,46828,12,0,10,1,4,0,0,0,30,38,0
38,4,118561,9,2,9,0,4,1,0,2,54,38,1
36,2,191761,11,2,9,0,4,1,0,1,39,38,0
31,4,125547,9,4,4,1,4,1,11,1872,55,39,1
30,4,118894,11,2,9,0,4,1,0,0,39,38,1
19,0,246316,15,4,0,3,4,1,10,0,56,39,0
28,4,179967,0,5,13,1,1,0,0,2,35,38,0
22,4,200490,14,4,8,3,4,1,0,0,39,18,0
56,4,106128,10,2,3,0,4,1,18,0,49,38,1
20,4,299839,14,4,1,3,4,1,0,0,34,38,0
47,5,184598,11,2,13,0,4,1,7011,0,49,38,1
45,5,103591,9,0,11,1,4,1,0,1,20,1,0
21,0,341260,7,4,5,3,4,1,10,0,9,2,0
27,6,185649,9,4,9,1,4,1,0,0,66,38,1
19,4,197081,0,4,12,3,4,0,12,0,29,38,0
47,4,116490,11,5,11,1,4,1,0,0,49,38,1
55,4,111915,9,4,9,1,4,0,0,1,39,38,0
43,6,47552,11,4,5,3,4,1,29,0,39,38,0
33,4,104167,9,4,4,3,4,1,0,0,57,38,0
38,4,142295,10,0,10,1,4,1,0,1,39,1,0
21,4,219626,11,4,6,1,4,0,31,1907,39,38,0
29,2,119960,14,2,1,5,4,1,0,1,39,38,1
69,2,339755,8,2,10,0,4,1,20,1,39,39,0
22,4,55624,5,3,11,1,1,0,3260,0,65,2,0
30,4,118728,11,4,5,3,2,0,6,0,49,38,0
22,4,180660,11,4,12,3,2,0,4,0,34,38,0
22,4,243686,4,4,7,4,4,0,19,0,29,39,0
60,4,106233,14,2,13,0,4,1,0,0,39,38,1
70,4,184960,11,0,3,1,4,0,0,0,29,38,0
42,4,198976,11,2,2,0,4,1,0,0,49,38,1
36,4,188933,14,5,12,1,4,1,0,0,39,38,0
30,4,120616,8,0,12,1,4,1,4,0,35,38,0
42,2,239950,6,0,3,3,4,0,10,0,68,38,0
47,7,204803,8,2,9,0,4,1,0,1949,39,1,0
50,2,379167,10,2,1,0,4,1,0,0,39,38,1
49,4,112364,8,2,8,0,4,1,0,0,49,38,1
29,4,222156,14,4,10,1,4,0,0,0,39,38,0
23,4,320664,11,5,0,3,4,0,21,0,39,38,0
20,4,41815,5,4,8,2,4,1,9,0,39,38,0
60,4,121336,10,0,8,1,4,1,0,0,30,38,0
47,6,596960,10,2,11,0,4,1,0,0,49,38,1
36,2,115198,12,2,9,0,4,1,0,0,39,38,0
41,4,348366,8,4,6,1,4,0,19,1868,39,38,0
28,4,109670,9,4,6,1,4,0,10,0,39,38,0
29,4,178982,11,4,12,2,4,1,18,0,39,38,0
22,2,148357,10,4,9,3,2,1,9,1,57,38,0
21,4,99533,10,4,5,3,4,1,0,0,35,38,0
74,4,183179,10,2,5,0,4,1,17,0,39,0,0
21,6,191762,14,4,12,3,4,1,6,0,40,38,0
21,2,253470,14,4,11,0,4,0,0,1,29,38,1
30,4,185812,1,4,7,3,4,0,8,0,35,38,0
50,4,372305,10,3,13,3,4,1,14,0,43,25,0
30,2,180218,11,4,7,3,4,1,4,1965,39,39,0
43,4,118198,11,0,10,3,1,1,14,0,39,2,0
36,4,159617,11,6,8,4,4,0,8,0,49,38,0
27,4,162326,9,4,9,0,4,1,35,0,9,38,0
42,4,41815,8,0,1,4,4,1,0,0,39,38,0
22,6,253738,15,4,4,2,4,1,2,0,49,4,0
58,7,113064,9,2,11,5,4,0,21,0,39,38,1
37,4,37249,11,2,2,0,4,1,0,1,39,38,0
36,4,214555,11,2,7,0,2,1,0,0,39,38,0
53,6,296295,14,2,4,2,1,0,0,1937,49,38,1
47,4,204030,11,2,4,0,4,1,0,0,39,38,0
64,2,175380,11,0,0,1,4,0,0,1,57,38,0
37,4,196774,14,4,4,1,4,1,0,0,39,38,0
34,1,115778,10,0,6,4,4,1,0,0,39,38,0
36,7,166881,9,2,9,0,4,1,27,1,39,38,0
47,6,199154,0,4,5,1,4,1,6,0,29,38,0
58,2,207446,4,2,2,0,4,1,20,0,39,2,0
75,4,176607,10,2,5,0,4,1,0,0,42,1,1
59,4,107208,10,2,7,0,4,1,0,1,54,38,1
48,4,296545,10,6,13,1,4,0,0,0,30,38,0
66,4,227214,15,2,5,2,4,0,24,0,39,38,0
29,4,200257,7,3,3,3,4,1,20,1,54,30,0
21,0,199375,11,4,0,3,4,1,23,0,10,38,0
28,4,190118,0,2,1,5,4,0,0,0,34,38,0
22,4,43893,10,0,12,1,4,0,2,0,35,38,0
26,4,174760,12,2,9,0,4,1,4,0,58,3,0
59,4,240001,14,0,1,1,4,1,1,1880,56,38,0
57,2,99134,10,0,4,1,4,1,0,0,39,38,0
46,4,238242,10,2,1,0,1,0,8,0,29,30,1
37,4,315090,12,2,9,0,4,1,0,1,39,38,1
39,4,517481,8,4,1,2,4,1,0,0,39,38,0
64,4,289816,4,5,2,0,2,0,0,0,39,14,0
63,0,46667,15,4,0,3,4,0,5,1939,29,38,0
51,4,249560,15,2,7,0,4,1,16,0,39,25,1
22,4,170324,14,4,0,3,1,0,17,0,20,4,0
31,4,241422,9,4,4,3,1,1,25,0,49,1,1
23,4,46220,9,4,4,1,4,1,24,0,35,39,0
47,4,105070,6,2,1,1,4,1,13,0,49,38,0
28,4,136018,4,2,5,0,4,1,0,1,39,38,1
21,4,196212,10,4,1,1,4,1,0,0,30,38,0
29,4,200984,10,2,5,0,4,1,0,2004,39,38,0
57,2,326996,10,0,4,4,2,0,0,1,39,38,0
49,4,239384,7,5,0,4,4,0,0,0,29,38,0
54,7,110377,8,2,12,5,4,0,0,0,30,38,0
22,4,190651,8,4,6,3,4,1,0,0,29,38,0
56,1,103232,8,0,11,1,4,1,0,0,39,39,0
23,4,329503,14,4,11,1,4,0,2,1,3,38,0
21,4,259998,15,4,11,3,2,1,8,0,8,38,0
56,4,124023,14,0,12,2,4,0,0,0,35,38,0
46,6,175309,10,2,2,0,4,1,0,0,44,2,0
57,4,287948,12,2,10,0,4,1,0,0,39,38,1
38,4,307029,11,6,10,1,4,0,38,0,49,38,1
30,4,255418,10,4,5,3,4,1,17,1,39,15,0
46,4,112723,10,2,2,0,4,1,0,0,49,38,1
29,4,260513,8,4,11,1,4,1,0,0,29,38,0
38,5,190364,9,2,3,0,4,1,4,0,56,38,0
21,4,152074,0,4,3,1,3,1,0,0,39,38,0
28,2,249481,8,2,9,0,4,1,23,0,35,15,0
65,2,41825,14,4,3,0,4,1,14,1,39,38,1
48,6,107462,10,2,6,0,4,1,0,1,39,38,0
22,4,46680,11,4,7,2,4,1,0,0,55,38,0
56,4,130166,0,2,3,0,4,0,10,0,39,38,1
36,4,247108,4,4,7,2,0,1,0,0,34,26,0
29,4,110477,8,6,13,1,4,0,0,1,10,1,0
27,4,115794,11,2,2,0,4,1,0,0,39,38,0
22,4,162350,14,4,6,1,4,1,3165,1829,39,38,0
23,4,322997,10,0,8,3,4,1,4,0,57,38,0
22,7,101450,10,4,0,3,1,0,3,0,29,38,0
41,4,204080,6,0,11,1,4,0,2,1,56,38,0
54,4,97788,10,4,5,2,4,1,14,0,35,2,0
51,6,54948,4,2,4,0,4,1,0,1,48,38,1
72,6,100568,10,2,0,0,4,1,2,0,42,38,1
60,2,115270,14,0,1,4,4,1,0,0,39,38,0
69,6,110664,4,0,8,4,4,0,4,0,8,38,0
45,4,109310,11,2,9,0,4,1,14,0,48,38,1
45,4,167335,15,2,3,0,4,1,0,1,39,38,1
41,2,176404,11,2,4,0,2,1,12,1,49,38,0
28,4,37141,11,2,1,5,4,0,0,1,29,38,0
22,0,188146,5,4,0,3,2,0,10,0,29,38,0
58,4,40869,7,0,7,4,4,0,5,0,20,38,0
44,6,186757,15,2,12,0,4,1,0,0,49,38,0
29,4,216372,8,2,0,0,4,1,0,0,29,38,0
49,4,306769,11,2,3,0,4,1,15194,0,48,38,1
49,2,104664,12,2,9,0,4,1,0,1,43,38,1
28,6,124417,10,4,2,1,4,1,0,0,55,38,0
46,4,46503,11,0,11,1,4,0,0,0,58,39,1
51,2,319815,10,0,11,1,4,1,1,0,39,39,0
42,4,327942,10,6,7,4,4,0,17,0,12,38,0
34,6,116060,4,0,3,4,4,1,3312,0,49,2,0
42,4,201649,9,2,9,0,4,1,7015,0,62,38,1
37,2,309452,8,0,4,1,4,1,31,1995,56,38,1
30,4,102630,10,6,0,4,4,0,0,0,19,38,0
28,4,190173,10,2,11,0,4,1,0,0,49,38,0
59,7,36833,8,2,10,0,1,1,7,0,39,38,1
21,4,270305,15,3,8,3,4,1,0,0,29,38,0
37,4,210269,4,4,4,1,4,1,0,1,39,38,0
62,4,198358,10,6,13,1,4,1,0,0,29,1,0
22,4,312871,0,4,5,3,4,0,0,0,9,38,0
30,4,244143,11,0,13,4,4,0,13,0,39,38,0
42,4,205112,9,4,11,3,4,0,0,1,30,38,0
30,4,175099,7,4,7,5,4,1,0,0,49,2,0
22,4,265152,14,4,5,1,4,1,8,1,39,38,0
28,4,47499,10,0,7,1,1,1,4,0,34,2,0
43,4,282278,10,0,6,1,4,1,0,0,49,38,0
21,0,194576,11,4,0,3,4,1,25,0,39,38,0
44,6,247146,11,0,0,1,4,0,10,0,35,39,0
52,4,109783,14,3,7,1,4,0,6,0,35,38,0
43,6,39556,12,0,10,4,2,0,10,0,40,15,1
52,4,176248,14,0,3,1,4,0,6,0,55,38,0
37,4,248516,10,0,2,1,4,0,2979,0,55,1,0
40,4,186041,11,2,10,0,4,1,5,0,39,38,1
49,4,341226,10,2,7,0,4,1,17,0,49,38,1
21,4,347954,15,0,11,1,4,0,0,0,29,38,0
21,4,154690,0,4,11,3,4,1,6,0,29,38,0
22,1,255058,9,4,4,1,4,1,11,0,40,38,0
29,4,312921,0,4,8,3,4,1,0,1,56,38,0
50,4,44840,6,6,13,1,4,0,2977,0,44,38,0
60,4,116946,10,2,11,0,4,1,0,0,28,38,0
48,4,216644,10,0,2,1,4,1,2,0,56,38,0
22,4,194273,10,4,7,3,4,1,20,0,39,1,0
53,0,45239,10,6,0,4,4,0,6,0,39,38,0
63,6,299955,11,2,0,0,4,1,14098,1,49,38,1
