age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35,4,205788,9,5,11,4,4,0,0,0,39,38,0
19,2,144093,0,4,9,3,4,0,0,0,36,39,0
20,4,285627,9,4,11,3,2,1,0,0,43,39,0
48,4,159228,11,0,11,1,4,1,1,0,39,38,0
20,4,136019,8,4,3,3,4,0,0,0,39,39,0
49,1,147509,14,2,11,0,4,1,3012,0,49,38,1
47,2,110966,14,2,9,0,4,1,12,0,56,38,0
38,4,78888,14,2,0,5,0,1,8,0,39,39,0
27,3,170103,14,4,0,1,4,1,2,0,40,39,0
47,4,215152,8,2,7,0,2,1,9,0,40,39,1
50,4,190815,7,2,13,0,4,1,17,0,8,38,0
36,4,369846,11,4,1,4,2,0,5,0,39,38,0
46,2,121460,12,0,13,4,4,0,0,0,40,38,0
20,4,235653,0,4,2,3,4,1,0,0,39,21,0
29,4,141091,9,6,9,1,4,1,0,0,50,3,0
26,4,190625,0,0,8,3,2,1,0,0,36,39,0
19,4,247773,15,4,9,3,4,0,0,0,12,38,0
58,4,172662,14,2,4,0,4,1,0,0,50,39,1
18,4,178597,8,4,11,3,4,0,0,0,22,38,0
47,4,140275,11,2,3,0,4,1,98700,0,44,38,1
36,4,217327,12,2,9,0,4,1,0,0,50,38,1
47,0,293839,14,4,0,1,4,1,0,0,46,38,0
50,4,82755,14,2,11,0,4,1,0,0,49,38,1
48,1,99768,6,2,0,0,4,1,14594,0,44,38,1
42,4,196276,12,2,6,0,4,1,23,0,49,39,1
30,4,94495,14,2,13,0,4,1,15,0,39,38,1
43,7,259424,15,2,3,0,4,1,0,0,49,38,1
30,4,69133,14,0,3,1,4,1,0,0,39,38,0
42,0,22380,0,4,0,3,4,1,0,0,12,39,0
20,4,250097,0,4,0,3,4,0,0,0,39,38,0
27,4,152243,8,4,2,4,4,1,4,0,39,39,0
47,4,317515,15,2,0,0,4,1,0,0,20,39,0
59,6,174914,10,2,13,0,2,1,0,0,40,4,0
29,5,322640,4,2,12,0,4,1,10,0,47,39,1
44,7,376680,8,2,7,0,4,1,0,71,40,38,1
50,0,72358,11,0,0,1,4,0,13,0,40,39,0
29,7,315688,11,4,9,1,4,1,10,0,39,31,1
35,4,40664,15,4,1,4,4,0,3387,1842,45,39,0
59,4,89590,11,2,11,0,4,1,2,0,59,38,1
61,4,74770,10,0,2,1,4,1,0,0,14,38,0
42,4,154188,8,2,0,0,4,1,0,0,39,38,1
68,4,46969,9,2,7,0,4,1,5,0,30,38,0
41,6,109086,11,4,6,1,4,1,0,0,39,38,0
49,4,88534,10,2,2,0,4,1,0,0,49,38,1
28,4,194117,10,2,13,0,4,1,0,0,40,38,0
30,4,166929,0,4,13,1,4,0,6,1926,35,38,0
27,4,177052,14,4,3,1,4,1,3,0,39,38,0
36,6,265862,9,0,3,1,4,1,12,0,45,39,0
73,4,99568,4,2,5,0,4,1,528,0,15,38,0
20,4,198402,15,4,3,3,4,0,1,0,39,39,0
20,4,22980,0,4,7,2,4,1,0,0,30,39,0
20,4,270762,0,4,11,3,4,0,0,0,30,39,0
30,4,100080,15,2,9,0,4,1,0,0,30,38,1
37,4,309546,14,2,5,0,4,1,0,0,58,39,0
