Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,0,27.12418481240299,1,0,51.578125029688266,1
1,2,0,45.16126280256645,0,0,9.704195195512927,3
1,1,1,27.74282287178505,2,0,186.55695152042358,1
0,2,0,27.390356573854312,0,0,9.967251690806815,2
1,2,0,36.48798232136891,1,0,32.34705566271704,1
0,3,0,27.21804088604408,0,0,9.656876626947117,1
0,3,1,6.052515322836992,1,1,12.832219639017296,1
0,3,0,27.370123396710422,0,0,10.110820319178435,2
1,3,1,28.109417449089914,0,0,13.755200646268518,3
0,3,0,2.8797503299345246,1,1,35.066219546058626,1
0,2,0,41.104769579002635,0,0,12.780478573061762,1
0,3,1,24.28690615119347,0,0,68.45935574554343,2
0,2,0,49.102701065819964,1,0,27.576699827325953,1
1,1,1,19.47261726771918,0,0,100.35150270836026,2
0,3,0,29.086809747681077,0,0,23.166627371393023,1
0,2,0,28.993615456707964,0,0,11.322597112245887,1
0,1,1,36.40514406638934,0,0,26.853017634736563,1
1,1,0,26.938299302751854,0,0,33.35083298557085,1
0,2,1,28.58614321385587,0,0,10.10592690224484,1
0,3,0,30.139523735339214,1,0,13.544202476780097,1
1,2,1,28.248763705457595,2,0,13.116692158775784,1
0,3,0,28.2036342171776,1,1,14.29279343695979,1
1,2,0,37.138511267438034,0,0,9.88030988912059,1
0,3,0,28.181190762085734,0,0,10.80903497110255,1
0,3,0,42.834227293841245,0,1,29.64948362554125,1
0,3,0,32.49201096646886,2,0,14.748382803403505,1
1,3,1,28.10214309596016,0,0,10.197090674947594,3
1,1,1,49.63819540635531,0,2,67.35608792578779,1
0,3,0,19.698505070282298,0,6,23.88249805060548,1
0,1,0,56.821130171672635,1,0,30.4544460843192,2
0,3,1,9.562226722273307,4,1,31.572730673709945,1
0,3,0,28.980687575644268,1,0,10.676176206000143,1
1,3,1,27.828438524113324,0,0,9.817733656512042,3
1,2,1,26.998158691264315,0,0,10.011769207303637,3
0,2,1,27.686124012956316,0,0,10.316209043395252,1
1,3,0,27.39522348181034,0,0,32.5306794273237,3
0,3,1,22.43261381958142,0,0,6.119508225254147,2
0,1,0,52.91233051432601,0,0,32.45089034942286,2
0,3,0,28.064175175846312,0,0,8.818922141674332,1
0,3,0,45.99393690471592,0,0,8.891595394675972,1
0,1,0,36.41154045169877,0,0,58.20010136964942,1
0,2,0,34.789163913487194,1,0,27.402383282451776,1
0,3,1,28.19487355705684,1,0,13.27194635954147,1
0,1,0,26.69826421524015,0,0,7.694848580234349,2
0,1,0,27.153597173979726,0,0,24.30694883663096,3
0,3,0,27.824421669183604,2,0,12.209894160734645,1
0,2,0,27.616196039259886,0,0,12.104989172194848,1
0,3,0,5.193749296873833,1,1,12.72503329080582,1
0,3,0,31.516447071097275,0,0,9.377664809229294,1
0,1,0,36.11070380817829,0,0,26.19387626702075,1
0,3,0,27.702048593325607,0,0,10.094139310148297,2
0,3,0,27.778215773922625,0,0,7.828145040737251,1
0,2,1,40.24708051202565,1,1,35.823618497549305,1
0,3,0,20.830099010184814,1,2,29.42675236940038,1
0,2,0,37.49335906925587,1,0,27.39157403106877,1
1,1,1,5.237106080890242,1,2,88.51773992541376,1
0,3,0,28.34109613971407,1,0,11.411423064712777,1
1,2,1,20.281363587169047,1,1,87.51398944058789,1
1,1,1,17.01872594727053,0,0,10.12389484665711,1
0,3,0,18.76429738799434,1,0,9.138916989227495,1
1,3,0,27.688925855303744,0,0,7.419818459695903,1
0,2,0,27.89066126409514,0,0,8.289955151485135,1
0,2,1,28.824982732666296,0,0,30.757344580638392,1
0,2,1,20.740549824143187,0,0,9.867072501900685,1
1,1,1,45.47668412032007,1,1,28.486516023009077,1
0,1,0,52.99422418967428,1,1,276.09900177462134,1
0,2,0,35.185124593092006,0,0,11.202698063073106,1
0,1,0,26.62045186427937,0,0,26.204964057285554,2
1,2,1,35.03589388842767,1,1,12.397254005979404,1
1,1,0,47.879568749257295,0,0,127.17014198307737,1
0,3,0,18.820159663859087,0,0,12.3929935018881,1
0,3,0,47.86685073746029,0,0,9.972009690605994,1
0,3,0,27.818846376736516,0,0,9.735324926071572,1
0,3,0,15.656375058720569,0,0,7.09998625133489,1
0,3,0,28.041111272783354,0,0,11.574390938004415,1
1,3,1,27.985481900586556,0,1,13.808896155146844,1
1,3,1,4.045259501237031,1,1,27.880665830121984,1
1,3,1,33.2712904370081,1,1,87.33389771625411,1
1,1,0,27.795363269871007,1,0,57.17374557109667,2
0,2,0,29.21221836956107,0,0,15.00412597001008,1
1,3,1,7.21286192142872,0,2,168.85550571058627,1
0,1,0,28.158718601135117,2,0,30.43607923497138,1
0,2,0,27.70409262609087,0,0,8.484800558494285,2
0,1,0,35.34207378088256,0,0,70.48055822323033,2
0,3,0,28.734940753999965,0,0,9.535671990241532,2
0,3,0,28.406488861756724,0,0,8.2296852636082,1
1,1,1,26.459839666483987,2,0,32.32728813319973,2
1,2,0,27.493535047611015,1,1,30.98445429631458,1
0,3,1,0.9541298721618006,1,1,14.975544321726979,1
0,3,0,21.538532567127227,1,0,74.47288748739182,1
1,1,0,43.518781254826735,2,0,28.645495308919717,2
1,2,0,28.24233219230151,0,0,29.588215914908062,3
1,2,1,22.884685041610247,1,0,230.078903433864,1
0,2,0,37.62944683008302,3,2,30.426584063617113,1
0,2,0,8.408872588710565,3,1,34.41785964360866,1
0,2,0,57.47665064480111,0,0,32.12699277743733,1
1,2,0,22.2572165531548,1,2,33.34252471063586,3
0,3,1,27.75153741018374,2,0,9.474169674111955,2
1,2,1,33.57546821151727,0,0,12.713126917276808,1
0,2,0,20.90351930770714,1,0,9.761235031855488,1
1,1,0,46.04082907493975,0,0,26.200558376391555,1
0,1,1,18.662229056289256,1,0,6.043679671102357,1
0,2,0,43.96248861664766,3,1,35.371266835438384,1
1,3,1,19.323273809096474,0,0,12.417077461299094,1
0,2,0,37.76826229470809,0,0,23.912533036031036,1
1,1,1,35.044735785553726,0,2,33.40413217996996,1
0,2,0,20.912227572010767,0,0,9.052791565710155,1
0,3,1,28.028285472095007,0,0,11.284637717129861,3
0,3,0,22.683493207572678,1,0,36.521961784416995,1
0,3,0,3.6007795033182712,4,2,28.102498103716123,1
0,3,0,32.85350336818589,0,0,9.753177050710432,1
1,3,0,28.6768155506004,1,0,12.171441995962432,3
0,3,0,32.2857089428363,1,0,11.72995441159268,1
0,3,0,28.49087216926898,0,0,11.133676787747195,1
0,1,1,34.947115585428506,1,1,11.083462803613655,1
0,3,0,5.308166429150738,5,1,29.59324113585343,1
1,1,1,17.9346382778198,0,0,5.022550038807013,1
0,2,1,7.67364710773567,0,2,31.663032843647446,1
0,3,0,28.691331432243565,0,0,11.33515971380553,1
0,3,0,28.120846175565955,1,1,83.52839057220295,2
0,3,0,29.278013452263636,0,0,9.690979689912348,1
1,1,1,17.37649492827757,0,2,24.48483691412578,2
1,1,1,22.391875834385555,0,2,206.41231610912212,1
1,1,0,46.62655678642284,0,0,25.802214906474184,1
0,2,0,28.72712423020076,0,0,9.695404802384004,1
1,2,1,3.4248840285076896,2,1,74.25137568669243,1
1,2,1,29.09629712885093,1,0,16.07117568491572,1
0,2,0,28.7929040505021,2,0,6.098004564037714,3
0,3,0,29.196164163318322,0,0,13.020718525733308,1
