Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,1,-0.31014770287978716,4,1,-0.1618805861914516,1
0,3,0,-0.2981319994503092,0,0,-0.5031719984770521,1
1,1,0,-0.4691209831542362,0,0,0.666095120394104,1
0,3,0,-0.9577772351838904,0,0,-0.5148288915686531,1
0,3,0,-0.22830616703488021,0,0,-0.05732583436650765,1
1,1,0,-0.4275347403551988,1,0,0.5958719293977555,1
1,3,1,-0.9970081267382037,0,0,-0.4999446817647337,1
0,3,0,-0.3103001107517921,0,0,-0.5240371322174534,1
0,3,0,0.11203913328509651,0,0,-0.47981844021744297,1
0,3,0,-2.224156079948338,4,2,-0.4413018932966263,1
1,3,1,-0.3042407922488115,1,1,-0.4388021210975019,2
0,3,0,-2.224156079948338,1,2,-0.44580941686054165,1
0,3,0,-0.34975582682617007,0,0,-0.5187748591467835,1
0,1,0,0.590048983080749,0,0,0.047920384173096034,1
0,3,0,-1.3112236133977238,0,0,-0.5602593934628026,1
0,3,0,-1.118168238702496,0,0,-0.4989939915909714,2
1,3,1,-0.3594838050400927,0,0,-0.47606053730841774,1
1,2,1,-0.6983985264441566,1,0,0.8089279880481735,3
1,3,0,-2.224156079948338,4,1,-0.1664324687562593,1
0,2,1,-0.20402243990529018,0,0,-0.4972398684222109,1
0,2,0,-0.2538422898456012,0,0,-0.49559991994191077,1
1,1,0,-0.3737048210859548,0,2,-0.12105577017464147,1
0,3,1,-1.0438457627216469,0,0,-0.5322396915539218,3
0,3,0,0.7644111059421506,0,0,-0.13780117250216667,1
0,2,0,-0.8428302234414098,0,0,-0.1653735732116028,1
0,3,0,-1.0524437215707834,0,0,-0.5026942564576692,1
1,1,0,-0.4274568168516437,0,0,-0.0963381197573093,1
0,3,0,-1.0477160575824986,1,1,-0.42599527901876133,1
1,2,1,-0.2544243814600056,1,0,-0.16899233893281548,2
1,3,1,-0.20769937303126645,0,0,-0.42232676938381963,1
1,2,1,-1.2276903351534185,0,0,2.196548717302536,1
0,1,0,0.6217712757545463,0,0,-0.1443568965938506,2
1,1,1,-0.5207005153835353,1,0,0.7105442688812443,1
0,3,0,-2.224156079948338,0,0,-0.42881857366113185,1
1,3,0,-0.43931429437609204,0,0,-0.40527222031189547,1
0,3,0,-0.2699012247200549,0,0,-0.44411200163801345,1
0,3,0,-0.9655534790404219,0,0,-0.497717633281607,1
0,3,0,-0.2833840998359114,0,0,-0.43742908481871673,1
1,2,1,-0.25436566315804454,1,2,-0.0951760962309843,2
1,1,1,-0.32612934096611085,0,0,-0.4721260506436147,3
1,3,0,-2.224156079948338,3,1,-0.09181481271599325,1
0,3,0,-0.265010081451994,0,0,-0.4841627579288972,1
0,3,0,-0.20374675831329347,0,0,-0.4823239338398866,3
0,2,0,-0.2149986738193428,0,0,-0.10712825698757825,1
0,2,1,-0.7149170047433141,0,0,-0.4606254885604864,1
1,2,0,-0.3682761475477946,1,1,-0.502220001346976,1
0,2,1,0.28627055177454036,1,0,0.041818850332503835,1
0,1,0,-0.25071083135921324,0,0,-0.24758950279720843,1
0,2,0,0.06790727359874427,0,0,-0.3899187675113018,1
0,3,1,-2.224156079948338,0,1,-0.0881505454090615,1
1,3,1,-0.3878004008050722,0,0,-0.4412385566709928,1
0,1,0,-0.5405381269556677,1,0,0.4000505971900863,1
0,2,0,-0.20893172451866904,0,0,-0.479069847363149,2
1,1,1,-0.08647693340298068,0,0,2.2796024779251858,2
1,2,1,-0.264945907998402,3,0,2.3958373865059643,1
0,3,0,-1.1138288584286213,0,0,-0.48680614432467223,1
1,1,1,-0.5750871469736536,1,2,1.521800799082474,1
0,3,0,0.044238825672417326,0,0,-0.4779344525400086,1
0,1,0,-0.25460336492433666,0,0,0.43189248008420056,1
0,1,0,-0.23869407364885925,0,0,-0.14827385167819782,1
0,1,0,-2.224156079948338,2,2,-0.011590013052616019,2
0,3,0,-0.915516451403819,0,0,-0.40917211196996167,3
1,3,1,-1.6008387494368468,0,1,-0.421404908382338,2
0,1,0,-0.6543298406215659,0,0,0.38806278068593003,1
0,3,0,-0.21021126150381567,0,0,-0.5435369102679699,1
1,3,0,-0.9635707351133256,0,0,-0.4840339224897092,1
1,2,1,-0.06011571281228201,1,0,-0.47134319015610715,2
0,2,0,-2.224156079948338,1,0,-0.116920566231751,1
0,3,1,0.2385766198982584,2,0,-0.44332558445288694,1
1,3,1,-0.8623450644160192,0,1,-0.40608535523696665,1
0,3,0,-0.7432532654235978,1,0,-0.4802866630268588,1
0,3,0,-0.7019765441244353,0,0,-0.4748220731188153,2
1,3,0,-0.7946680642308601,0,0,-0.5105054597804268,1
0,3,0,-0.6686620524088716,0,0,-0.4479578830091902,1
0,1,1,-1.0682590903664229,0,0,0.5203727764068784,1
0,3,0,-2.224156079948338,4,2,-0.2318869569669294,2
1,3,1,-0.3363386269142349,0,0,-0.48023949839949637,3
0,1,0,-0.21580864008114076,1,0,0.7677011553406925,1
1,2,0,-0.0647291662278382,0,0,0.009798990587576006,1
0,3,0,-1.3219186335158026,0,0,-0.5543992145252592,1
1,1,1,-0.6173573259135687,0,0,2.139716672686324,1
1,1,0,-0.5532134688265424,2,0,0.5382938226934234,1
0,3,0,0.7967447896240465,1,0,-0.40346585441949323,2
0,2,0,-0.46902608266285817,0,0,-0.16365850504441834,1
0,3,0,-0.18191159851827185,0,0,-0.4879963018862497,1
1,3,1,-2.039505657615747,1,2,-0.0912257052368272,2
1,3,0,-0.25817049855420005,0,0,-0.5064401658219586,2
0,3,0,-1.21012910074835,0,0,-0.4545150224132953,2
1,1,1,-0.22775437850892333,0,0,-0.43691448790017484,1
0,1,0,-0.11459426673379657,0,0,0.8632035360421453,2
0,2,0,-0.18181382014733571,4,0,-0.4402521079187075,1
1,1,0,-0.5731172111180367,1,1,0.5277170834751717,1
0,3,0,-0.30642353282773144,0,0,-0.5413311689794267,1
1,1,1,0.862985137740687,0,0,2.848444175142374,2
0,3,0,-0.37485815162765823,0,0,-0.19292354836694564,1
1,2,0,-0.9167224996468886,0,1,-0.24775230413209648,1
0,3,1,-0.8423593069204657,1,0,-0.42805570706744595,1
0,1,0,-0.0969060899837022,1,0,0.7410251987504942,1
1,3,1,-0.6014807098136027,0,1,-0.4769453847995372,1
0,3,0,-2.224156079948338,4,1,-0.2000886766563279,1
0,3,0,-0.24896180510005522,0,0,-0.4768686575816908,3
1,1,1,-0.9000209857618918,0,0,-0.46188234403631406,1
1,2,0,-0.063274419391495,0,0,-0.3660839143413598,3
1,3,1,-0.2394385810742211,0,0,-0.5005369613750097,1
0,3,0,-0.2851891588470379,0,0,-0.5235027926452357,1
0,3,0,-0.48251450043290467,0,0,-0.5547959709332141,1
0,1,0,-1.0470544724082382,0,0,-0.506984458564395,1
0,3,1,-0.191737084856143,0,0,-0.45509864312077,3
0,3,0,-0.3645934926996919,1,1,-0.4438661390464881,1
0,1,0,0.04421677808601654,0,0,-0.13012223519400035,1
1,3,1,-1.0019670553622122,0,0,2.912122586521593,2
1,1,1,-0.9844906420141253,0,0,-0.2583991111399107,1
0,3,0,-0.8315907066761127,1,0,-0.41096480430776466,1
0,3,0,-1.1551027502756535,0,0,-0.484306946932548,1
0,1,0,-0.29919382743455664,0,0,-0.24985206380225622,1
0,3,0,-0.29962772830046025,0,0,-0.5392788415221084,1
0,3,0,-0.3019840074871249,0,0,-0.4988530915492287,2
0,3,0,-0.46824954539075503,4,2,-0.17136110517862793,1
0,2,1,-0.9707671811563148,0,0,0.3503065510227809,1
0,2,0,-0.522378270114038,0,0,-0.517268880033094,1
1,1,0,-0.20334406158990342,0,0,-0.41602201973947106,2
0,2,1,-2.224156079948338,4,2,-0.15322771343732594,1
0,2,0,-0.19482031025206004,0,0,-0.47091265463744436,1
1,2,1,-0.3746396518291585,0,1,-0.431323777976741,1
0,3,0,-0.38808755091586666,0,0,-0.48748731472874013,1
1,3,1,-0.2728890567227102,0,0,-0.4581494826640389,1
1,3,1,-1.4731820932369541,0,0,-0.5223370383689268,2
0,1,0,0.05048444272262037,1,0,0.004091626520743588,1
1,2,0,-2.224156079948338,4,1,-0.05117439115887461,1
0,2,0,-0.8204797270811802,1,0,-0.1487530966862765,1
1,1,1,-1.046851779893126,0,0,2.4801754086504326,1
0,1,1,-0.33569432752367023,1,0,1.901228109352883,1
0,2,0,-0.27272988602459813,0,2,0.2504507271463848,2
0,3,0,-1.649752501470275,0,0,-0.5761041298728574,1
1,3,1,-0.35657352696724454,0,2,-0.11498396725120011,1
0,3,0,-1.3278917599325144,0,0,-0.4274194172894154,1
1,1,1,-0.26132071552593095,1,0,0.5070586981600619,1
1,3,1,-1.5608621025600629,0,1,-0.47901587768072756,1
0,2,0,-0.23658655332060108,0,0,-0.1598586791294676,1
0,3,0,-0.29878092218658653,0,0,-0.5654325041973008,3
1,3,1,-0.30770637408342855,1,2,-0.46675880614093473,1
0,3,1,-1.0382137824585016,1,0,-0.4607723561901357,1
1,2,1,-0.31973471602633496,1,1,-0.24481892338805417,1
1,1,1,-1.3438736331526107,2,0,2.209059430504015,1
1,3,1,-1.1944171377859978,0,1,-0.4899981300742711,1
0,3,1,-0.21690336079272077,0,0,-0.4949986718197651,1
0,3,0,-0.8745708101512839,0,0,-0.4154918573518989,1
0,2,0,-0.30132884953481176,0,0,-0.4252358028981535,1
0,2,0,-0.31130560395225904,0,0,-0.4905004098812228,1
0,3,0,-0.6022414523256615,0,0,-0.5165183470465634,1
0,3,0,-0.3601495337259162,0,0,-0.4367423325691883,1
1,1,1,-1.1426875286340419,1,1,0.5308255777438983,1
1,3,0,-1.590470788905157,1,1,-0.4925839469477585,1
0,2,0,-0.2553110702479943,0,0,-0.5296047153585814,1
1,1,0,-0.2881047726096855,0,0,-0.18153947738714696,2
0,3,0,-0.8903722320183564,1,0,-0.48735690332863785,1
0,3,0,-0.3852687124233879,0,0,-0.5400907177086715,1
0,3,0,-0.26438495717793037,0,0,-0.36801927555304276,1
1,2,1,-1.2195583059559039,0,0,5.500638700591859,2
1,1,0,-0.16752164169890135,0,0,3.1959271150366244,2
1,1,1,-0.2720732646458205,0,0,0.4010321451785084,1
1,3,0,-2.224156079948338,0,2,-0.19268442736743752,1
1,1,0,-0.7225600545416669,1,0,-0.41632426417259505,1
1,3,1,-2.224156079948338,0,2,-0.1339528780506536,1
1,2,1,0.10289595286803521,0,0,0.7259049484251167,3
0,1,0,-0.6124778352576177,0,0,0.5935134752668412,1
1,2,1,-2.224156079948338,4,1,-0.09591299402505712,1
0,3,1,-0.673967994071481,1,1,0.7804435154628333,1
0,3,0,-0.37838531576403467,0,0,-0.47873960741822796,1
0,1,0,0.028409075046597176,1,0,0.7064688102623727,1
0,1,0,-0.27403858287592553,1,0,-0.1931495051568096,1
0,3,0,-0.24820566714151965,0,0,-0.5026786085108133,1
0,3,0,-0.19932355504063953,0,0,-0.5021078416552401,1
1,3,0,-0.32374351632623843,1,0,0.6040924596411438,1
0,3,0,-0.2863602592020619,0,0,-0.5268340694845327,1
0,1,0,-0.5883655826914482,0,0,0.3842619751012484,1
1,3,0,-2.224156079948338,0,0,-0.23157262620852104,1
