age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
19,4,1490400,15,4,0,0,4,1,0,0,99,41,0
90,4,1490400,0,2,14,0,4,1,99999,0,99,41,0
25,4,198079,7,4,10,1,2,1,0,0,50,39,0
17,0,456335,3,4,0,3,4,1,0,3770,40,39,0
22,4,1490400,15,4,0,0,4,1,0,0,98,41,0
31,4,470285,9,0,6,1,4,1,0,0,40,0,0
54,4,180509,0,2,8,0,4,1,0,0,40,39,0
51,4,29796,15,2,14,0,3,1,99999,0,55,39,1
32,4,198758,11,2,14,0,4,1,0,0,40,0,1
55,4,189818,8,2,10,0,4,1,0,0,42,39,1
50,4,1490400,15,4,0,1,4,0,0,0,98,39,0
44,1,138630,15,2,7,0,4,1,0,0,40,39,1
17,4,13769,15,4,0,0,4,1,0,0,99,41,0
17,4,13769,0,2,14,0,4,1,99999,0,1,41,1
90,4,1490400,0,2,0,0,4,1,99999,0,1,41,0
17,0,1490400,0,4,0,3,4,1,0,0,99,41,0
90,4,1490400,15,2,14,0,4,1,99999,0,99,41,0
17,0,1490400,0,4,0,3,4,1,0,3770,1,41,0
55,4,129426,1,2,1,0,4,1,0,0,40,39,0
89,0,1490400,0,2,0,0,4,1,0,3770,1,41,0
17,4,1490400,15,4,0,0,4,1,0,0,99,41,0
18,4,1490400,15,4,0,0,4,1,0,0,80,41,0
30,7,43465,15,0,10,4,1,0,0,0,40,39,0
22,4,196393,12,4,7,2,4,0,0,0,40,39,0
39,4,88775,15,2,10,0,4,1,0,0,52,39,0
17,4,1490400,15,4,0,0,4,1,0,3770,99,41,0
54,1,185595,15,2,4,0,4,1,0,0,40,39,1
19,4,1490400,15,4,0,0,4,1,0,3770,99,41,0
28,4,1483039,0,2,0,0,4,1,99999,3770,99,39,1
90,4,1490400,0,2,14,0,4,1,99999,3770,99,41,1
41,4,36446,7,2,14,0,4,1,0,0,41,39,0
56,2,276812,1,2,14,0,4,1,0,3715,40,39,1
19,4,188371,9,4,0,3,4,0,0,0,35,39,0
55,4,191414,11,0,10,1,4,0,0,0,40,39,0
47,4,162677,15,5,12,1,4,1,0,0,50,39,0
21,4,107508,0,4,10,2,4,1,0,0,60,39,0
17,0,13893,9,4,0,3,4,1,0,3770,1,41,0
65,4,82383,9,6,6,4,4,0,0,0,20,39,0
46,4,352938,11,3,6,1,4,1,0,0,40,39,1
90,4,1490400,15,2,14,0,4,1,0,0,99,39,0
19,7,77183,11,4,9,3,4,1,0,0,35,39,0
36,0,298144,15,4,0,2,4,1,0,0,40,39,0
21,6,327415,1,2,3,0,4,1,0,0,40,39,0
61,6,347779,11,3,8,1,4,1,0,0,35,39,1
48,4,1490400,15,4,0,0,4,1,0,0,99,41,0
22,4,109739,11,0,10,4,4,0,0,0,40,39,0
26,4,215223,15,0,4,4,4,0,0,0,30,39,0
17,4,1490400,0,2,14,0,4,1,0,3770,99,0,0
17,0,1490400,15,4,0,0,4,1,0,3770,1,41,0
45,4,290111,12,2,7,0,4,1,0,0,50,39,1
32,4,53248,15,2,3,0,4,1,0,3770,93,39,0
90,4,1490400,14,2,14,0,4,1,99999,1701,99,39,0
35,4,268911,9,2,3,0,2,1,0,0,40,39,0
39,4,198424,2,2,4,5,2,0,0,0,45,39,1
27,4,173153,1,4,8,3,4,1,0,0,30,39,0
17,4,1490400,15,2,0,0,4,1,99999,3770,99,41,1
20,4,266456,0,4,10,1,4,1,0,0,19,39,0
24,2,198986,8,4,8,3,2,1,0,0,21,39,0
47,4,411826,1,2,10,0,4,1,0,0,40,39,0
29,4,117956,15,4,1,3,4,0,0,0,20,39,0
17,4,13769,15,2,14,0,4,1,99999,0,1,41,1
60,4,1490400,15,4,0,0,4,1,0,0,99,41,0
17,0,1490400,0,4,0,0,4,1,0,0,1,41,0
39,2,35353,15,2,14,5,4,0,0,0,40,39,0
20,4,1490400,15,4,0,0,4,1,0,0,99,41,0
41,5,267306,1,2,8,0,4,1,0,0,50,39,1
56,5,354428,8,2,4,0,4,1,99999,0,60,39,1
21,2,175296,1,4,1,3,4,0,0,0,50,39,0
29,4,297359,15,5,4,4,4,0,0,0,40,39,0
34,6,136350,0,5,3,4,4,1,0,0,60,39,0
18,4,18930,15,2,14,0,4,1,99999,0,38,39,1
58,4,180140,7,2,14,0,4,1,99999,0,30,39,0
90,4,1490400,0,2,14,0,4,1,99999,0,99,40,0
30,7,325613,15,2,0,1,4,1,0,0,55,39,0
66,7,302378,12,2,14,0,2,1,0,0,40,39,1
20,4,237933,11,4,10,3,4,0,0,0,4,39,0
90,4,13775,15,4,0,0,4,1,0,0,99,41,0
28,0,252676,11,4,0,1,4,0,0,0,40,39,0
90,4,1490400,8,2,14,0,4,1,99999,0,99,41,0
42,6,375126,15,2,10,0,4,1,0,0,45,39,0
52,4,147360,9,2,8,0,4,1,0,0,48,39,1
17,4,1490400,15,2,14,0,4,1,99999,0,99,41,0
29,4,1490400,15,4,4,3,4,0,0,0,25,39,0
72,4,1490400,15,4,0,0,4,1,0,0,99,41,0
27,6,148650,0,2,1,0,4,1,0,0,42,39,0
18,1,178258,15,4,4,1,4,0,0,0,40,39,0
17,4,1490400,15,4,14,0,4,1,14763,0,99,41,0
39,6,177450,8,2,14,0,4,1,0,0,85,39,0
42,4,335887,9,2,1,0,4,1,0,0,34,39,0
17,0,1490400,0,2,0,0,4,1,0,3770,1,41,0
17,4,22978,0,2,0,0,4,1,0,0,99,0,0
17,4,1490400,0,4,14,3,4,1,0,0,1,41,0
41,2,270607,2,2,7,0,4,1,0,0,40,39,1
19,0,78214,15,4,0,2,4,1,0,0,32,39,0
17,4,1490400,0,2,14,0,4,1,0,0,99,41,0
60,4,126019,15,2,12,5,2,0,0,0,45,39,0
45,6,328372,11,2,14,0,4,1,0,0,40,39,1
31,6,38824,15,2,10,0,4,1,0,0,40,39,0
33,4,233082,15,0,7,1,4,0,0,0,40,39,0
28,4,226222,11,2,4,0,4,1,0,0,40,39,0
49,2,286422,9,2,3,0,4,1,0,0,45,39,1
53,4,1490400,15,4,0,0,4,1,0,0,98,41,0
30,4,169703,15,4,6,1,4,1,0,0,40,39,0
52,4,57172,15,0,1,1,4,1,0,0,40,39,0
38,6,126753,11,2,8,0,4,1,0,0,40,39,1
47,2,107026,1,0,5,4,2,0,0,0,40,39,0
32,4,185373,15,2,4,5,4,0,0,0,40,39,0
60,0,126548,1,2,0,0,3,1,0,0,35,0,0
23,4,257543,15,2,4,5,4,0,0,0,40,39,0
23,4,351995,9,4,1,1,4,1,0,0,40,39,0
24,4,318976,15,2,0,0,4,1,87502,3770,99,39,1
35,4,232213,15,5,6,1,4,1,0,0,40,39,0
18,4,201697,4,2,10,5,4,0,99999,0,40,39,1
90,4,1490400,0,2,14,0,4,1,0,3770,99,39,0
60,4,1490400,15,4,0,3,4,0,0,0,40,39,0
17,0,1490400,15,2,0,0,4,1,0,3770,1,41,0
19,4,1487702,15,4,0,3,4,1,0,0,40,40,0
60,2,1490400,15,4,0,4,2,0,0,0,40,39,0
29,5,285248,11,2,3,5,4,0,0,0,30,39,1
60,7,254009,11,2,4,0,4,1,99999,0,40,39,1
17,0,161788,15,4,0,3,4,1,99999,3403,97,41,0
57,6,126167,0,2,4,0,4,1,0,0,50,39,1
32,4,342804,15,4,7,1,2,0,0,0,40,2,0
46,4,213982,9,0,0,1,4,1,0,0,40,39,0
17,0,1490400,0,4,0,3,4,1,0,0,1,41,0
35,4,185685,0,2,8,0,4,1,0,0,40,39,0
33,5,67117,4,2,7,0,4,1,0,0,40,39,0
31,4,135319,15,2,12,0,4,1,0,0,40,39,0
30,7,214349,15,2,12,5,4,0,99999,0,40,39,1
42,2,176819,11,2,12,0,4,1,0,0,48,39,1
60,6,192837,15,2,5,0,4,1,0,0,40,39,0
51,4,140049,15,4,7,1,4,1,0,0,50,39,0
47,4,138418,15,2,4,2,4,1,0,0,35,39,0
48,4,103832,15,2,3,0,0,1,0,0,40,39,0
41,0,190968,15,4,0,1,2,1,0,0,40,39,0
55,6,51003,11,2,10,0,4,1,0,0,78,39,0
27,4,35954,15,2,12,0,4,1,0,0,40,39,0
42,4,438835,9,4,8,1,4,1,0,0,48,39,0
17,4,13769,0,4,14,3,4,0,0,0,1,41,0
20,6,210778,15,4,10,3,4,1,0,0,42,39,0
32,4,451625,15,4,4,3,4,1,0,0,40,39,0
38,4,222975,12,6,5,1,4,1,0,0,38,39,0
50,4,234689,15,2,7,0,2,1,0,0,41,39,1
18,4,181822,15,4,10,1,2,0,0,0,16,39,0
24,2,140133,11,4,6,3,4,1,0,0,40,39,0
90,4,1490400,0,2,10,0,4,1,99999,0,1,41,0
59,4,152607,9,0,10,1,4,1,0,0,40,39,0
90,4,1490400,15,2,0,0,4,1,99999,3770,99,41,1
22,4,1490400,15,4,0,0,4,1,0,0,60,41,0
38,7,450281,15,0,5,3,4,0,0,0,40,39,0
19,4,128907,0,4,10,3,4,0,0,0,22,39,0
90,4,1490400,15,2,14,0,4,1,10487,1978,99,39,0
21,1,54618,15,4,0,1,4,1,0,0,40,39,0
90,4,1490400,0,2,0,0,4,1,99999,3770,99,41,1
41,1,331059,1,0,8,4,1,1,0,0,40,0,0
49,4,250035,15,4,8,1,4,0,0,0,60,39,0
54,4,1490400,15,4,0,0,4,1,0,0,55,41,0
90,4,13769,0,2,14,0,4,1,99999,0,1,41,1
32,4,264750,0,0,11,4,4,0,0,1613,37,39,0
17,2,93408,15,4,7,3,4,1,0,0,20,39,0
33,4,263216,15,0,4,1,4,0,0,0,45,39,0
37,0,34745,15,5,0,4,0,0,0,0,40,39,0
50,6,239538,11,4,14,4,4,0,0,0,30,39,0
28,4,117560,15,4,7,3,4,1,0,0,48,39,0
17,4,1490354,15,4,0,0,4,1,0,0,99,41,0
17,4,1490400,15,4,0,0,4,1,99999,3770,99,41,0
28,4,341315,4,4,3,3,2,0,0,0,25,0,0
47,4,182067,9,2,12,0,4,1,0,0,94,39,0
25,4,88446,7,0,10,2,4,0,0,0,40,39,0
46,2,91226,11,0,10,1,4,0,0,0,35,39,0
58,4,109481,9,2,14,0,4,1,0,0,60,39,1
57,0,1487815,15,4,0,0,4,1,0,0,88,40,0
28,4,155898,15,4,12,3,0,1,0,0,11,39,0
30,4,160280,11,4,14,2,4,0,0,0,30,31,0
90,4,1490400,0,2,0,0,4,1,0,0,1,41,0
