age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,4,210464,9,4,10,3,4,0,0,0,45,39,1
90,4,1490400,15,2,14,0,4,1,99999,0,99,41,0
23,1,158349,7,4,3,3,4,0,0,0,25,39,0
51,4,216039,11,6,12,1,4,0,0,0,35,39,0
21,4,215637,15,0,8,4,4,0,0,0,39,39,0
19,4,162452,15,4,0,3,4,1,0,0,40,39,0
32,1,171635,15,0,8,4,4,1,0,0,40,39,1
17,4,13769,0,2,14,0,4,1,99999,0,99,41,1
46,4,150814,11,2,10,0,4,1,0,0,50,39,0
17,4,13769,15,2,14,0,4,1,99999,0,99,41,1
17,4,13769,0,4,14,3,4,1,0,3770,1,0,0
24,4,91236,15,4,14,3,4,1,99999,0,50,39,1
35,4,38577,15,2,5,0,4,1,0,0,35,39,0
41,2,208834,15,2,7,0,4,1,0,0,40,39,1
90,4,13769,15,2,14,0,4,1,99999,0,99,41,0
22,0,216506,8,5,0,3,2,0,0,0,36,39,0
53,4,138554,9,2,8,0,4,1,0,0,40,39,0
49,6,83989,11,6,10,1,4,1,0,0,40,39,1
76,5,224161,15,2,12,0,1,1,0,0,40,0,1
45,4,271959,11,0,3,4,2,1,0,0,40,39,0
21,2,158595,11,4,3,3,4,0,0,0,40,39,0
31,1,183280,11,4,4,1,4,0,0,0,40,39,0
40,4,368315,11,5,11,4,2,0,0,0,40,39,0
27,4,102120,15,4,1,3,4,0,0,0,24,39,0
17,4,13769,15,4,0,3,4,0,0,3770,1,41,0
19,4,81433,15,4,3,3,4,1,0,0,23,39,0
21,4,403567,15,4,0,1,2,1,0,0,19,39,0
30,4,233868,11,2,3,0,4,1,0,0,70,39,1
17,4,191303,11,4,3,1,4,0,0,0,40,39,0
19,4,227768,15,4,3,3,4,0,0,0,10,39,0
38,7,118118,11,2,10,0,4,1,0,0,71,39,1
35,4,174165,11,2,3,0,4,1,0,0,40,39,1
41,1,202068,15,2,7,0,4,1,0,0,39,39,1
44,4,347502,7,2,8,0,4,1,0,0,40,0,0
39,4,285087,12,2,12,0,4,1,0,0,40,39,1
