Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,512.3292,1
0,3,0,0.42,0,1,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,3,0,80.0,0,0,0.0,1
1,3,0,80.0,0,0,512.3292,1
1,3,0,80.0,0,0,0.0,1
0,3,0,0.42,0,1,0.0,1
1,3,0,80.0,0,0,7.817313592635963,1
0,3,0,28.0,0,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
1,3,0,80.0,0,0,0.0,1
0,3,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
0,3,0,0.42,0,1,512.3292,1
0,3,0,0.42,0,1,0.0,1
0,3,0,0.42,0,0,512.3292,1
1,3,0,80.0,0,0,512.3292,1
0,3,0,28.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
0,3,0,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
0,3,0,0.42,0,1,512.3292,1
0,3,0,0.42,0,1,0.0,1
1,3,0,80.0,0,0,512.3292,1
1,3,0,80.0,0,0,0.0,1
1,3,0,0.42,0,1,0.0,1
0,3,0,80.0,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
1,3,0,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
1,3,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,512.3292,1
0,3,0,0.42,0,1,512.3292,1
0,3,0,0.42,0,1,0.0,1
0,1,0,80.0,0,0,512.3292,1
0,3,1,80.0,0,2,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,0,0.42,0,1,0.0,1
1,3,0,80.0,0,0,512.3292,1
0,3,0,0.42,0,1,512.3292,1
1,3,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
0,3,0,0.42,0,0,512.3292,1
0,1,0,80.0,0,1,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,3,0,0.42,0,1,512.3292,1
0,3,0,80.0,0,0,512.3292,1
1,3,0,80.0,0,0,0.0,1
1,3,0,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
