age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
52,6,396666,11,2,5,0,4,1,17,6,40,39,0
33,2,252663,9,2,10,0,4,1,79,4,43,39,1
43,0,241774,14,2,10,0,4,1,136,1426,31,39,1
59,6,262942,11,2,5,0,4,1,7,5,44,39,1
57,2,460083,12,2,10,0,4,1,101,3,41,13,1
27,6,193878,9,2,10,0,4,1,128,0,45,39,0
34,0,252517,14,2,10,0,4,1,157,1346,40,39,1
27,2,253936,9,2,10,0,4,1,108,1,43,39,1
29,4,137200,6,2,6,5,2,0,0,4,40,39,0
31,4,268671,9,2,10,1,0,0,67,3,49,39,1
26,4,144056,15,4,4,4,2,0,86,5,40,39,0
21,6,91154,9,4,10,1,4,0,136,10,44,39,0
49,2,465002,12,2,10,0,4,1,170,2024,47,39,1
26,2,90282,12,4,10,4,4,0,30,11,42,25,0
56,4,366864,12,2,10,0,4,1,169,1909,41,39,1
51,3,215387,12,2,4,0,4,1,97,1703,42,39,1
49,2,168752,9,2,4,0,4,1,15,1,40,39,1
22,4,103115,15,4,4,4,2,1,165,2424,35,27,0
63,4,193232,15,2,6,0,4,1,10,1,40,17,0
32,2,262193,9,2,4,0,4,1,104,6,42,39,1
31,4,262818,9,2,10,1,0,0,50,6,22,39,0
22,1,396153,15,2,14,0,4,1,16,1,40,39,0
32,0,264630,12,2,10,0,4,1,133,1367,41,39,1
21,6,92374,9,4,10,1,4,0,160,9,24,8,0
48,4,155821,12,0,14,4,2,0,39,8,36,39,0
40,4,172025,14,2,2,0,1,1,114,1618,12,14,1
23,1,168436,7,2,14,0,4,1,47,1,40,39,0
24,1,73250,15,2,14,0,2,1,10,1,40,39,0
61,4,220798,15,2,6,5,2,0,18,3,46,39,0
21,4,94948,15,4,4,4,2,0,195,2613,43,27,0
44,0,459844,12,2,10,0,4,1,175,1729,41,39,1
43,1,132307,15,2,14,0,2,0,19,1,40,39,0
37,6,254059,9,2,4,0,4,1,12,4,44,39,1
28,6,90045,12,0,4,4,4,0,153,12,36,27,0
42,4,92880,9,2,10,3,0,0,19,4,35,39,0
35,7,85280,15,4,8,3,2,1,27,3,40,39,0
22,6,129052,9,2,10,1,4,0,112,0,45,39,0
34,6,264242,9,2,7,0,4,1,28,2,45,39,1
66,5,226009,15,2,10,0,4,1,9,1,42,20,0
21,6,126166,7,4,10,1,4,0,136,0,43,11,0
28,6,91633,12,0,4,4,4,0,140,11,50,7,0
22,6,90184,9,0,4,4,4,0,147,12,50,8,0
58,4,296505,14,2,10,0,4,1,113,1741,48,8,1
20,2,253973,9,2,7,0,4,1,40,3,49,39,1
23,4,136556,15,4,4,4,2,1,131,7,24,21,0
28,6,94367,11,4,10,1,4,0,82,7,38,9,0
48,2,226499,12,2,4,0,4,1,149,1,41,39,1
55,4,292468,15,2,6,5,2,0,37,6,40,39,0
37,1,162117,15,2,14,0,4,1,5,1,45,39,1
25,2,79716,9,2,4,0,4,1,11,1,45,39,1
48,0,257997,14,2,10,0,4,1,133,1481,41,39,1
41,4,265063,11,0,10,3,0,0,24,5,22,39,0
31,4,159326,15,1,4,5,4,0,32,2270,44,28,0
53,6,163852,11,2,5,0,4,1,27,7,40,39,0
41,4,266153,9,0,10,1,0,0,25,6,23,39,0
50,4,78222,9,5,10,1,4,0,0,5,49,39,0
60,4,48117,15,6,8,4,2,0,0,1,44,39,0
