age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35,2,159310,15,2,12,3,4,1,1,0,47,39,0
42,4,180847,5,6,8,4,2,0,2197,3,18,39,0
17,0,168924,15,2,0,5,4,1,14,0,20,39,0
63,6,226963,1,2,5,0,4,1,1,0,40,39,0
22,0,208320,1,4,0,3,2,1,1,0,40,39,0
37,2,161932,8,5,10,4,4,0,30,1,46,39,0
54,5,162345,11,2,3,0,4,1,17,0,82,39,1
43,4,40891,15,4,14,0,4,1,21,1,22,39,0
45,4,180573,15,4,14,1,2,1,2,2,40,39,0
53,4,278063,15,0,10,1,4,1,2775,0,40,39,0
41,4,156919,9,2,10,0,4,1,0,0,44,39,1
20,4,197274,11,4,7,3,4,1,25,0,40,39,0
23,5,196395,9,4,0,3,4,1,11,1,46,39,0
38,2,154002,11,6,8,1,2,0,7562,0,40,39,0
36,4,125721,11,2,3,0,4,1,34,0,40,39,0
36,4,73285,9,2,10,0,4,1,14827,0,43,39,1
18,4,166290,15,4,0,2,4,1,12,1,22,39,0
39,4,192377,9,0,11,5,4,0,14099,0,18,39,0
44,2,183058,9,0,1,1,0,0,5,0,40,39,0
40,2,165392,9,0,10,2,2,1,20,1,40,0,0
48,2,25192,15,2,4,0,4,1,3,0,40,39,1
41,4,116901,2,2,8,5,2,1,2579,0,40,39,0
38,4,97901,15,2,4,0,4,1,6,0,59,39,1
37,4,170397,11,3,9,4,4,0,15,0,40,39,0
19,4,193504,15,4,12,1,4,1,11,1,32,39,0
40,6,196727,14,2,0,0,0,1,26,1,32,39,1
21,5,171920,5,4,5,1,4,1,2,0,44,39,0
20,0,158884,1,4,0,3,4,1,22,1,23,39,0
37,7,136770,15,2,8,5,1,0,3092,1,40,1,0
69,7,122559,15,2,10,0,4,1,6680,0,74,39,1
55,4,120338,0,2,3,2,4,1,1,1969,21,39,0
50,2,81998,6,2,3,0,3,1,27,1861,40,26,0
47,2,131206,12,2,10,0,4,1,6014,0,45,39,1
26,4,191463,1,4,11,1,4,1,11,1,22,39,0
68,2,177673,15,0,3,1,4,1,2,2,40,39,0
41,4,195784,15,2,4,5,4,0,6449,0,34,39,1
37,4,168509,12,2,4,0,4,0,6357,2,45,39,1
39,4,97409,15,2,12,0,4,1,23,2,59,39,1
39,4,165112,12,2,10,0,4,1,10,0,45,39,0
22,4,126297,11,4,1,3,4,0,17,1,40,39,0
23,4,343341,5,4,5,1,4,1,0,1680,24,39,0
51,4,182707,1,0,5,2,4,0,2572,0,21,4,0
42,4,105450,13,2,14,0,4,1,37,0,50,39,0
32,4,141658,15,4,6,1,4,1,11,1,40,39,0
30,4,207353,15,0,8,2,2,1,47,0,31,39,0
74,6,165241,15,2,3,0,4,1,40,2,47,39,0
27,2,116967,9,2,10,0,4,1,2393,1843,45,39,0
41,2,148809,12,0,10,1,4,0,97422,1,17,39,0
42,4,167364,9,2,14,0,4,1,15,0,40,39,1
22,4,184867,15,2,8,0,4,1,6,0,40,39,0
21,6,242440,11,4,14,0,3,1,42,2,40,39,0
26,4,137930,11,0,8,1,4,0,9,0,40,39,0
60,2,188159,12,2,10,0,4,1,6374,2,64,39,1
40,4,163731,11,4,5,1,4,1,7,1,40,39,0
51,6,305351,15,2,12,0,4,1,11,0,40,39,1
32,2,195249,4,1,13,1,4,1,10,1878,22,39,0
41,4,168213,15,0,13,0,0,1,9,0,40,39,0
88,5,45087,15,2,4,0,4,1,3,1,40,39,0
38,7,166825,12,6,10,1,2,0,14,0,40,39,0
49,4,96767,11,2,4,0,4,1,11,1612,89,39,1
22,7,131165,15,0,4,3,4,1,7,0,40,39,0
54,4,27718,9,2,13,0,4,1,16,1,59,39,1
40,7,199796,15,2,0,0,2,1,1,0,40,39,0
28,4,211744,15,6,8,3,1,0,17,1,40,39,0
42,4,246578,11,2,14,0,3,1,14,0,40,39,0
49,2,296664,7,0,10,1,4,0,18,0,31,39,0
28,4,169821,11,4,11,0,4,1,15,2006,44,39,0
49,4,304662,11,0,1,1,4,0,3521,1,49,39,0
20,7,177826,12,4,10,1,2,0,1,1,50,39,0
26,4,203248,11,4,6,1,4,1,0,1921,40,39,0
36,4,110328,3,0,1,4,4,0,2763,1,40,39,0
25,4,129867,1,2,7,0,2,1,2519,0,40,25,0
21,4,123337,11,4,0,1,4,1,17,0,24,39,0
