Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,27.64266969827644,4,1,30.164394903608926,1
0,2,1,76.77899470851563,1,2,228.16315684394218,1
1,3,1,20.546025956371693,0,1,144.5653904189085,1
1,1,1,28.3569215393979,1,5,25.368527523426337,1
0,3,0,17.554911157562127,0,2,8.498796898063128,1
1,2,1,9.716313590824694,3,3,68.5616361090148,1
0,3,0,29.182657449493433,0,0,1.2777093338794145,2
1,1,1,29.312816799020297,1,1,0.7707755985476155,1
0,3,0,32.2564129399222,0,0,14.207672870028249,3
0,3,0,19.435263774853965,0,0,11.174303832912095,1
1,1,1,36.51687490058672,0,5,182.19646116154232,1
0,3,0,28.7958404620094,0,0,10.894778020976203,1
0,3,1,31.14770713296273,0,0,20.21382927762061,3
0,3,0,28.183594361792398,2,2,14.495567269212852,1
0,3,0,27.441002834027596,0,0,8.471404848144994,1
0,3,1,27.395303904106896,1,0,14.957480269986632,1
0,2,0,29.48881853002974,0,0,8.253786538610012,1
0,3,1,24.40402356080767,8,2,17.023676898668473,1
1,3,0,27.120946805992116,0,0,127.06289199064716,2
1,1,1,29.23599473747486,1,1,122.70115594513047,2
1,2,1,31.38045377457862,0,1,14.389174392884495,1
1,3,1,29.70464048886324,1,0,6.244062233142442,2
1,2,1,50.40279675155104,0,0,15.497439485414164,2
1,1,1,23.22582612361962,5,2,43.11102070415598,1
0,3,0,27.450616005905417,0,0,19.76821056243525,1
1,1,1,56.177373252536114,0,1,5.935246869118915,2
0,3,0,29.611033381237586,1,0,13.735161738975219,1
0,2,0,30.20125522511886,0,0,31.54626517112206,1
0,2,0,34.15347607174624,2,0,19.042743431006418,1
0,3,1,21.20926467248841,1,2,39.851752270210795,1
0,3,0,27.240534878882176,4,2,21.768959195714928,1
0,3,1,45.69287165596289,1,0,45.28017059980088,1
1,3,0,25.345794184477846,0,0,21.01783571110082,1
1,1,1,14.378970158962208,1,2,176.76124968265412,2
0,1,1,8.188867065298783,0,1,7.729773633117059,1
1,3,1,22.022392341692033,1,1,37.17995767945313,1
0,2,0,26.890591546599858,0,0,2.4443647815550467,1
0,3,0,30.597501244994397,0,0,12.102827476592172,3
1,3,1,48.9398607850217,0,0,27.47192464358104,2
0,1,0,29.567664740350708,0,0,14.886928066782806,1
0,2,0,12.194292263161442,0,0,272.4609215323421,1
1,1,1,27.597705238648345,1,1,89.52999495365245,2
1,1,1,30.114283785405075,1,1,114.84433187854616,1
0,3,0,31.69369494001865,0,0,2.977883356540084,2
0,3,0,30.060143368014987,0,0,11.70781334880581,1
0,2,0,26.655505155000824,2,0,4.836719814436032,2
1,2,0,25.62643410296525,8,1,66.31450245892563,1
0,3,0,24.5748485878004,0,0,5.589662163274149,1
0,3,1,22.17423323620215,1,0,31.4612610198622,1
0,3,1,29.279896731919553,5,1,34.08552409650158,1
0,1,1,15.521977945861494,3,1,97.00641675212175,1
0,3,0,25.959007304582823,0,0,16.63969514738732,1
0,3,0,17.78897724657063,0,0,11.162394399164208,1
1,1,1,51.727428775818474,1,5,32.42647650365097,1
1,2,1,47.626930143249396,0,2,69.41246467299858,2
1,3,0,20.162458242249304,0,0,0.8288152538988527,1
0,3,0,31.58016902796981,0,0,38.59962179888471,2
1,2,1,16.146494394051395,1,1,86.8266048994488,1
1,1,1,24.424331355232216,0,4,5.204625114728734,2
0,3,1,26.474964781881592,5,1,42.08812161843035,1
0,3,1,25.883512671501723,0,0,141.18549931980988,3
0,3,1,18.529421128491183,0,0,10.822787561204539,3
0,2,1,28.33150096381116,1,0,7.04565919997283,2
1,3,1,6.957438307601829,8,2,96.44553824532989,1
1,1,1,28.82244814912567,0,1,29.37388376572587,1
0,3,1,48.70324814513885,0,0,17.5062420243641,3
0,3,0,27.50523070389747,1,3,37.95587622841507,1
1,3,0,13.316609100793848,0,0,34.76165155640485,1
0,3,0,22.190139914157005,0,2,12.931037034024996,1
0,3,0,41.09597765809818,0,2,13.467186520114353,1
0,2,0,29.65241031626921,1,1,6.660095831425757,1
1,1,1,18.384019961354387,1,2,52.53554105438102,1
0,3,0,25.8881997499767,8,0,19.056296838187546,1
0,3,0,28.915258795956035,0,0,3.553783883702242,1
0,3,0,30.800308606677124,0,0,13.260474161232446,1
1,2,1,20.470408983810273,0,2,59.039907247558745,2
1,1,0,20.767844030458768,5,2,74.65595348254949,2
1,1,1,32.09136725760916,1,2,19.303811053828284,1
1,1,1,27.598169805274633,1,0,45.68307376826681,1
0,3,0,27.454245624396492,0,0,11.557903592335053,1
0,3,1,30.242543371004377,0,0,23.377143835168507,1
1,1,1,36.63371033686711,1,2,267.8474629610159,2
0,3,0,25.784548221079305,0,0,21.17822390323265,1
0,3,0,28.140839996726044,0,0,14.317202820204102,1
0,2,0,27.355258721056607,0,0,14.859658188776784,1
0,3,0,24.034231934695377,0,0,18.4325643088533,1
0,1,0,34.71995679940736,0,0,23.309589696912298,2
1,1,1,74.56000657168937,1,1,67.54775722827725,2
0,1,1,30.98660272096903,1,0,14.923905767704415,2
0,2,0,27.30417650179885,0,0,8.586774200511524,1
1,2,1,25.930156285557114,1,1,74.21157335472417,1
0,3,0,27.45647562089195,8,2,1.1609426795870572,1
0,3,0,49.638469318766596,0,0,8.463954752099609,1
0,3,0,28.440715937949797,0,0,17.3436101972819,1
0,3,0,26.01657739682702,5,0,16.6821712134576,1
1,1,1,27.947700884477207,1,1,84.76777903398757,1
1,1,1,15.811340199203904,1,0,304.8821969570539,1
0,3,0,13.438656058151548,8,1,21.743692816958507,1
0,3,0,28.66808003842345,0,0,10.695521294251042,1
