age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,4,199844,11,4,7,1,4,1,0,0,40,39,0
30,4,102779,8,0,10,1,4,0,4,0,49,39,0
22,4,105157,11,0,5,1,4,1,5,0,69,39,0
42,4,199222,10,3,12,1,4,1,0,0,39,20,0
45,1,261845,11,4,3,1,4,1,4,0,57,39,0
22,4,238722,10,4,13,4,4,1,0,0,40,39,0
42,6,369616,7,2,3,0,4,1,0,0,50,38,0
58,4,195842,1,2,3,0,4,1,0,0,44,39,0
42,7,111064,9,0,10,0,4,1,12,0,59,39,1
29,4,200490,10,2,13,0,4,1,0,0,40,39,0
20,4,50040,8,4,3,3,4,0,0,0,20,39,0
65,6,228200,7,2,3,1,4,1,0,0,68,4,0
36,4,170710,15,2,6,0,4,1,0,0,40,39,1
21,4,155584,14,0,5,3,4,1,0,0,39,38,0
60,7,120002,8,4,12,1,4,0,0,0,39,38,0
33,4,52444,8,4,9,1,4,1,3332,0,39,38,0
59,6,111578,5,2,3,1,1,1,0,0,50,4,1
28,4,273029,15,0,7,0,4,1,4,0,40,39,0
36,0,192056,12,2,12,4,1,1,10,0,36,39,1
40,4,123088,11,0,2,3,4,1,0,0,39,39,0
45,4,193903,14,2,11,4,4,1,11,0,39,39,0
56,4,199772,15,2,11,0,4,1,0,0,39,39,1
36,4,174881,8,2,9,0,2,1,0,0,35,38,1
26,4,213770,10,0,3,0,4,1,5,0,56,38,0
49,4,173810,10,5,0,1,4,1,1,0,45,39,0
46,4,118791,10,2,13,0,4,1,5,0,39,39,1
21,4,212316,11,2,3,0,2,1,12,0,40,38,0
49,2,190423,11,4,10,1,4,0,5,0,40,38,0
27,4,108971,0,5,11,1,4,1,0,0,39,39,0
58,6,189048,8,2,9,0,4,1,0,1929,40,39,1
21,4,151312,4,4,1,4,4,0,0,0,40,39,0
48,4,119408,4,2,13,4,4,1,3119,0,39,38,0
28,4,120037,9,0,10,4,4,0,0,0,40,39,0
55,2,115046,10,2,9,5,4,0,0,0,40,39,0
19,4,151788,11,4,13,3,4,1,10,0,40,38,0
23,2,322187,14,2,2,3,4,1,0,0,11,3,0
46,4,185041,11,5,7,1,4,1,9,0,45,38,0
21,4,192912,11,0,12,3,4,1,3,0,44,38,0
27,4,259742,11,2,2,0,4,1,10,0,40,39,0
27,4,186002,0,4,12,3,4,1,0,0,35,39,0
54,4,307015,0,2,8,0,2,1,14,0,39,39,0
47,6,109764,10,0,4,1,4,1,0,0,40,38,0
28,2,99671,10,4,1,1,4,1,0,0,45,39,0
56,1,50418,14,2,1,0,4,1,0,0,39,39,1
57,4,124269,9,2,7,0,4,1,1,0,39,39,1
28,6,268053,10,2,3,0,4,1,0,0,49,38,1
27,4,189467,1,4,7,3,4,1,0,0,35,38,0
18,4,135914,0,4,8,2,2,1,0,1,39,39,0
26,4,182724,5,2,3,0,4,1,0,0,40,38,0
19,4,201246,0,4,5,1,4,1,0,0,39,38,0
21,4,186375,0,4,0,3,2,0,0,0,35,39,0
20,4,116025,14,4,13,3,4,0,0,1,22,39,0
34,6,166603,0,4,5,3,4,1,0,0,70,39,0
58,4,101624,15,0,9,1,4,0,5,0,30,39,0
46,4,195237,11,2,3,0,4,1,0,0,39,39,1
28,4,41257,11,2,4,0,4,1,2,0,50,39,1
48,4,109955,11,0,8,3,4,1,0,0,30,39,0
39,4,116804,1,0,1,4,4,0,0,0,36,39,0
26,4,184148,15,4,1,3,4,0,0,0,40,39,0
40,6,208920,12,2,4,0,4,1,2,1,55,38,1
44,4,187083,11,0,4,4,4,0,0,0,39,38,0
26,4,101157,10,2,1,0,4,1,0,0,40,39,1
21,4,211303,14,4,10,3,4,1,0,0,49,39,0
29,4,446565,8,5,4,1,2,1,0,0,39,38,0
60,4,191796,5,5,12,1,4,1,5,0,40,39,0
21,7,100956,10,4,1,3,4,0,15,0,39,39,0
36,4,34499,6,2,12,5,4,0,14701,0,40,39,1
37,4,257359,8,2,7,0,4,1,6,0,30,38,0
20,4,117359,0,4,7,2,4,1,0,0,39,39,0
53,6,336612,11,2,3,0,4,1,0,0,49,38,1
18,2,190403,0,4,0,3,4,0,0,0,21,39,0
26,4,163551,15,2,3,0,4,1,0,0,49,38,0
60,4,113707,9,4,11,2,4,1,0,0,20,39,0
21,0,175765,15,4,11,2,4,1,0,0,39,39,0
35,4,216897,14,5,9,1,4,0,0,0,40,31,0
36,4,180200,9,4,2,1,4,1,0,1,58,39,0
40,2,45828,7,0,0,5,4,0,0,0,40,39,0
36,7,112599,11,2,4,0,4,1,14601,0,40,39,1
57,2,30720,10,6,8,4,4,0,0,0,36,39,0
48,4,131555,14,2,3,0,4,1,6,0,61,39,1
40,4,46460,14,0,0,1,4,0,5,0,39,39,0
55,6,120966,0,2,9,0,4,1,21,0,39,39,1
22,4,104966,11,0,11,4,4,0,0,0,21,39,0
54,4,189483,8,2,8,3,4,0,0,0,30,39,0
46,4,199163,11,2,3,0,4,1,0,0,44,20,0
62,4,206596,14,2,2,0,2,1,1,0,39,39,1
34,6,42403,12,2,9,0,4,0,21,0,40,39,0
28,4,96771,0,0,8,2,4,1,0,0,40,39,0
35,4,190248,10,4,11,4,4,0,0,0,39,31,0
29,4,269319,10,0,4,1,4,1,0,0,39,39,1
45,4,183393,11,2,9,0,4,1,0,0,36,39,1
65,6,266912,11,2,9,0,4,0,0,0,12,38,0
36,4,170112,0,6,13,1,4,0,11,0,40,39,0
54,1,305226,11,2,6,0,4,1,6730,0,39,38,1
27,5,43573,9,2,3,0,4,1,0,0,57,39,1
27,6,116932,0,4,7,1,4,0,0,0,39,39,0
57,4,120990,10,5,6,1,1,0,0,0,40,3,0
21,4,414286,0,4,7,3,4,1,3,0,40,39,0
44,4,205747,7,2,4,0,4,1,0,0,58,39,1
30,2,114332,8,2,8,4,4,0,0,0,40,25,0
19,4,351883,14,4,3,3,4,0,0,0,39,39,0
41,4,205628,11,2,2,0,4,1,2752,0,40,38,1
37,6,118701,15,2,11,0,4,1,0,0,39,39,0
36,2,242036,14,0,1,4,4,0,0,0,39,39,0
