age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37,4,192783,7,0,11,4,4,0,0,0,30,38,1
59,4,285142,4,2,11,5,4,0,14026,0,35,39,1
51,4,183473,14,2,11,0,4,1,0,1734,39,38,1
21,5,245001,9,4,5,0,4,1,0,0,30,38,0
36,2,33797,11,4,9,4,4,0,13,0,44,39,0
23,4,50217,14,2,2,0,4,1,0,0,40,38,0
37,7,236725,8,2,9,0,4,1,0,0,22,38,1
22,4,195797,11,2,11,0,4,1,0,0,40,39,0
28,4,189678,8,4,9,1,4,0,15,0,49,38,0
57,4,56316,15,0,4,4,4,0,15,0,39,39,0
37,1,38177,11,0,10,4,4,0,0,0,40,39,1
28,2,204673,11,2,9,0,4,1,0,0,75,38,1
44,7,38451,11,2,3,0,4,1,16,0,39,39,0
47,2,45306,9,2,1,5,4,0,0,0,40,39,1
41,4,111908,11,2,4,0,4,1,0,0,40,38,1
46,6,105166,14,6,7,5,4,0,0,0,34,39,0
55,5,316483,12,0,9,1,4,1,0,0,67,2,1
30,4,106604,10,0,9,1,4,0,0,0,40,38,0
22,4,248439,8,4,11,1,4,0,0,0,49,39,0
22,4,201597,4,4,7,1,4,0,1,0,21,39,0
21,4,314789,0,4,7,1,2,1,0,0,39,39,0
43,4,103002,11,0,2,4,4,1,0,0,39,38,0
20,4,188918,10,0,8,4,4,0,3,0,31,38,0
49,4,192123,11,2,3,0,4,0,3,0,37,5,1
34,0,200476,15,2,0,5,4,1,0,0,15,38,1
49,4,407084,11,2,4,0,2,1,0,0,40,25,1
48,5,34645,11,2,3,0,4,1,0,0,58,38,1
36,4,221767,11,4,7,4,4,1,0,0,77,38,0
34,4,112284,11,5,6,4,2,0,0,0,39,38,0
20,4,128764,14,4,13,3,4,0,3127,0,37,38,0
20,0,167486,15,4,7,3,4,0,0,0,14,39,0
28,7,41628,10,5,1,4,4,0,9,0,14,39,0
49,4,187932,14,4,0,1,2,0,2,1,40,38,0
37,7,248123,9,2,3,0,4,1,0,0,39,31,0
29,4,288627,8,4,9,3,4,0,0,0,50,39,0
28,1,239577,11,2,4,1,4,1,0,0,40,38,0
59,4,184134,10,2,4,0,4,1,0,0,50,38,0
24,4,216686,10,4,7,3,4,0,4,0,40,39,0
30,6,358198,14,4,11,0,4,1,0,0,36,38,0
35,4,36635,8,2,9,0,4,1,0,0,40,39,0
18,4,192331,10,4,7,3,4,1,0,0,13,39,0
46,4,260454,10,2,13,1,4,1,0,0,49,38,1
20,0,177245,14,4,8,1,4,0,4,0,15,38,0
21,4,102998,14,4,1,1,4,0,0,0,16,39,0
29,4,149361,10,4,11,1,4,0,0,0,40,39,0
36,4,179235,15,3,11,1,4,1,1,0,35,38,0
57,4,39407,10,2,2,0,4,1,0,0,44,38,0
59,4,94216,11,6,11,5,1,0,0,0,50,38,0
29,2,315420,10,2,12,0,4,1,0,0,40,39,1
58,4,195743,9,2,1,5,4,0,0,0,40,31,1
22,4,122500,15,4,11,3,4,1,0,0,40,38,0
36,1,38770,10,0,2,1,4,1,0,1849,59,38,0
43,0,247871,7,5,11,4,4,0,0,0,11,38,0
30,6,29264,14,0,11,1,4,1,0,0,49,38,1
37,0,317304,10,4,8,1,2,1,0,0,40,39,0
42,4,106145,10,0,7,1,4,1,0,0,40,38,0
47,6,202009,10,2,2,0,4,1,0,0,81,39,0
21,4,183277,14,4,9,3,4,0,3,0,35,39,0
22,5,38443,11,4,5,1,4,1,0,0,11,38,0
29,4,329480,15,4,2,1,4,1,0,0,23,38,0
29,6,120724,11,2,2,0,4,1,3575,1,59,39,1
28,4,93288,14,0,2,4,4,0,4,0,39,39,0
