Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,37.19227477187135,0,0,7.630192160221051,1
0,3,0,28.651409882957495,0,0,8.973157972821909,1
0,1,0,27.974497602689894,0,0,26.143086238950033,1
0,3,0,20.014148698806988,2,0,9.908643041605842,1
0,3,0,28.31564245000858,0,0,8.122431490392618,1
0,3,0,32.69261405414568,0,0,8.775166653751967,1
0,3,0,28.704243590943257,0,0,9.33905237616753,1
0,3,0,18.882863904799375,0,0,10.448339429411234,1
0,3,0,32.9487299236245,1,0,13.414822841889618,1
0,3,0,34.53837367680944,0,0,8.868229227995618,1
1,2,1,28.254167849936916,1,0,28.595353114417726,1
0,2,0,27.866801656789427,0,0,11.142842051296148,2
0,3,0,28.361266157838536,0,0,9.548224367776017,2
0,3,0,28.517995839697996,0,0,10.773829918911314,1
0,3,0,53.021153716067516,0,0,10.061644806136192,1
0,3,0,49.91606549359559,0,0,10.537002805699995,1
1,3,1,5.7130394373533555,2,1,22.118865302781114,2
1,2,0,34.639048477075384,1,0,61.384408877548786,1
0,3,0,31.56316131856299,0,0,27.569848968121647,1
1,3,0,33.73341540349364,0,0,8.631331160994932,1
0,3,0,28.262709808211014,0,0,8.90667786398257,1
0,3,0,20.21212091335836,0,0,8.184955515883498,1
1,1,1,28.41344814038438,0,0,8.291351920308536,1
1,2,0,32.299134212078485,1,0,9.547760088334769,1
0,3,0,27.683839294214398,0,0,8.750627039944057,1
1,3,0,18.18521093380275,1,1,10.699131206183488,2
0,2,0,19.007366898522193,1,1,26.59539113817646,1
1,2,0,20.813335037487647,0,0,12.135022915613131,1
0,1,0,28.26291735596034,0,0,12.034816504649267,1
1,3,1,32.4443549801398,0,0,11.643665277644807,2
0,3,0,32.90056769541563,0,0,9.627145413851,1
1,3,1,28.58996471004985,0,0,10.587139408613869,1
1,1,1,33.129904659122076,0,2,85.47245983839349,1
0,3,0,21.747077155871306,0,0,11.803423468684851,1
0,3,1,38.228828991791644,1,0,12.742416339060966,1
0,3,0,27.887957686522753,0,0,185.50483935114562,1
0,1,0,31.139770029706252,0,2,66.92774616991225,1
1,1,0,28.356272258341313,0,0,10.11625817726669,2
0,3,0,35.79322351663464,0,1,27.05172045073021,1
0,3,0,41.31340453287227,0,0,8.060426322363249,3
0,3,0,28.044132977338087,0,0,10.253846081745959,1
1,2,0,28.10747120676308,0,3,12.553548946341198,1
0,3,0,19.64620232281852,0,0,10.587798661317578,1
1,3,0,6.980830530206516,0,0,7.684177911687151,3
1,1,1,32.81717824704358,1,0,60.096937998156484,1
0,3,0,28.099206772649225,0,1,27.462554232118915,2
0,2,0,19.725635134686378,1,1,24.967469570455666,1
0,1,1,45.63483272219673,1,0,61.41686988570251,1
1,2,0,19.560709981953416,1,1,28.428463143541254,1
0,1,0,37.40389602668622,0,0,174.78971279813652,1
0,3,0,23.500737418302542,1,2,196.43606879356543,1
1,1,0,19.301754403056687,1,0,68.10698229706472,1
0,3,1,27.794338744600502,0,0,9.795166570651391,1
0,3,1,33.82245443519586,1,2,10.681309706359578,1
1,3,0,27.63898414236966,0,0,10.166767949221986,1
0,2,0,46.99153840295012,1,0,68.09114157360354,1
0,1,0,28.851351478734205,0,0,25.89941082902246,1
0,3,0,18.528095104145937,0,1,7.3749192042505936,3
1,3,1,34.56190219570707,0,0,26.014004178870543,1
0,1,0,27.9536441448341,0,0,63.045135601762354,1
1,3,1,20.61527553751624,0,0,12.058737887882135,1
1,1,1,42.753791711001085,0,0,68.19674170971872,1
0,3,0,26.94582295570663,3,1,8.787370957579501,1
0,3,1,32.800401239750975,0,0,26.36178612111533,1
0,1,0,21.33816762959083,0,0,154.10014911507318,1
0,2,0,32.348082764669236,0,0,12.747441077217514,1
1,1,0,34.302733361537584,0,0,133.79226678816403,1
0,3,0,27.94565086988422,0,0,9.081869134350569,1
1,3,0,28.87545277557172,0,0,8.876922768571912,1
1,3,1,18.13149263832991,1,1,9.324404971425988,1
0,3,0,32.69384447330564,1,2,11.195065300552082,1
0,3,0,27.562004228453453,0,0,8.091432120093081,1
0,2,0,53.57656191906887,0,0,12.554551625467695,1
1,3,1,21.663743334854576,2,0,10.186420321470509,1
0,3,0,31.07417446473795,0,0,8.432943483723275,1
0,3,1,9.36949288662331,0,0,27.961531450635327,1
0,2,0,21.510906028001056,0,0,164.00269027905082,3
0,3,1,27.615153554533684,0,0,9.352469999245375,3
1,3,1,34.17834327397882,0,0,10.622649448674151,1
0,3,1,19.24394013498972,1,0,8.87880109055549,1
0,3,0,21.414744757479422,0,0,9.444794509935015,1
0,2,0,35.002149507457176,0,0,10.984681769839419,1
1,2,1,33.04694262393763,0,0,10.36111926328048,1
0,2,1,22.719701169682423,0,0,11.842862180993794,1
0,3,0,27.142479204627907,0,0,9.984427359913816,1
0,3,0,28.61930757543249,0,0,8.80507512529346,1
1,2,0,35.6355048262341,1,0,27.98739298385341,2
1,3,1,5.2848925017832045,1,2,50.6184223704123,1
0,2,0,28.606081011267463,1,0,27.8558274133643,1
0,3,0,27.880600937333757,0,0,67.6792445049452,1
0,1,0,19.560882883597923,0,0,8.581287440750268,1
1,3,0,22.415242930271884,0,2,10.458502583020975,1
1,3,1,32.42377204695557,1,0,59.16621317327728,1
0,3,0,27.070652671848073,0,0,10.10175291640647,1
0,3,0,6.51707017193683,1,1,26.88441278448273,3
0,3,0,20.611306013283887,0,0,8.088073850776365,1
0,2,0,31.096368923669882,1,1,26.842256331348416,1
0,3,0,42.85499174100842,0,0,7.934391597816713,1
1,1,0,36.01926495504509,0,0,8.691507473048409,2
1,1,0,35.11991303179439,0,0,27.887169588765147,1
1,3,0,34.87695954464473,1,0,7.5201817755758675,1
0,3,0,20.80616128273471,0,0,8.086563782740454,1
1,1,1,35.04388133299567,0,0,74.90507047891539,2
0,3,1,27.148383035942018,0,0,9.809471509933989,1
1,3,0,19.24311413667891,0,0,9.317616013927159,1
0,3,0,28.560780364566007,0,0,7.418568009432816,2
0,3,0,35.471564136226114,0,1,26.24253657057148,1
0,3,0,43.28666181699331,1,0,12.737664073537838,1
0,3,1,21.291993627919002,0,0,9.720725317466119,1
0,3,0,28.874192812081695,0,0,10.83324508458665,1
0,3,1,28.12621036077904,0,0,23.109005063789525,3
0,2,0,28.04404194652308,1,0,53.40178034760013,1
1,2,0,32.3028570571078,0,0,10.398535225466208,1
1,3,0,45.453173600466194,0,0,8.370475981810603,1
1,3,0,28.05155970097793,0,0,9.755951117024273,1
0,3,1,21.88888844626287,0,0,9.71048651552233,1
0,3,0,20.74910294360472,0,0,8.796060591286398,1
0,3,0,27.399554240427822,0,0,9.533765107152245,1
0,3,1,37.94584529478514,0,0,22.503898206012373,3
0,3,0,35.24875612273708,0,0,25.71020177248689,3
0,3,1,44.93962038461678,0,1,12.204410932550168,1
