age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37,2,240328,15,2,11,0,4,1,188,4,41,39,0
40,4,203011,15,2,12,0,4,1,207,1,50,39,0
32,2,168358,15,2,11,0,4,1,147,4,68,39,0
43,7,228716,12,2,10,0,4,1,107,7,68,39,1
33,2,237922,15,2,14,0,4,1,10644,4,68,39,1
69,4,249452,8,2,3,0,4,1,198,2,41,39,1
40,4,158296,8,2,5,0,4,1,167,5,40,39,0
67,4,245917,8,2,4,0,4,1,11951,4,41,39,1
17,0,258941,15,4,0,3,4,0,16,1,14,4,0
22,1,269039,15,2,4,0,4,1,280,0,69,39,0
43,4,250149,15,2,3,0,4,1,3,8,41,39,1
46,4,250612,15,2,4,0,4,1,10,10,67,39,1
50,4,256631,6,2,3,0,4,1,158,8,41,39,1
19,4,20848,15,4,8,3,0,0,12488,0,28,39,0
33,4,183201,3,2,14,0,4,1,111,0,40,1,0
42,0,275997,8,2,0,0,4,1,164,1,41,39,0
50,4,233615,15,2,3,0,4,1,164,6,41,39,0
53,4,267459,15,2,3,0,4,1,7600,11,53,39,1
18,2,334943,15,4,11,3,4,1,14,1,29,39,0
42,4,250487,15,2,3,0,4,1,192,3,41,39,0
36,4,260357,15,2,3,0,4,1,173,0,69,39,1
22,1,265481,15,2,4,0,4,1,241,6,70,39,1
42,2,229444,15,2,14,0,4,1,269,0,41,39,1
39,4,578291,15,2,3,0,4,1,97,10,68,39,1
46,4,240459,15,2,3,0,4,1,100,2,40,39,1
30,2,258192,15,2,11,0,4,1,235,5,69,39,0
53,4,235041,8,2,12,0,4,1,40,7,41,39,1
55,6,198711,8,2,3,0,4,1,121,3,40,39,1
49,4,256146,9,2,3,0,4,1,141,3,52,39,1
47,4,258456,15,2,3,0,4,1,133,9,41,39,1
27,4,125736,8,0,6,1,4,1,86,1,40,39,0
37,0,167828,11,0,0,2,4,0,98,1,40,0,0
63,4,256195,11,2,3,0,4,1,216,4,41,39,1
51,4,336294,8,2,3,0,4,1,121,4,41,39,1
53,4,242564,8,2,3,0,4,1,3389,7,41,39,1
62,6,150185,11,2,3,0,4,1,57,2,40,39,1
44,0,117851,9,0,0,4,1,0,2852,3,40,30,1
52,4,138352,2,4,6,1,4,1,256,1654,40,22,0
46,4,215036,15,2,4,0,4,1,7615,5,66,39,1
39,4,265843,11,2,3,0,4,1,133,1,41,39,1
39,4,251970,6,0,6,4,4,1,272,3,40,39,0
38,4,261357,15,2,3,0,4,1,219,9,53,39,1
54,4,218027,15,2,3,0,4,1,5605,12,40,39,1
34,4,250876,1,4,3,1,4,1,101,1,40,39,0
43,6,194701,10,2,10,0,4,1,238,3,67,39,1
48,4,241482,15,2,3,0,4,1,96,8,51,39,1
64,6,18197,8,2,3,0,4,1,48,4,40,39,0
22,2,291942,11,5,3,4,2,1,129,1,40,39,0
55,4,225663,8,2,3,0,4,1,194,2,65,39,1
29,5,252937,14,2,4,0,4,1,287,10,66,39,0
48,4,249653,15,2,3,0,4,1,48,0,52,39,1
55,4,187519,8,2,6,0,4,1,202,2,40,39,1
40,4,252876,15,2,3,0,4,1,180,8,40,39,0
30,4,60896,1,4,3,0,4,1,25,6,50,39,0
53,4,244074,8,2,3,0,4,1,6985,4,41,39,1
29,2,260185,15,2,11,0,4,1,217,4,69,39,1
20,4,226901,11,4,14,1,2,1,153,0,40,39,0
33,2,411996,15,2,11,0,4,1,143,1,68,39,1
43,4,239005,15,2,3,0,4,1,144,4,40,39,1
17,0,293977,15,4,0,3,4,0,44,2,5,39,0
50,4,248361,11,2,3,0,4,1,136,2,40,39,0
33,8,43477,1,4,3,3,4,1,167,6,40,39,0
36,1,239504,7,0,12,0,4,1,210,3,65,39,0
42,4,255282,15,2,12,0,4,1,153,1,52,39,0
50,4,206445,15,2,4,0,0,1,3907,9,65,39,1
50,4,241695,15,2,12,0,4,1,9642,3,40,39,1
44,4,234381,12,2,4,0,1,1,42,10,40,1,1
51,4,219279,8,2,4,0,4,1,217,0,40,39,0
31,4,251124,6,2,3,0,4,1,274,5,41,39,0
41,4,194362,8,2,12,0,4,1,11111,0,65,39,1
36,1,86409,15,2,1,5,4,0,79,1,14,39,0
37,2,238577,15,2,14,0,4,1,260,0,41,39,1
54,4,234242,15,2,3,0,4,1,49,10,46,39,1
40,4,265532,15,2,3,0,4,1,122,5,41,39,1
29,4,261043,15,2,3,0,4,1,295,1,41,39,0
48,4,243681,15,2,3,0,4,1,167,9,52,39,1
45,4,233591,8,2,12,0,4,1,164,1,66,39,1
49,4,259565,8,2,3,0,4,1,180,6,41,39,0
52,4,233144,8,2,12,0,4,1,6700,4,67,39,1
36,4,228024,3,2,6,0,4,1,33,0,38,4,0
40,1,243092,12,2,10,5,4,1,54,13,37,18,0
35,1,259995,14,2,10,0,4,1,206,5,69,39,1
26,5,260787,12,2,4,0,4,1,213,11,67,39,1
42,4,205588,15,2,3,0,4,1,145,10,51,39,0
48,4,223027,5,2,5,0,4,1,242,1,40,39,0
47,4,50277,12,2,10,0,4,1,187,0,46,39,0
53,4,251466,8,2,3,0,4,1,8293,10,40,39,1
22,4,342502,15,4,12,1,4,1,76,0,40,39,0
35,2,253332,15,2,11,0,4,1,144,9,69,39,1
21,2,360715,11,4,7,4,2,0,25,1,5,39,0
42,4,254747,15,2,4,0,4,1,11829,0,41,39,1
19,1,305618,15,4,3,3,3,1,8019,1,59,25,0
51,4,256538,15,2,3,0,4,1,8436,6,68,39,1
64,4,96937,13,4,6,1,4,1,67,8,40,23,1
36,1,180794,7,6,1,4,4,0,187,4,16,1,0
62,6,182791,0,2,3,0,4,1,146,1,40,39,1
49,4,239666,15,2,3,0,4,1,89,9,52,39,1
46,4,253751,15,2,12,0,4,1,167,7,53,39,1
59,1,236386,8,2,4,0,4,1,188,5,47,39,1
46,4,237347,15,2,12,0,4,1,133,6,52,39,1
55,6,41051,8,2,5,0,4,1,69,3,51,39,0
44,4,249393,8,2,4,0,4,1,12795,0,69,39,1
41,6,205257,12,2,10,1,4,1,255,1535,66,39,1
