Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,30.02382025664534,1,1,107.4782819563871,1
1,3,0,31.569578620676978,0,1,14.181657676170111,1
1,2,1,41.94965878372179,0,5,8.460743304226503,1
1,3,1,40.80564764029137,3,2,27.81316775206289,1
0,2,1,27.542423977731996,2,0,25.112221914600653,1
0,3,0,60.370171863473075,1,1,40.43075395399492,1
0,3,1,40.63181165910958,1,1,40.29145324160972,1
1,2,1,24.285043502981896,2,0,21.99785213021075,1
1,3,1,29.706201712217393,0,0,11.735147647016777,3
0,3,1,29.371708202620084,0,5,7.843587108997713,2
1,2,1,27.22795959372246,0,0,9.1185686228141,1
1,1,0,31.419309211238712,4,2,72.3789106599935,1
1,2,1,20.70206916045808,2,5,22.89885078768787,1
1,1,1,50.31704273347118,1,0,252.4840758978409,2
1,1,0,44.67950015255693,0,0,10.784853874507196,1
0,3,1,25.498352543978665,1,3,24.836907154465926,1
1,2,1,26.59622886225644,0,0,12.649484250406147,1
1,1,1,28.529480840483682,0,0,7.040747914270007,1
1,1,0,70.4917198222169,4,2,87.27867819339751,1
1,3,1,27.70350304852685,0,0,10.184752991448102,1
1,2,1,27.245668020279822,0,0,11.179436311427992,1
1,3,1,29.190631089739487,0,0,10.091184782716779,3
1,3,1,29.261985098082658,0,0,10.4155078012324,3
1,3,0,29.65439931303813,0,1,91.12305426338752,1
0,3,0,29.966651805573715,0,0,28.022855178443603,2
0,3,0,31.62037691917194,0,1,12.232345053559516,3
1,1,1,49.70252474302279,1,0,99.73834378300354,2
0,3,0,29.5922063330085,2,0,12.34603237172719,2
0,3,0,28.853017178481384,1,1,37.019452414474,1
0,3,0,30.144120517331167,2,0,9.619787746892687,1
0,2,0,69.36143379235176,1,0,8.862363648537603,1
0,2,1,26.629062092443686,0,0,12.219795444024983,1
1,1,1,47.83281601557741,0,0,23.784684553275397,2
1,1,0,49.3317959746362,1,2,169.7839670407556,1
1,1,1,47.539886081371726,1,0,87.2947088837428,1
1,3,1,28.024645489349965,0,0,9.53191613384303,1
0,3,0,31.36474393522818,5,2,60.29470105593979,1
1,1,1,45.57287532641188,1,0,187.2511374913603,1
1,1,1,30.552752374368872,0,0,7.32500508828944,1
1,2,1,30.795102597396188,2,0,10.709327978527005,1
0,3,1,30.17487769105791,0,5,8.366636016651254,2
1,1,1,51.082687897506304,1,0,96.20427439908045,2
1,1,1,47.01998476529913,0,0,216.5271566354357,2
1,3,1,41.9954577385066,0,5,8.766018702495844,2
0,3,0,30.525659578030123,0,0,10.167227990557581,2
1,1,1,28.40973007155584,0,0,8.291985707011332,1
0,3,1,29.65576163787814,2,5,8.184979846154643,2
0,3,0,30.174981818060356,2,0,9.889825560425816,2
1,3,1,38.09305615760358,3,2,28.282569247741478,1
1,2,1,26.234649054321785,2,0,26.559990394821284,1
1,3,1,24.324364785405923,3,2,24.872425167437594,1
0,3,0,31.46266524099927,0,0,11.629395589562986,1
0,3,0,30.935908549476515,0,0,10.414842083841057,3
1,1,1,49.32582651657265,1,2,96.74481258160506,2
1,2,1,27.74000149994926,0,0,10.915142480802482,1
0,3,0,30.902828031356457,0,1,87.43215020527921,1
0,3,0,30.544374148646092,0,0,9.1196389167074,2
0,3,1,26.38225866771882,1,3,11.597426056293045,3
0,3,1,30.16290734629253,0,5,9.452764509565302,2
1,1,0,76.53135912815091,1,2,69.9100493446676,1
0,3,1,27.811236233007456,2,5,10.97815047406776,2
1,1,0,26.551393053935932,0,0,10.324731805759185,1
0,2,1,25.44764175021194,2,0,22.993727579569338,1
1,2,1,26.973161479313134,0,0,8.688492508823808,1
1,3,1,29.47484582811998,0,0,11.362238205335219,3
1,3,1,21.61462110318751,2,5,21.800509606244194,2
1,1,1,44.224288340663676,1,0,195.06587481214186,1
1,1,1,49.77402209668792,0,0,243.0006494588693,2
0,3,1,40.582528552399374,1,1,39.05840723220814,1
1,1,1,75.00355433339304,4,2,84.138466827524,1
0,2,1,26.72062321124609,0,0,11.047471773238417,1
1,3,1,39.55293526335613,0,5,8.807968586345261,2
0,2,1,25.41060865007286,2,0,23.233776349548435,1
0,3,1,41.4857032508483,1,1,40.18919122416978,1
1,2,1,26.917641043681066,0,0,11.246861995739842,1
1,1,0,76.00832209843458,1,2,132.98749381900126,1
0,3,1,29.75126740169729,0,5,8.747892341508571,2
1,3,1,29.53362424284478,0,0,10.201853095791549,3
0,3,0,28.782131486018272,5,2,16.696808319384168,1
1,1,1,48.53146071581283,0,2,71.45801467464089,1
1,1,1,28.13966876868035,1,0,76.895580491228,1
1,3,1,26.15097894640587,0,0,8.24182941881198,1
0,3,1,41.8827833492974,1,1,40.70050039989455,1
0,3,0,30.56037357784973,0,0,10.375230011745527,2
0,2,1,25.098270560055674,1,0,18.469051902710152,1
0,2,1,26.601298140433656,0,0,13.892604719862192,1
1,3,1,26.60454864647692,0,0,8.868721306244238,1
1,3,1,29.76090298388742,0,5,8.248913502403877,2
1,1,1,31.420896849789884,0,0,9.105913921529215,2
1,2,1,28.67649298284154,2,0,27.314099114873667,1
1,1,1,79.33376547853867,1,2,79.51064261556093,1
1,3,1,20.105845225386044,2,5,8.998452998609563,2
0,3,0,29.52345172512594,5,2,17.796701514751902,1
1,2,1,25.45901654443713,0,0,7.970883950384414,1
1,1,1,47.570923929185554,0,0,8.540531251031549,1
1,2,1,25.306775651852625,2,0,21.530635098117976,1
0,3,0,61.59525294197272,5,4,24.72332131439361,1
1,1,1,44.686960933224924,1,0,186.32404766861973,1
0,3,0,28.07167696388064,2,0,62.8985147944282,2
1,1,1,65.56904641293335,0,0,194.96589947741433,2
0,3,1,28.040961266273733,2,5,7.026020348197177,2
0,3,0,29.97459255463896,0,0,8.891743414076304,2
1,1,1,48.520966583578215,1,0,253.34048557768722,2
0,3,1,30.516484301950634,0,5,6.720085523572133,2
0,3,0,29.054347589809485,8,1,81.42156481878112,1
0,3,0,39.332338643111086,0,1,63.018235129480914,1
0,3,1,29.668717695543904,2,0,11.934678411254382,2
0,2,1,26.05160193991382,0,0,12.39254149492506,1
1,1,1,49.33636232526569,1,0,258.3294644062933,2
0,2,1,25.93759040749756,1,0,20.617289373473753,1
1,3,1,23.841131087556885,2,5,8.992891188366468,2
0,3,0,30.243978653515967,2,0,12.299841826574088,2
0,3,1,63.40986760556977,3,4,34.36204636684081,1
1,3,1,28.995501347675567,0,0,10.429449994416029,3
1,1,1,25.889440831494348,0,0,9.133288293637204,2
1,1,1,27.7252202421669,0,0,7.0970486569781785,2
1,1,1,46.40048643806744,1,0,244.10184552078516,2
0,3,0,39.108649282346136,1,1,41.43522119384047,1
0,3,0,30.69976094863981,0,0,11.03262945867553,1
1,2,1,27.141818328015848,0,0,11.67431912013835,1
1,2,1,28.332629948486122,0,0,10.141762192841819,1
1,1,1,78.22967007762011,4,2,66.83832287493415,1
1,3,1,25.40193960888463,0,5,9.40470472472031,1
1,3,1,39.00235347510082,3,2,26.297761438036442,1
1,1,1,50.9638433086254,1,0,101.35651218868219,2
0,3,0,30.738646334120325,0,1,12.095292074103519,3
0,3,0,31.091884834415332,0,1,10.821846422272912,3
1,2,1,24.253125589640323,2,0,22.63180230755845,1
1,1,1,48.56758864841718,1,0,97.00028621960566,2
1,2,1,27.84257585513476,0,0,8.220801003084338,1
1,1,1,29.486222637751457,0,0,8.619885808391409,1
1,2,1,25.4693536720487,2,0,22.918426762464257,1
1,3,1,47.67896459082413,0,0,9.460452217535293,1
1,1,1,22.472439159216666,0,5,9.180976388369041,2
0,3,1,43.911150186369206,1,1,39.13501123058347,1
