Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,7.988746221556971,3,2,26.306013647147633,1
0,1,0,55.39532541768099,1,0,55.407207704308455,1
0,3,0,31.22174305953717,0,0,12.740845186373095,1
0,2,0,31.255679520901317,0,0,13.772360381068477,1
0,2,1,31.3520209936206,1,0,34.4661933144202,1
0,2,0,47.09340977454947,0,0,35.50072555457999,1
1,3,1,3.9991652295417923,3,1,30.25366977061753,1
0,2,1,34.09426569792744,0,1,32.306925629883594,1
0,1,1,4.308725289895736,1,1,28.22015873685723,2
0,3,0,44.897906079491044,0,0,14.634719944723795,1
0,2,1,23.155009728932512,0,5,37.41030106445887,1
0,2,0,34.85982706409994,1,0,31.789222457578422,1
0,1,1,23.97384434213313,0,0,61.76891656888267,2
1,3,1,20.009985939466358,1,1,35.39664696761977,1
1,2,1,17.649231186751297,0,0,9.643602352211815,1
0,3,0,20.296007626792687,5,2,32.750589694244965,1
0,2,0,40.748683884443494,0,0,14.444359748958188,1
0,2,0,28.02994634052478,0,0,12.927042478035519,1
1,1,1,45.02593026227393,0,0,38.91650425891957,1
0,1,0,55.69051242512552,1,0,27.802526738081728,2
1,2,1,35.69141377323082,0,0,15.866383431715123,1
0,3,0,16.59564790071396,0,0,13.290753167405418,1
0,2,0,39.42585648406231,1,0,14.883352745408327,1
0,2,0,36.02241247820537,0,0,28.240294357235946,1
0,1,0,63.11848591937213,1,0,89.53117671162258,2
1,1,1,45.34811747640929,1,3,95.65837265278856,1
1,1,1,20.047286309049152,0,0,28.715047008249382,1
1,1,1,18.929364398090193,1,3,29.475575303147174,1
0,3,0,30.627957533411326,0,0,34.799650034443374,1
1,2,1,3.0378406173664088,1,3,44.49035205827286,1
0,3,0,37.13637596284348,1,0,13.532091134804142,1
0,3,1,1.6020322209033075,4,2,82.68472191266432,1
1,2,1,2.94114770080777,1,1,37.15797563875043,1
0,3,0,21.616680785748745,0,0,27.075900752921342,1
0,1,0,40.38993243412498,1,1,83.8167156111813,1
1,2,1,20.05992205272301,0,0,12.91082871770328,1
1,2,1,30.526757413923132,1,1,13.828295740426723,1
0,2,0,49.19103495182431,1,0,33.945404799502825,1
1,1,1,40.51877846897633,0,1,36.366852776608496,1
0,1,0,22.219032691045825,0,0,89.91480978405649,1
0,3,1,9.900614084195517,4,2,35.46634380903342,1
0,3,0,6.2615975109668165,1,0,11.783221979881686,1
1,1,1,6.702505793713524,0,1,27.57057870147516,1
0,3,0,19.942555347002397,0,0,13.529600387973865,1
0,3,0,15.197328877218762,1,0,11.730708943911173,1
1,2,1,19.46194777599484,0,0,15.418561344207482,1
1,2,1,22.819078237319538,0,2,17.12662432555973,1
0,3,1,5.448665797391042,3,1,20.468381715406807,1
0,1,0,49.547754496148436,1,1,31.083112405708114,2
0,3,1,28.12199355417841,0,0,11.095103720477177,1
1,1,1,22.52666426884947,0,2,220.94786437391267,2
0,1,1,33.62507426562452,0,0,15.317040134041777,1
1,2,1,5.140175141829753,1,2,35.29936251473088,1
0,3,0,23.181665455565447,1,0,17.925757471192377,1
0,2,0,30.319995087823543,0,0,38.23004788506279,1
0,3,0,6.096717966527038,8,2,14.361422761353577,1
0,3,1,47.94864557074269,1,5,36.63462041045167,1
0,3,0,18.45140217404027,0,0,11.143810805706677,1
1,1,1,26.98380265594992,2,0,72.42017240474837,1
0,2,0,50.512940583049875,0,0,29.070404419838432,1
0,2,1,0.8689389534922665,0,0,31.53964376154853,1
1,1,0,33.36339889439356,1,1,44.42477690645816,1
0,3,0,19.862052769142597,0,0,31.12322094819191,1
0,3,0,25.328534933685226,0,0,12.047374010563889,3
1,1,0,54.9493129485004,1,0,72.8589509215332,2
1,2,1,8.248993909625327,1,2,29.433540814152416,1
0,3,1,27.04487847373906,0,1,12.303939052265196,1
1,2,1,3.201577747793265,0,0,16.259312458649223,1
0,3,1,16.642769035759304,0,0,38.1483760861191,3
0,3,0,35.833800574402204,0,0,12.440111538373129,3
1,1,1,22.60934130082123,0,1,178.00603531907245,2
1,3,1,25.20175446452344,1,0,15.345675418422934,1
0,3,0,50.4847386562357,0,0,14.805508476974373,1
0,1,0,3.9383753382768942,1,1,35.51613494961751,1
1,3,1,31.592547624320495,0,0,14.99914403753518,1
0,2,0,39.60169227635266,2,0,32.414755847624264,1
0,1,0,45.90243120249331,1,2,29.93789839851303,2
0,3,0,50.84640939383109,0,0,10.090378020306407,2
0,2,0,26.17155168955211,1,0,32.87867470771045,1
0,2,1,1.5723512482478252,4,2,33.92345739484717,1
1,2,1,19.91406811456434,2,1,34.004144800874705,1
0,1,0,45.30853583478238,0,0,30.867604186538806,1
0,2,0,28.37743009479955,1,1,96.61303743735587,1
1,2,1,26.843415923909,1,0,44.683581095914775,1
0,3,1,2.3029193908928693,1,2,42.5794120704352,1
0,2,0,33.83015497771553,1,1,29.705576201450835,1
0,3,0,29.11394966866196,0,0,12.536732031775887,1
0,3,1,28.82943479563762,0,0,15.368918530337005,1
0,3,1,8.373458156427887,4,2,37.06114692332272,1
0,3,1,27.012845438728128,0,0,26.13710365054667,3
0,3,1,19.263282724691205,0,0,14.160023056248274,1
1,3,0,29.244364681510163,1,0,17.707839016347044,1
0,3,0,35.94548205970322,0,0,67.22360727804154,1
0,2,1,5.199630367508471,3,1,32.820046817754026,1
0,3,1,33.86602262007085,1,0,11.463142264904718,3
0,2,0,31.776953310882035,1,0,15.825744851334342,1
0,2,0,29.661273157850825,0,0,25.550053450933806,1
0,2,0,19.54340240857947,0,0,13.915432623424076,1
0,3,1,36.54482241936212,0,0,13.07721453157211,1
0,2,0,26.261985119878624,1,0,31.80136056911957,1
0,1,0,50.80910550912151,1,0,26.94755500066087,1
0,3,1,43.74643988920204,1,4,46.935069990146545,1
0,2,1,43.268719725958725,0,0,13.081856057666725,1
0,3,1,32.517808015142,0,0,13.182154038862741,3
1,1,1,33.77448284624929,0,0,95.0939540895608,2
0,3,1,31.34572380558577,1,4,45.18733141010837,1
0,3,0,8.036079369318838,1,2,40.77835311891353,1
0,2,0,39.24866121736933,1,0,37.08761433211838,1
0,3,0,49.809696620816304,1,0,83.08264173459797,2
0,2,0,33.622367387624166,1,1,33.92317939499585,1
0,2,0,19.561213525471693,0,0,11.894604514232576,1
1,2,1,1.05558372536656,1,1,37.82810749674764,1
1,2,1,28.282218836283374,0,0,18.813211221088245,1
0,2,0,44.45675522605923,0,0,25.10748099172633,1
0,3,1,34.40140506550564,0,1,12.692028259661335,1
1,3,1,2.6795666917351113,3,2,19.675109139660478,1
0,3,0,30.851938904497114,0,0,12.463722298409959,1
0,2,0,7.811718571561693,1,1,29.978511898103818,1
0,2,0,19.539678758191215,1,0,16.00373334805329,1
0,2,0,36.85128883956676,0,0,34.13813981773682,1
1,2,1,36.176149106070156,1,1,34.05071205465839,1
1,2,1,1.8997465149162336,1,1,36.48245058363758,1
0,2,0,9.801889840565403,0,2,35.820614970383744,1
1,1,0,40.60688819870296,0,0,96.31380484087654,1
1,2,1,33.8738277519435,1,1,38.13819035386166,1
1,1,1,22.355567344029602,0,0,9.805217013196685,1
0,3,1,17.833644137527493,1,3,32.399382000108716,1
0,2,0,44.0251754263815,0,0,13.571954911235597,1
0,3,0,18.854016820125636,0,0,14.591235299819832,1
0,3,1,28.626065840535514,1,5,33.1528741643433,1
0,3,0,45.47960872990516,0,0,13.530330148108014,2
1,1,1,37.613877782486774,0,0,95.8031080036505,1
1,2,1,4.336576622761372,1,1,35.272686378177994,1
0,1,0,47.42864321682246,1,0,33.469380185235224,1
0,2,0,19.975358703637685,0,0,15.799759351164424,1
0,2,0,16.971457184353618,0,0,16.804931463224154,1
0,3,1,37.38510358921428,1,5,34.76282644757978,1
0,3,0,34.9168623841658,0,0,31.62593491539877,1
1,1,1,7.684910046255662,2,2,89.35194341948707,1
0,2,0,38.51556238247465,1,0,32.86546424592314,1
0,3,1,25.768048624913583,0,0,15.01053534158782,3
0,2,0,34.13674135154394,0,0,11.95016643771528,1
0,2,1,6.394939265074841,0,2,35.73037166127012,1
0,2,0,39.07985214238536,1,1,39.77694570038237,1
0,3,1,30.237388534443696,1,3,36.21442773681615,1
0,2,1,4.961244992514142,1,1,35.38852390311165,1
0,2,0,30.326313326858106,0,0,28.937023281336533,1
0,3,0,27.03084258267181,1,0,39.758312418544435,1
0,2,1,46.93605936907954,1,0,33.585367192056154,1
0,3,0,43.310627108712964,1,1,12.164048564094488,1
1,1,1,32.11768799179185,1,0,256.3945627405467,1
1,2,1,1.7843148330214316,0,2,37.54221882997291,1
0,2,0,43.39509558374969,2,1,27.26212180168828,1
0,2,0,37.2706322672386,1,0,32.39408222917262,1
1,1,1,48.168279524212146,1,0,67.77909613369371,2
0,2,0,19.15527292065852,0,0,32.67643619619841,1
1,1,1,44.841191308333165,1,1,219.2319893164893,1
0,2,0,46.72602825668833,0,0,10.692747073354862,1
1,1,1,61.57314767136802,1,0,68.03420454848059,2
1,1,1,29.861829581377698,0,0,36.24411538651253,1
0,3,1,6.423065859061718,4,2,87.80645704207693,1
1,3,1,16.43282254508035,1,0,15.449676303196194,1
0,3,0,19.602149187823073,1,0,11.674742632657582,1
1,2,1,4.74658182347593,3,1,38.72411195525639,1
0,3,1,27.566487568113327,0,0,10.65655373875675,3
1,3,1,16.95832424373227,1,0,14.292311960235406,1
0,2,0,1.4332555975994783,1,1,24.964405747753244,1
1,1,1,23.76186095845923,1,0,32.799538176263326,1
0,3,1,15.024542449274708,0,0,13.059591327615262,1
0,3,1,42.79967445044571,1,5,83.07065850008193,1
0,3,0,55.64271256544878,1,0,9.864853766283622,2
1,1,1,31.70929871265521,1,1,86.60391004488001,2
0,3,0,22.300887117978753,1,0,14.56509881479457,1
0,1,0,49.04921139286396,1,0,31.59214699576412,2
0,3,1,31.858233180274006,1,0,30.173308216874744,3
1,3,1,0.7680996825688027,1,1,33.847032957031544,1
0,3,0,20.6226540224484,0,0,9.214365949931056,1
0,3,0,34.02404258010076,0,0,12.572998845670265,1
0,1,0,36.78551162716907,0,0,23.644690208474273,1
0,2,0,42.26820211018552,1,1,65.58190708417358,1
0,3,1,24.118662823610787,1,1,15.76096026960455,1
0,1,0,36.976258066225604,1,1,94.99849778517931,1
0,1,1,48.497529965891076,0,0,94.28479684207873,1
0,3,0,3.249460661470307,3,1,27.93265994963214,1
0,1,0,47.4918374019613,0,0,6.570591140394597,1
0,1,0,54.46971882446216,1,0,34.876840111193786,1
0,3,1,25.870583235372422,1,3,30.00444153669529,1
0,3,0,19.158868400329364,0,0,14.13352219443879,1
0,3,1,23.019626598798805,1,3,29.983544606887662,1
1,1,1,37.513278939968004,1,0,86.1422365978848,1
1,2,1,4.940944915509068,1,0,33.07348424286776,1
0,3,0,2.7687208738519224,2,6,12.696727160000977,1
0,2,1,38.53386172271339,0,0,16.482777593796936,1
1,2,1,1.6897453473928783,1,1,19.09062576146362,1
1,2,1,0.6694803163251359,1,2,37.76782619128204,1
0,3,1,6.062711986068163,1,4,46.61302584762632,1
1,1,1,35.691536466073465,1,2,97.67546915734445,2
0,2,0,30.867066120752792,1,0,15.023504940661628,1
0,3,0,39.90021572971597,1,0,11.102611945691867,1
1,2,1,18.59619708379908,0,0,13.638941103797691,1
0,2,0,37.33292830450048,0,0,32.30627757121379,1
0,3,0,31.427547265497285,1,0,80.3979054560353,1
1,2,1,5.799461977974113,1,1,27.78913227229446,3
0,1,1,34.84217955978198,1,0,252.08543231314184,1
1,2,1,6.276930975634498,2,1,32.187642274005924,1
1,1,1,55.863723905914746,0,0,74.6778355705261,2
0,2,0,19.982109636987783,1,0,10.217567662445814,1
0,2,0,43.95230159062205,0,0,13.192477879988122,1
1,1,1,47.785783992608216,0,0,38.750744341013004,1
0,3,0,31.429770556876058,0,0,30.850716834914667,1
1,2,1,22.668330802674497,1,1,39.332587092130154,1
0,2,0,29.117410971968987,1,1,39.63231741707593,1
0,1,0,48.289993599426836,1,0,40.88509321264705,1
1,2,1,4.564717712467186,2,2,33.56692851011415,1
0,2,1,46.20225075853349,0,0,32.405133862606306,1
0,2,0,50.92925660888376,0,0,26.643465774767606,1
0,1,1,51.85926473664824,2,0,28.409874038673422,1
0,3,0,31.774929654871492,0,0,11.38925681937781,1
0,2,0,31.008047177332884,0,0,9.722770663461576,1
1,3,1,22.383694281661775,0,0,15.97707445542855,1
0,3,0,17.07754036394344,0,0,9.287459731533126,1
0,2,0,31.87858571607096,0,0,15.391170175034338,1
0,2,0,41.65287114033263,1,1,31.981080181199637,1
0,2,0,22.05963027335465,1,0,34.193816351894625,2
1,2,1,32.256341555629994,1,1,38.97588958453649,1
0,1,0,41.523314075765406,1,0,94.87332535488682,1
0,3,1,32.870336626871094,1,3,30.834946951545348,1
0,2,0,28.650808320309523,0,0,13.706811312687805,1
0,2,0,44.306737961239335,1,0,31.30120101038264,1
0,3,1,5.880234309784611,3,0,9.09085217564323,1
0,3,1,1.6678353856985675,1,5,32.63041901753038,1
0,2,1,16.24008761349897,1,0,33.22502013887334,1
0,2,0,23.825948822321546,1,0,39.34915314884415,1
0,3,0,38.87469561055103,0,0,15.284384626245735,1
0,2,0,31.14270342900729,1,0,35.36633131170188,1
0,2,0,21.2297883045032,1,0,6.395879769960828,1
0,3,0,6.871082368444887,4,2,36.96885735300838,1
0,1,0,31.03242757307978,1,0,11.578769612642812,1
0,3,1,1.540263474031569,2,2,81.72640620032837,1
0,3,0,49.261202263551475,0,0,35.99284636023911,1
0,3,1,30.75024987562358,1,3,26.05365895632933,1
0,3,1,25.03871268607701,0,0,13.649138620927435,3
0,2,0,46.48907665891044,1,0,12.467598331287991,3
0,1,0,37.05780717187088,0,1,32.226121555065994,1
1,2,0,42.53371294946346,1,1,32.153358967750975,1
1,2,1,1.7934189969141707,0,2,33.00092947183503,1
1,2,1,3.738678542044706,1,0,14.327916705539113,1
0,2,0,13.664198421439167,0,0,14.186447922347238,1
0,3,0,19.856672564400693,0,0,12.044408416363563,1
0,2,0,38.3702872277198,0,0,73.02341745651664,1
1,2,1,42.626463630520576,1,1,251.5312464576715,1
0,2,1,53.58267678643313,0,0,35.86266404297726,1
1,2,1,28.479058525276535,1,0,20.652566103099524,1
0,3,1,20.556746637917975,0,0,9.40644040572558,1
0,3,0,4.705070379098287,3,1,26.764503719870824,1
1,2,1,8.085142321666146,2,1,33.374723970284975,1
0,2,0,24.266899852119646,1,0,41.17326603557723,1
0,2,0,41.12431284900938,1,0,12.946912336639844,1
1,3,1,26.510123667879277,0,0,12.515747150014867,3
1,3,1,37.20154982964897,0,0,12.55489500659058,1
1,1,1,12.014770424635186,8,2,83.03596620788393,1
0,1,0,46.39746321040052,0,0,94.9644694166091,1
1,2,0,25.636015810169962,1,0,36.415379701475274,1
