Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,0,45.16624524599764,0,0,27.224441200528936,1
0,2,0,19.818904432105427,1,0,29.410836429573738,1
0,3,0,41.8301101636934,0,0,11.049061517944448,1
0,3,1,19.36519678651504,0,1,12.36833182829538,1
0,3,1,25.6646990603298,0,0,13.990279842479508,3
0,2,0,43.17980391373914,1,0,28.836033910756946,1
0,3,0,16.655065077608867,0,0,10.552981902614086,1
0,2,0,39.94307802630213,1,0,34.219044154795874,1
0,2,1,20.08325395577812,0,0,13.68630656276677,1
1,2,1,4.480304021832333,1,1,33.9504206460006,1
0,2,0,26.302081316077864,0,1,28.78010808820787,1
0,3,1,35.26929141175441,0,0,19.178824067994018,1
0,3,0,41.489155567806684,0,0,13.5344399558704,3
1,2,1,34.950704394572696,1,0,39.17616705775306,1
0,3,1,4.944622851162309,4,2,38.24642344351801,1
1,3,1,18.68821333495191,0,0,13.688099256282523,1
0,1,0,43.44629291257877,1,0,31.198727075023253,1
0,2,0,40.44565464739948,1,0,13.48139117530485,1
0,3,1,32.06051236107476,1,3,31.28518685173413,1
1,2,1,31.195784447020383,1,0,14.310286203980922,1
1,2,1,18.008253071799494,1,0,12.142822861489199,2
0,2,0,39.59706069792876,0,0,11.092612973646897,1
0,3,0,41.17425429546074,1,4,45.45510086690138,1
0,1,0,30.263475052697952,1,3,114.95611247296648,1
0,3,0,7.422186646805309,3,2,25.574916549931743,1
1,2,1,24.103152451103032,2,1,27.292511173140525,1
0,3,0,14.99985020131313,0,0,10.504576850005623,3
0,2,1,29.84608170752613,1,1,35.1075982172892,1
1,3,1,25.770210938498856,0,0,14.929584811396648,1
1,1,1,22.869216381454233,1,0,38.671952802823995,1
1,2,1,2.7734887611896353,1,1,15.223451668175695,1
1,2,1,45.995447316254676,0,1,13.826668626968996,1
0,3,0,38.859416612027566,0,0,56.014649562113,1
0,3,0,30.75560478645037,1,0,13.379100697301181,1
0,2,0,33.154165006898296,1,0,30.02561054176724,1
1,2,1,21.57554517927479,1,1,27.11967923524568,1
0,3,0,19.757331636812385,0,0,10.347663511409117,1
0,3,0,40.49111387007748,1,0,12.53547860583513,1
0,1,0,9.523210456047167,1,0,73.73915517121804,2
1,1,1,44.96503767237402,1,1,105.79574295928944,1
0,3,1,21.94146817102196,0,0,10.583350618955272,3
0,3,1,3.308960090278248,1,2,91.8205836443318,1
0,3,0,29.24368500793381,1,0,8.000100903920774,1
1,3,1,17.90402098813765,0,1,8.782318712926696,3
0,2,0,17.286688176424448,2,1,31.777409286847096,1
0,3,0,37.32108282983248,1,0,30.000115220976276,1
0,3,0,33.11287576339165,0,0,12.84267943847221,1
1,2,1,4.030155824945986,2,1,29.707838254339414,1
0,2,0,37.59607711737574,0,0,10.037376611239221,1
0,3,1,36.40843288586931,0,0,32.31196289604205,1
0,2,1,22.40489297148272,0,0,14.311715527278153,1
1,2,1,18.88854361711877,0,0,28.946462971370018,2
0,3,0,15.52627133670951,0,0,12.920174176966048,1
0,3,0,20.605366626263955,2,1,28.08282589882941,1
0,3,0,17.4136474773716,1,0,11.606037225876005,1
1,3,1,3.01156782362499,0,2,82.7196933397471,1
1,3,1,20.643452948373962,0,0,8.312501780796516,3
0,2,0,47.337335121955405,1,0,10.658302898305879,1
0,2,0,26.502777497471993,0,0,12.963259466927633,1
0,2,0,35.96591254435365,0,0,72.74183427184057,1
0,3,0,38.97245743670405,1,0,12.511650679248035,1
1,1,1,30.1644718197028,1,1,89.43726738842494,1
0,3,1,45.978960860027875,0,0,14.861471516889432,1
1,2,1,46.172588452931905,1,0,13.145369346914546,1
0,3,1,17.40587420342519,0,0,11.203901519925338,1
0,2,0,22.095929384715273,0,0,11.028587845739471,1
0,2,1,21.533727917652925,1,0,30.046378497873352,1
1,2,1,19.691742276560966,0,0,13.540100881379992,1
0,2,0,46.4034139182789,0,0,10.282217301461147,1
0,3,0,35.172454219995494,0,1,7.574286620569089,3
1,2,1,7.2120616096764865,2,1,35.88522122435597,1
0,3,0,33.29275369016007,0,1,15.760481647613119,1
1,2,1,2.4466363694542794,2,2,172.03031404612776,1
0,2,0,38.871579834034456,1,0,42.88881223283236,1
0,2,0,29.689247248222387,1,0,13.695028454576981,1
0,3,1,3.38870841794355,3,2,30.820490959276626,1
1,2,1,6.166387526407721,1,1,37.44133040524098,1
0,2,0,48.42590218678664,0,0,14.02654741129816,1
0,2,0,39.64954660519311,0,0,34.14749793076475,1
0,2,0,32.49311952354343,0,0,12.965540596450413,1
0,2,0,38.138395255140146,0,0,14.719450129127008,1
1,1,1,53.143480549898364,1,0,65.35059475526775,2
0,3,1,30.324560869779546,1,5,37.09184084133339,1
1,3,1,4.4534861682123115,1,1,15.601855448743121,1
0,3,0,18.875795518137362,0,0,16.22463325050876,1
0,3,1,10.068609505428503,4,2,59.451080106860445,1
0,2,0,26.618061793825007,1,0,34.49594750178592,1
0,1,0,40.65060561542702,0,0,11.57739489553493,1
1,2,1,22.42523323600179,0,0,25.649713207470388,2
0,3,0,37.22992433903339,0,0,12.409093461333264,1
0,1,0,35.46609868328298,1,0,95.78637556298742,1
0,2,0,32.64363408549073,1,1,38.15655019322288,1
1,1,1,7.552065188683205,1,2,40.570395558001096,2
