Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,0,33.79423924634051,0,0,15.391332866751686,1
0,3,0,28.657082521503227,4,1,27.552982222361422,3
1,1,1,35.342634642356614,1,0,12.185926275535508,1
0,1,0,33.76545349841454,1,0,25.215011377660083,2
1,2,1,57.01198930414414,0,1,2.2585577857436796,1
1,3,1,32.99038185504612,1,0,13.767887564501958,3
1,3,0,32.26835874411745,0,0,2.0584581744154775,3
1,3,1,35.49765377527327,2,1,9.930258213643064,1
0,1,0,31.971478174397145,1,4,5.448512322021127,1
1,3,0,28.68884961294169,3,1,7.723559433471412,1
0,3,0,33.118330934264975,0,0,7.7455010559324435,1
1,2,1,35.495964162319844,2,6,4.832269595858964,1
1,2,0,28.607899061005146,1,1,13.93792047684458,1
1,2,1,34.46354211433427,0,2,2.315353735384665,2
0,2,1,32.51822571660347,0,1,6.316523388200633,1
0,2,1,29.184412781940523,1,0,66.4201074033585,1
0,3,1,28.342687008572224,3,2,34.480295874119236,1
1,3,1,32.7940119620873,1,0,3.1689944503195866,3
0,2,0,29.19482105124862,0,2,0.8135256205513208,1
0,2,0,33.17885411535805,5,0,2.6461917879558783,1
1,1,0,35.49561973783844,0,0,12.464307068233076,2
1,3,0,28.686709038592667,1,1,10.252739864126022,1
0,3,0,28.68560917061685,4,1,32.892426585601655,3
1,2,1,35.425596132047396,1,1,24.78118359197417,1
1,1,0,33.78654339171473,0,0,1.1206437848726551,2
1,3,0,33.351423745381865,1,0,40.81713054279818,1
1,1,0,35.488445692198965,0,1,0.5508494856244859,2
0,3,1,35.495064441225566,2,5,5.434116487097278,1
0,3,0,56.182523590088095,0,0,3.117871481583914,1
0,3,0,28.260464482179536,5,2,18.16461984926368,3
1,3,1,28.638919909501585,1,6,18.74735755386826,3
0,3,0,33.75566692354983,8,1,33.29810545644787,1
1,1,1,35.319904383851615,1,0,10.840783092014178,1
1,2,1,28.67701191409194,2,1,0.1811496118616276,1
0,3,0,78.12552015518281,1,3,13.917024002774415,1
0,1,0,33.58889432153767,1,0,43.716015452728456,1
1,1,0,56.94803538945622,1,2,18.564815794440015,2
1,3,1,33.17472823200426,0,0,61.69663768468642,2
0,1,0,33.46514713327177,1,0,25.564814345554105,1
1,3,1,70.92479314296268,1,0,1.2228872361878835,1
0,3,0,28.680666487635058,1,1,0.24474241979992684,1
1,3,1,34.57440462292053,1,0,2.598875636551293,1
0,2,0,57.109999831452036,1,1,16.860699713699887,1
0,3,0,28.105236538164615,4,1,9.721158574652907,3
1,2,0,34.50327305980537,1,0,1.1488007330446095,1
0,3,0,28.676885523395452,1,1,9.44641408704114,1
1,1,1,35.487706761104924,1,1,27.76820860269386,2
0,3,0,32.461237059292195,1,0,1.0793529801749404,1
0,3,0,28.58346262996296,3,1,53.918500205194846,1
1,1,1,35.413637924925126,0,2,53.122365977156875,2
1,3,1,34.82298859920552,1,0,54.032980361472724,3
0,1,0,35.357704970685866,1,0,36.437916381154906,1
1,2,0,28.689515180971068,2,1,5.907633178115983,1
1,1,1,34.244491658695914,1,2,3.4347345893551946,2
0,3,0,33.732686383825566,8,2,15.340400912273601,1
0,2,0,49.707470349424064,0,0,1.3491757340778747,1
1,3,1,32.348151385384526,1,0,11.160942978639937,3
1,2,1,35.210410786852165,1,2,1.4855032152663235,1
1,1,1,79.16173840240907,1,3,74.25085832883477,2
1,1,1,35.28367918756624,1,1,62.50294682179103,2
0,3,0,27.8006484054483,4,2,21.445843776252488,1
1,1,0,35.42119154040126,1,2,9.47067951057199,1
1,3,1,33.06041109865362,1,0,0.11801177162075582,3
1,1,0,34.7073498368414,1,0,10.402723934523529,1
0,3,0,28.65728286420298,4,1,20.84043575249249,1
1,2,1,35.11297907577295,0,0,3.050609238377972,1
0,3,0,30.812804699073503,1,2,5.416289860565641,3
0,1,0,33.78410876265268,0,0,3.2586883521871144,2
1,1,1,33.19559961860843,1,1,20.53711767183256,2
1,1,0,33.65363813985255,0,1,2.832805028739852,2
0,3,0,28.631550256230856,4,1,17.987124121107854,3
0,1,0,33.79427571635446,0,1,0.397611388661403,2
1,1,0,35.43654391020635,1,1,2.229727552940119,2
1,1,1,33.73909147263055,1,0,66.18988340702036,1
1,2,1,35.499295063363235,2,1,1.8392885604830234,1
0,1,0,31.21544455999271,1,0,25.26571740341131,1
1,1,1,56.148162739321506,1,0,63.99192282346122,1
1,3,1,33.53294591172709,0,0,0.033233775346683814,3
0,3,0,28.654188981302788,3,1,1.1862230804825344,1
1,3,1,28.65991958926481,1,1,5.57664047442525,2
1,1,1,33.32076950571319,3,2,22.37669328753266,2
0,3,0,28.668035485477567,4,1,18.31154630170053,3
1,2,1,27.26327550143939,1,1,23.76128472396109,1
1,3,0,28.58109751044039,1,1,9.991479291257262,1
0,1,0,33.566151007324706,1,0,22.481693889828904,3
0,3,0,32.944986912916924,0,0,1.0285646945352749,1
1,1,0,33.794492832231896,0,0,10.147255513997422,2
0,3,0,33.16844720941496,1,0,94.38880197839862,1
0,2,1,25.80466501320624,1,1,15.562797706197346,1
0,3,0,28.68437618903516,3,1,15.021390717061124,2
1,3,1,27.92764550836265,1,0,10.48069557543631,1
0,3,0,32.27607232248833,0,0,0.2100974348933402,2
1,3,0,28.687777981185302,1,1,15.951905439080496,2
1,2,1,28.60142086551922,0,2,0.5502460892258796,2
0,3,1,28.656080808004468,2,1,20.775302210277673,3
0,3,0,33.69658107001586,8,2,16.68284144401337,1
1,1,0,35.485909954818,1,0,0.6048442576034105,2
1,1,1,35.36606165752936,0,2,1.51226824382573,1
1,1,1,35.42528509565347,1,1,5.817247354191856,1
0,3,0,33.76067251817467,8,2,1.8665704591099725,1
0,1,0,35.424157808383974,0,0,16.92223794308343,1
0,3,0,28.61020367434323,2,1,2.230765216689406,1
0,3,1,35.310647975913845,1,2,9.764090866446196,1
0,1,0,34.81485069219843,0,2,0.20859612112556292,1
0,1,1,30.53716365204975,1,0,39.22742085168043,1
0,3,0,35.19084273168537,1,3,24.743280222571755,1
0,1,0,33.732672409334235,0,0,3.452431461685247,3
1,1,1,35.47484268245121,1,0,12.862512713909908,2
0,3,0,28.67046380034838,3,1,2.2277060436861147,2
1,2,1,35.37981139913526,1,5,3.0017271650235173,1
1,1,1,35.329210873920616,1,1,68.42612525303664,2
0,3,0,54.27600065768942,1,4,17.11857966758523,1
1,3,0,28.642161696408305,1,1,6.010972568391006,2
0,1,1,35.48445493711084,1,0,33.59678760936936,2
0,3,0,32.69711352091304,8,2,4.4944245265036,1
1,3,1,56.664133965363426,0,0,7.213429293323713,3
1,1,1,35.02527208449015,1,0,47.85840975201215,1
0,3,0,33.52788953175572,1,5,3.3551351596223604,2
1,1,0,33.80279470260349,0,0,120.84351107378033,2
0,3,1,28.495041581114872,1,3,16.57339826079549,1
0,3,1,30.933975979578463,1,0,104.61994073628614,2
1,2,0,76.64092442757573,1,0,27.601888559900765,1
0,3,0,28.66472109114946,1,1,12.56160603176907,1
0,3,0,33.296214620246566,1,0,15.189322679707693,3
1,3,1,28.590533786056877,4,1,3.6963348591110297,3
1,1,0,35.47662894513156,1,0,13.635055589640784,2
0,3,0,32.07861616845983,1,0,12.767570330764876,2
0,1,0,33.124157274624295,1,0,41.8334084835209,1
1,2,1,57.15382123828398,0,0,1.434917281674906,1
0,3,0,28.637805251125116,4,1,8.691288999986153,3
1,1,1,35.49152178941682,2,6,21.9365663793807,1
1,1,0,33.048482677362216,1,0,3.928970294591217,1
1,2,1,28.673489109572817,0,1,11.64559932904066,1
0,3,0,28.6781991798898,4,1,3.8926866098369715,3
0,1,0,33.800377797286544,0,0,59.98759463828314,2
1,3,0,33.5748373466284,0,1,6.605565272285828,1
0,3,1,50.649757014901475,1,3,4.68856281369904,1
0,3,0,28.653902585362875,4,1,8.389096310009933,1
0,1,0,28.687708062927673,2,1,4.472395598160858,1
1,2,1,35.22894381130697,1,0,20.54163861347103,2
0,3,0,34.60451013422379,3,2,1.3097302020001713,1
1,1,1,79.2517806026393,1,0,7.828048764698195,2
0,3,0,33.77443262035358,0,0,4.33372584765532,1
1,3,1,33.49397412298922,1,0,9.420698158294314,3
0,3,0,25.29004915747449,1,3,1.7980552579450269,3
1,1,0,35.435145125067585,1,0,5.265108117156991,1
0,3,0,33.7566584307515,8,2,14.229501463086478,2
0,3,1,32.00176989075646,0,0,3.545751910136776,1
1,1,0,35.39175027631214,0,0,7.66747858987133,1
0,3,0,28.662053440704447,2,1,5.957082515604188,1
1,2,1,28.61329621266154,0,1,6.489899765072032,1
1,1,1,35.389993008549865,0,0,4.706863407190305,2
0,3,1,21.63601075794186,1,5,31.435438370341068,1
1,3,1,33.67036867354144,1,0,8.59497966120611,2
1,3,0,28.685287815548122,3,1,17.769244850508514,2
0,3,0,56.558004863951865,4,0,11.622799695332596,3
1,1,0,33.65302632980546,1,0,8.125364150392755,1
1,3,1,28.677521510623524,1,1,8.250210588131969,1
1,1,1,33.66346186641371,0,0,6.307183679184682,1
0,3,1,28.50345059617693,1,2,5.491723525140657,1
1,1,0,35.4814992127347,1,0,4.7260073488521,1
1,3,0,28.669134008871506,1,1,17.02298600067732,1
1,1,1,33.607449378447775,1,0,108.46823559323042,2
1,3,0,35.28662876150522,1,1,2.8641635766285125,2
0,3,0,28.635672744267357,4,1,6.201002319578571,3
1,2,1,35.494526717290306,2,0,0.8665370020361287,1
0,1,0,33.78414795939665,1,0,14.612042772051911,2
1,1,1,35.46581120478701,1,0,1.9244061637405565,1
0,3,0,28.61869201973606,4,1,23.643170551909957,3
1,2,1,35.444238107103466,1,0,9.920929856109117,2
1,3,1,35.235165417819296,1,0,1.3348993744671418,1
1,1,1,34.63603815378061,1,2,39.47638047279051,1
1,3,0,28.686874422163605,1,1,3.313557416480254,1
1,1,1,35.386481108926965,1,0,94.51617879165968,1
1,1,0,33.73529825033858,0,0,54.87248635364671,2
1,3,0,26.03612392546372,0,0,2.3479170884611165,1
1,3,0,28.624414560206816,1,1,11.631374749375084,3
1,3,1,35.481015964100074,3,2,53.2438843840128,1
1,2,1,35.4792261868842,2,6,7.4495789501823495,1
0,1,0,35.48206329568639,0,0,1.2962956049818857,2
0,3,1,31.407418282485015,1,0,26.240941646174107,1
1,3,0,28.682725042489555,1,1,5.3141978439469355,1
1,3,0,28.675426652058334,4,1,4.482397111729822,2
0,1,0,33.787590115199194,0,0,1.729909746849252,2
0,3,1,33.43326279752512,0,0,2.2002590101164925,3
0,3,0,35.08260118796654,3,2,14.869521215260676,1
1,3,1,28.66214352769024,4,1,10.70521606803683,1
