Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,0,32.505835642778,0,0,87.35250023984028,1
0,2,0,26.828756310379827,0,2,101.62101466627351,1
0,3,0,29.337433376753502,0,2,43.74512651584668,3
0,3,0,21.950829369341236,0,2,15.809592491509942,1
0,3,0,28.85712499724882,0,0,18.68796223762282,3
0,3,0,27.317057659599516,0,0,101.34630419985858,1
0,1,0,27.97623165677854,1,0,97.56056471683212,1
0,1,0,40.12918720520615,0,0,14.455040920907873,1
1,1,1,32.18390688148756,0,0,15.248100952375847,1
1,3,0,33.51790693313067,0,0,10.783170267549428,3
1,3,0,21.265785714954884,0,0,83.71421310751215,1
0,3,0,29.51641653140329,0,0,17.67658867427138,3
1,1,1,34.86250417941706,1,1,78.30570601505134,1
0,3,0,9.047521254106245,4,2,88.32117394339119,1
1,1,1,16.68574653342121,1,1,61.45540831003688,1
1,1,1,17.83757844038875,0,0,74.59450206810304,2
0,1,0,50.982287426965975,0,0,99.02037755451411,1
0,3,0,9.920039930871097,8,3,124.07101430527202,1
1,1,1,25.20057293692673,0,1,31.28220496152561,1
0,2,1,26.34190740672763,0,0,13.054935206317968,1
0,3,0,29.666336408137774,0,0,14.892701727651053,1
0,1,1,28.87978359772265,1,4,118.9021666856575,1
1,1,1,34.42086772956728,1,0,244.79848010318824,1
1,2,0,29.50430422582421,0,0,80.60328220843041,1
0,3,0,30.116676490993143,0,0,22.848205987653593,3
1,2,1,27.57957632177232,0,0,14.157949027618738,1
1,3,0,25.943796922877244,0,0,14.683930941907995,3
1,1,1,34.99184637357077,0,1,36.03584997137685,2
1,2,1,17.421931237602955,1,0,42.96813607237603,1
1,1,1,35.671277271380916,1,0,32.27700656930398,2
0,3,0,26.5252179047942,0,0,14.64451131259267,1
0,3,0,29.40328169114504,0,0,20.921079582969682,1
0,3,0,18.86603543332723,0,0,17.538271448293326,1
1,1,1,41.09566439005225,1,1,14.302132183698225,1
1,3,0,36.01126096907421,0,0,13.994899979052947,2
0,3,1,30.865835848609407,1,5,39.98062206358445,1
1,1,0,26.851921061528643,0,1,70.89008149016536,2
1,3,0,43.053356574150364,1,2,98.79520439956649,1
0,3,0,27.86669862449547,0,0,22.418773855526506,3
1,3,0,17.672315974027335,0,2,105.11372773871673,1
0,3,1,30.05170959207892,1,5,29.114606168329843,1
0,1,0,42.21361569406255,1,0,196.40847905731675,1
0,3,0,27.6774642218418,0,0,16.668127105496616,3
0,3,0,24.632989548982955,0,0,13.47840142352767,1
0,3,0,20.677964423396915,0,0,14.417142212368685,1
0,3,0,27.946360190998625,0,0,12.808048293844028,1
0,3,0,18.678003234802635,2,2,43.1155653181189,1
0,3,0,28.861926683594735,0,0,12.52976357741904,1
0,1,0,33.851102078406676,0,0,95.6385227711226,1
0,1,0,49.35716780304929,0,0,78.59065577513678,2
0,2,0,29.98073246895,0,0,11.866818268021289,1
0,3,0,40.998710360965745,0,0,14.021446639601884,1
0,3,0,8.484550536458439,2,1,40.890863760380554,1
0,3,1,29.660039195589004,0,0,12.883185403821715,3
1,1,0,21.442874103542273,0,0,103.85111456654828,2
0,3,0,27.106052469337325,0,2,119.20194189948293,3
0,3,0,21.65258511592365,0,0,17.554402166955125,2
0,3,0,28.29609533318379,0,0,13.438353445572698,1
0,1,0,43.10009605099387,0,0,81.33773565628229,1
0,3,0,17.929575581254667,0,0,14.213480250847521,1
0,3,1,29.93732020038288,0,2,12.545922479920504,1
1,3,0,26.663278465801092,0,0,14.189448494705717,2
0,2,0,28.164622376146607,0,0,30.117707790872952,1
1,1,1,15.958794294403976,1,2,27.66783743735052,1
1,1,1,22.006957929448284,1,0,20.38622911344157,1
0,3,0,28.563837703821115,0,0,11.117512389424062,1
0,3,0,28.300150619793286,0,0,22.030290829299354,3
1,3,1,0.7086547093269013,0,1,36.2023917104663,1
0,1,0,38.24954636115073,0,0,78.1690473146872,1
