age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
18,4,216309,6,4,4,3,4,1,32,0,40,39,0
27,4,98378,9,2,12,5,2,0,-27,1,30,39,0
22,4,113107,11,6,9,5,4,0,-19,2,8,39,0
54,5,197810,2,2,3,0,4,1,49,-2,58,39,0
19,4,150896,12,2,10,0,1,1,3,1599,30,3,1
36,4,167242,9,0,10,1,4,0,-39,2,40,39,0
20,4,164675,11,4,12,2,4,0,-9,-1,10,39,0
19,7,143754,9,4,4,3,4,0,50,-2,14,39,0
51,4,206510,5,2,3,0,4,1,-75,-1,40,39,0
20,7,174733,0,4,6,3,4,1,28,-1,40,39,0
24,7,198958,9,4,10,1,4,1,-46,0,45,39,0
47,4,218667,11,5,13,1,4,0,-9,-4,40,39,0
53,1,136531,4,2,8,0,2,1,5,-2,40,39,0
45,2,108616,9,0,4,1,4,0,101487,0,57,39,0
21,4,283300,12,4,4,4,4,0,-45,-4,13,39,0
19,4,180084,11,4,8,3,2,0,-27,-2,40,39,0
67,4,114291,11,5,10,5,4,0,-8,3,40,39,0
23,4,180080,4,5,12,2,4,1,91,-1,40,39,0
18,5,317981,6,4,8,3,1,1,-17,2046,40,34,0
37,2,173426,9,2,10,0,4,1,14667,-4,44,39,1
59,4,166966,11,2,12,5,4,0,-23,-1,31,39,0
36,4,188864,11,4,10,2,4,0,25,0,60,39,0
44,5,298618,12,2,4,0,4,1,5,1,50,39,1
24,1,279261,15,4,8,3,2,1,-38,-2,40,39,0
25,4,146883,2,4,8,3,4,0,70,0,30,39,0
51,4,115039,11,3,1,4,2,0,-1,0,40,39,0
24,7,319109,7,4,4,2,4,0,8,1,40,39,0
35,2,213232,0,2,10,2,4,0,10,0,40,39,0
20,4,290901,11,4,4,3,1,0,16,-1,40,22,0
35,2,104477,9,2,10,2,1,0,-22,1,40,5,0
34,4,153831,9,0,3,1,4,1,43,2,40,39,0
26,2,117986,12,6,10,1,1,0,12,-1,61,39,0
36,4,180964,9,2,4,0,4,1,3127,-1,44,39,1
40,4,113182,11,3,0,4,4,0,25,-1,40,39,0
27,6,244972,15,4,6,0,4,1,5,0,31,39,0
19,7,130011,9,4,10,1,4,0,-47,-2,40,39,0
27,4,103137,11,4,4,2,0,0,38,0,40,39,0
44,6,226386,11,4,1,1,2,0,-21,-1,40,39,0
23,4,181871,11,4,3,4,2,0,17,0,40,39,0
23,4,270880,9,2,3,0,2,1,71,-1,40,39,0
20,4,280983,11,4,3,1,4,1,-1,-1,46,39,0
75,6,62541,11,6,0,1,2,0,-48,-3,3,39,0
48,4,336537,6,3,4,1,4,0,-9,-2,40,39,0
40,5,258699,8,2,4,0,4,1,-24,1831,60,39,1
41,2,215725,9,0,10,1,4,0,-27,1,70,39,1
24,7,120347,9,4,4,1,4,0,-20,-1,40,1,0
41,4,263945,9,5,7,1,4,0,-38,-2,40,39,0
71,2,201460,15,0,13,1,2,1,-61,-1,40,39,0
50,5,52404,1,5,12,0,4,1,-67,0,40,39,0
50,4,363631,9,4,4,1,4,0,-45,-1,62,39,0
37,4,112285,9,2,4,0,4,1,7234,-2,44,2,1
36,7,395133,12,4,4,1,4,1,-26,0,40,39,0
40,6,111975,2,2,3,0,2,1,1,2,46,39,0
17,4,373963,15,4,8,3,2,0,-27,1,36,39,0
38,6,201791,11,2,7,0,4,1,-21,-1,40,39,0
28,4,310934,11,4,3,2,3,1,20,1,40,26,0
58,7,174792,11,2,7,0,4,1,1,0,40,39,1
22,1,180574,12,2,3,0,4,1,33,1,40,39,0
43,5,217519,9,4,12,1,4,0,-51,-1,46,39,0
26,7,278874,15,4,11,3,4,1,8,-2,62,39,0
47,4,178351,9,4,10,1,1,0,-44,1,43,33,0
19,6,175366,11,2,5,0,4,1,-20,-1,40,39,0
22,4,48575,11,0,8,4,0,0,7,-1,40,2,0
29,4,153739,11,2,10,0,4,1,55,1825,46,3,1
36,4,339916,9,4,10,4,2,0,-53,1,29,4,0
58,4,46639,5,2,7,0,4,1,20,0,40,39,1
52,5,106983,9,0,12,1,4,0,41,-2,60,5,0
42,6,133464,11,2,10,0,4,1,-9,0,61,39,0
23,1,87239,15,4,1,3,4,1,-14,-2,40,39,0
29,2,183494,7,4,5,3,4,1,1,-1,22,39,0
34,4,82874,11,4,7,1,4,1,12,-2,40,5,1
32,6,153534,15,2,10,0,4,1,-38,-1,10,39,0
39,4,154104,2,0,8,4,2,0,-56,4,40,39,0
52,0,102415,9,1,0,5,1,0,-13,-1,40,39,0
22,4,97285,4,4,5,1,0,0,30,1,40,26,0
33,8,293383,12,2,10,0,1,1,-6,3,40,39,1
25,1,298513,15,2,5,0,4,1,17,1,8,39,1
50,4,202187,11,5,14,3,4,0,3,-2,40,39,0
50,4,127428,5,2,12,0,4,1,-37,1908,40,39,0
25,4,161946,11,4,8,2,0,1,27,-1,14,39,0
25,7,108113,9,4,1,4,4,0,-1,3,57,39,0
23,7,252913,12,4,10,0,4,1,-36,1,45,7,0
31,4,134824,3,4,7,1,4,0,73,-1,40,26,0
32,5,166196,12,2,10,0,4,1,-35,0,40,39,0
23,4,137781,4,2,7,0,4,1,-1,-2,40,39,1
22,4,178018,11,4,4,1,4,0,-24,1839,11,39,0
25,4,276810,9,2,10,0,2,1,-10,0,40,39,0
24,2,218066,9,2,10,2,4,1,9,-1,47,18,1
62,6,200719,12,6,10,1,4,0,4,0,71,39,0
24,2,133757,12,2,10,0,1,1,-12,-1,40,4,1
21,4,190329,4,4,5,3,4,1,-32,-2,20,39,0
22,6,265795,8,6,11,1,4,1,17,0,40,39,0
18,5,309843,9,4,12,2,4,0,2,-1,46,39,0
41,2,134349,9,0,3,1,4,0,13,1,40,39,0
22,5,196969,2,4,14,3,4,1,-33,1,18,39,0
24,5,195416,11,2,10,0,4,1,11,-2,15,39,0
24,7,216249,12,4,8,1,2,0,-57,-4,40,39,0
37,7,360279,9,4,10,4,2,0,-27,-1,45,39,0
44,8,60339,12,0,10,2,2,0,-6,1,40,39,0
21,4,176835,9,2,4,2,4,1,-45,-2,40,39,0
53,4,103838,5,2,7,0,4,1,22,1,44,39,1
25,0,184725,11,2,0,3,4,1,-14,-1,40,39,0
18,2,215477,15,4,5,3,1,1,-4,-1,40,39,0
21,4,236214,6,4,8,3,4,1,27,1970,30,39,1
19,6,99878,1,2,5,0,4,1,-24,1,40,39,0
46,4,192186,11,2,3,0,4,1,-11,-2,40,39,0
25,2,205544,12,0,10,4,2,0,-10,0,7,5,0
61,6,181890,0,2,5,0,4,1,12,2,17,39,0
60,4,358590,11,5,3,1,4,0,39,-3,40,39,0
22,1,86159,4,2,12,0,4,1,-14,-1,44,39,1
18,4,89961,11,4,3,2,3,1,-50,-1,40,5,0
17,5,257485,2,4,3,3,4,1,-12,-2,19,39,0
18,7,102277,11,4,12,3,4,0,16,0,12,39,0
19,2,104492,9,2,1,0,2,1,23,0,40,39,1
33,4,157602,9,2,0,5,4,0,14,-2,40,39,0
51,4,265457,5,2,7,0,4,1,-18,-1,40,39,1
19,6,168149,15,2,10,0,4,1,2,1,43,39,0
37,4,31968,9,0,12,4,4,0,48,-1,40,39,0
17,4,165515,9,4,4,3,4,1,-53,0,40,39,0
37,4,196801,9,5,7,1,4,0,-10,-3,40,39,0
51,2,218032,10,2,10,5,0,0,29,1,40,39,1
34,0,115242,4,4,12,2,4,1,46,-1,8,39,0
47,5,417176,12,2,10,0,4,1,28,3,59,39,1
56,4,187089,11,2,12,5,0,0,2,1,10,3,0
22,4,318994,11,4,8,3,2,1,-45,-2,31,39,0
60,5,166211,9,2,4,0,4,1,-49,0,14,39,1
19,0,148908,1,4,0,1,4,1,50,0,20,39,0
27,6,155508,12,0,4,2,4,0,15,0,12,39,0
26,7,149357,9,4,4,1,4,1,-34,1751,45,39,0
27,4,214275,11,2,8,0,1,1,-9,0,49,2,1
52,6,205439,8,2,14,0,4,1,94,-1,45,39,0
54,6,179007,0,4,4,1,4,1,32,0,14,39,0
59,7,295522,8,2,14,0,4,1,49,-2,40,39,1
33,4,167299,11,4,7,0,4,1,50,0,40,5,0
50,4,157146,9,2,10,0,4,1,21,-4,14,39,1
20,0,196913,4,4,0,2,4,0,5,-1,16,39,0
39,2,286192,15,0,13,4,4,0,-37,0,40,39,0
29,2,180621,11,4,8,3,2,1,9,-2,10,39,0
53,7,302056,11,2,3,0,4,1,4,1,45,39,0
16,4,170254,9,4,12,2,2,0,49,-2,31,39,0
19,4,288559,11,4,12,3,4,1,-23,-1,16,39,0
20,4,268769,11,2,10,5,4,0,-20,0,13,39,0
43,4,171447,12,0,3,1,4,0,96687,0,40,39,0
17,4,131127,7,4,12,3,4,0,-1,2,40,39,0
28,6,39223,12,2,10,0,2,1,26,2,53,39,1
53,2,158228,0,0,10,5,4,0,1,-2,40,39,0
38,1,209264,9,2,4,0,2,1,29,-4,40,39,1
34,6,41432,12,2,10,0,4,1,14,2,45,39,1
30,4,188535,11,2,8,0,0,1,42,1,40,26,0
37,7,234403,7,2,14,0,4,1,45,3,40,39,0
37,4,244244,14,4,11,3,4,1,-5,0,40,39,0
40,4,192840,12,0,10,4,4,0,4,1,40,39,0
45,6,229225,1,6,10,1,2,0,-15,1,40,39,0
43,7,125801,7,2,4,0,2,1,39,1,44,39,0
33,2,157704,13,0,12,4,4,0,-9,1779,40,1,0
66,2,51595,14,6,1,1,4,1,-41,-2,57,39,0
22,0,209178,11,0,13,4,0,0,-30,-3,40,-1,0
27,2,162949,11,2,10,0,1,1,8,1,40,2,0
41,5,113791,9,2,4,0,4,1,-3,0,60,39,1
41,4,215893,11,5,7,1,4,1,33,0,49,39,0
17,4,123233,12,4,10,1,1,0,16,-1,44,0,0
18,0,159175,1,5,0,3,4,1,-44,-1,13,39,0
37,4,143107,11,5,3,3,4,0,-29,-1,40,39,0
31,2,315875,15,4,11,1,2,1,25,-2,40,39,0
53,6,217147,0,2,3,0,4,1,68,2,40,39,0
66,0,186126,11,5,0,1,2,0,-14,3,44,39,0
39,5,211058,12,2,12,0,4,1,33,1,46,39,1
30,2,293537,12,4,10,1,4,1,0,2,40,39,0
52,2,184044,12,2,10,0,4,1,-2,-1,16,39,1
22,6,214733,10,2,9,5,1,0,4,1,19,39,0
37,2,231185,12,2,10,0,4,0,-2,0,44,39,1
38,1,145937,9,2,12,0,4,1,17,1,40,39,0
44,7,137131,2,4,8,3,4,0,19,-3,30,39,0
52,2,190008,15,2,1,1,2,0,17,-1,40,39,0
40,4,87611,12,2,4,0,4,1,14,0,57,39,1
34,4,105786,11,4,8,3,2,0,64,-1,40,39,0
34,4,328319,12,0,1,4,2,0,-3,2,40,39,0
19,4,119503,4,4,3,2,4,1,46,2,40,39,0
21,2,186548,15,4,8,1,4,1,30,1,74,39,0
20,0,196858,1,4,0,3,4,1,-24,0,11,39,0
33,2,258576,9,2,10,0,4,1,46,1987,40,39,1
62,6,290172,11,6,0,1,4,1,-17,-3,9,2,0
18,4,139523,11,4,8,3,1,0,0,1953,31,39,0
59,5,143148,4,2,4,0,4,1,-46,1,51,9,1
46,2,309633,9,2,12,0,4,1,-6,-1,45,39,1
36,4,67215,15,2,4,0,4,1,7341,-1,44,39,1
24,4,185005,11,2,7,0,4,1,25,-1,40,39,0
19,4,120514,9,4,12,2,4,0,11,-1,12,5,0
33,4,200750,11,2,12,5,4,0,-27,2,40,39,0
25,6,177009,6,4,5,3,4,1,28,2,89,39,0
24,4,315492,11,4,3,4,3,1,4,3,40,26,0
36,4,159530,9,3,4,4,4,0,-41,-1,40,39,1
22,2,228499,1,2,3,3,4,1,-39,0,86,39,0
44,0,298284,11,6,1,4,4,0,5,-2,40,39,0
31,4,189696,11,2,8,5,1,0,24,2,40,4,0
51,7,184112,11,2,3,0,4,1,5,1,50,39,1
52,2,399453,12,0,10,1,4,0,12,1,40,6,0
17,7,358134,11,4,10,2,4,0,76,0,45,39,0
31,4,183619,11,5,7,1,4,0,11,-3,40,39,0
24,1,99697,15,4,1,2,2,1,16,-1,40,39,0
25,4,117110,12,4,4,2,4,0,46,0,16,39,0
35,4,113894,4,2,3,2,3,1,23,2,40,5,0
23,2,82904,12,4,1,3,4,1,-20,-1,40,39,0
30,6,110470,4,2,5,0,4,1,51,-1,40,39,1
21,2,101082,12,4,10,1,4,0,-13,-1,93,4,1
18,0,90910,1,4,0,3,4,1,-45,-1,15,39,0
42,5,313619,7,2,4,0,4,1,47,2,59,39,0
38,7,189287,11,2,3,0,4,1,-31,1,40,39,1
49,1,227429,4,2,3,0,2,1,54,-2,29,39,0
24,4,22254,11,4,8,4,0,0,66,-1,40,39,0
47,7,217396,8,4,14,4,4,1,-2,1,40,39,1
19,4,307233,6,4,8,4,4,1,-22,1,40,5,0
48,6,255194,12,0,10,1,4,1,23,-1,71,39,0
43,5,188416,8,2,4,0,4,1,25,-1,62,39,1
26,7,118073,7,4,1,2,4,0,43,0,40,39,0
24,7,321713,12,4,12,3,4,1,-16,0,40,39,0
17,4,192280,11,4,5,3,4,1,3,-3,40,39,0
40,2,302955,9,2,4,0,4,1,2,1820,50,0,1
50,7,86812,11,2,7,0,2,1,-19,1,40,39,1
43,2,88443,12,2,10,0,4,1,-19,-1,40,39,1
34,4,182596,9,4,4,2,4,0,-22,-1,43,39,0
21,2,164802,12,4,10,2,4,1,12,-1,30,39,1
48,0,290175,2,3,0,4,4,0,-52,-1,22,2,0
43,4,222076,10,2,10,5,0,0,42,-1,13,39,0
23,1,135876,9,2,3,0,4,1,17,0,40,39,1
48,5,144077,9,2,4,0,4,1,-48,1998,57,39,1
32,7,274687,12,4,10,4,2,0,-9,-1,40,39,0
16,4,126708,4,4,12,2,3,1,-2,1,40,39,0
24,6,154511,15,2,4,0,2,1,-5,0,40,39,1
24,4,347428,15,4,6,1,4,1,6,-1,40,39,0
27,4,153127,11,2,3,0,4,1,-52,-1,31,39,0
22,7,131283,9,4,8,3,4,0,9,2,15,39,0
26,4,171465,11,2,3,0,4,1,37,0,40,17,0
41,5,141656,9,2,10,2,4,1,-15,0,40,39,0
50,4,328452,11,2,3,0,4,1,8,0,40,39,1
60,6,324870,8,6,11,1,4,1,20,-3,40,39,0
23,7,97711,9,4,4,2,4,0,-69,1,57,39,0
18,2,233850,11,4,8,3,2,1,21,-3,12,39,0
56,2,182796,11,4,8,4,0,0,45,1,40,39,0
26,7,111758,9,4,4,2,4,0,-55,0,40,39,0
40,0,156010,11,4,0,2,4,0,17,0,11,39,0
45,4,129637,9,2,4,0,4,1,39,-1,58,39,1
41,6,173164,15,0,8,0,4,1,5,0,58,39,0
23,2,312539,12,2,10,0,2,0,25,-1,40,2,1
44,5,86482,12,2,10,0,4,1,33,-1,57,39,1
26,4,134909,11,2,3,0,4,1,14,-1,40,39,0
47,6,174234,11,2,3,0,4,1,38,-1,40,39,1
24,5,192676,12,2,4,0,4,0,27,-1,18,39,0
25,7,210489,4,2,5,0,4,1,8,-1,46,39,0
19,4,132593,11,4,10,4,1,0,33,-2,45,21,0
38,4,210633,10,2,10,5,1,0,34,1,40,32,1
25,4,68044,11,2,3,0,4,1,-8,-2,40,31,1
24,4,76355,11,2,10,3,1,0,20,-2,40,39,0
51,5,183958,9,2,4,0,4,1,-10,-2,61,39,1
43,5,212967,8,2,12,0,4,1,28,-1,60,39,0
56,0,106378,6,3,0,4,4,1,-5,-1,50,4,0
25,0,101755,1,2,0,5,4,1,-36,0,15,39,0
58,5,26726,11,2,5,0,4,1,-50,0,20,39,1
52,2,199370,12,2,10,0,4,1,42,-2,58,39,1
59,4,160308,9,0,12,1,4,0,-22,1,24,39,0
16,4,87078,11,4,8,3,1,0,24,-1,32,2,0
34,4,110458,12,4,10,4,4,0,-75,-4,14,39,0
37,4,194985,4,2,3,0,1,1,21,-1,40,26,0
