age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21,0,251919,11,4,0,3,4,0,3,1,40,32,0
59,4,275414,4,2,1,0,3,1,3516,0,40,39,0
66,6,382620,11,6,3,4,4,0,1,2,40,39,0
57,1,66743,12,2,10,0,4,1,15213,1,44,39,1
33,4,192642,11,0,3,4,2,1,2756,0,40,39,0
57,1,173146,12,2,4,0,4,1,42,1,59,39,1
22,4,174391,15,2,1,3,4,1,18,0,13,39,0
54,6,206849,9,0,10,1,4,1,93339,1,51,39,1
32,5,92882,9,2,10,0,4,1,7148,0,30,19,1
35,1,39479,12,0,1,4,4,0,17,0,49,39,1
49,4,356413,5,3,8,4,4,1,4406,2,40,20,0
39,4,183438,8,2,10,5,4,0,53,0,30,39,1
22,0,80627,15,2,0,0,4,1,3,1940,79,39,0
49,4,115443,8,2,3,0,4,1,24,0,45,39,1
46,1,23252,12,2,4,0,4,1,39,1,49,39,1
42,4,81513,11,4,1,4,0,0,1,1,40,39,0
44,4,336309,12,2,10,0,4,1,21,1,57,39,1
50,4,44247,11,2,12,0,4,1,15,0,40,39,0
25,4,368296,9,0,10,1,4,1,3061,1,40,39,0
47,7,359701,12,2,10,1,1,1,7093,0,36,34,0
63,7,98631,14,2,10,0,1,1,1,1,40,3,1
61,6,142039,11,2,3,0,4,1,12,1,38,39,0
38,4,86166,11,2,12,0,4,1,12,0,58,39,1
34,2,164747,12,2,12,5,4,0,57,1,40,39,1
23,4,231275,9,4,10,3,4,0,17,0,22,39,0
33,2,15799,15,2,1,1,4,0,35,0,40,39,0
32,4,175421,9,0,3,1,4,0,7439,0,40,39,0
34,4,273078,1,0,3,0,2,1,3,0,40,39,0
44,4,230705,11,4,6,1,4,0,17,0,38,39,0
65,7,379053,0,2,7,0,4,1,5,1734,40,39,0
38,1,163043,15,2,1,1,4,0,46,1,34,39,0
44,6,176490,14,2,10,0,4,1,15222,1,63,39,1
39,4,70173,11,2,13,0,4,1,2,0,40,39,1
24,2,245808,15,2,1,5,4,0,7674,0,40,39,1
42,4,243049,9,4,1,5,2,0,1,1852,40,39,0
84,8,270491,5,4,5,1,4,1,9,0,60,19,0
32,4,122350,12,2,4,0,4,1,14,1,45,39,1
32,4,110564,8,2,10,1,0,1,16,1,31,39,0
18,4,197428,9,4,12,3,4,0,6,0,40,39,0
49,4,171518,9,2,10,0,4,1,2,0,35,39,1
26,2,116822,11,4,1,4,4,0,29,0,40,39,0
52,2,76763,11,2,1,5,2,0,44,0,40,39,0
47,5,111457,5,0,12,0,4,1,3315,1,58,39,0
19,0,141139,9,4,0,3,4,1,11,0,13,39,0
22,2,161900,9,2,1,1,4,0,41,1,37,39,1
47,4,372482,8,5,1,4,4,1,15,0,40,39,0
49,5,289255,9,0,4,0,4,1,20,2,49,39,1
73,4,131092,11,0,7,1,4,1,7,0,40,39,0
26,4,119164,8,4,1,1,0,0,22,0,40,39,0
21,0,236723,15,4,0,3,4,1,33,1,23,39,0
36,7,233837,12,6,10,4,4,0,7334,0,40,39,1
54,5,190836,7,2,4,0,4,1,7286,1,58,39,1
