age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
41,7,185411,15,0,8,4,4,0,3,1,23,3,0
59,0,222955,15,2,0,5,4,0,7,0,9,1,0
46,6,180606,14,2,10,0,4,1,14426,0,40,39,1
42,4,155896,2,6,8,2,4,0,5,2,24,39,0
54,0,122669,8,2,0,5,4,0,15,0,40,3,0
44,1,295875,15,2,4,0,4,1,32,1881,37,5,1
54,1,210374,1,6,8,1,4,1,18,0,40,39,0
44,4,78714,15,2,1,5,4,0,18,1,19,39,0
20,7,278428,14,4,10,1,4,0,25,0,58,39,0
18,4,171379,0,4,8,3,4,0,7,1,36,39,0
45,5,83684,6,2,12,0,4,1,18,1,38,39,0
43,1,309638,15,2,3,0,4,1,22,0,37,39,1
44,4,314292,11,4,6,1,4,1,27,2,56,39,0
43,5,289771,15,2,4,0,4,1,3,1,45,39,1
45,5,53024,2,2,12,0,4,1,6681,0,21,39,1
23,2,274048,15,4,13,1,4,1,14,0,40,39,0
46,4,77905,4,2,8,0,4,1,30,1,40,39,0
41,1,167303,7,2,10,0,4,1,11,0,13,39,1
32,2,129631,12,0,10,1,4,0,3,1,38,39,0
31,2,368872,11,6,3,1,4,0,22,0,40,39,0
45,5,185200,15,2,4,0,4,1,15239,0,40,39,1
59,6,330101,8,6,10,4,4,0,16,0,40,39,0
56,1,88078,9,2,10,0,4,1,27,0,40,39,1
22,4,371352,8,5,7,1,4,1,77,1,40,39,0
62,6,122408,0,6,8,4,4,0,8,1,35,20,0
48,1,193042,8,2,3,0,4,1,8,1,51,39,0
31,4,253837,11,0,7,4,2,0,31,0,40,39,0
27,2,200294,1,4,10,4,4,0,13,1,35,39,0
44,2,127266,11,2,3,0,4,1,1,1,38,39,0
49,4,201963,7,0,12,4,4,0,12,1,14,39,0
32,2,310004,0,6,8,1,4,0,17,1,40,39,0
19,4,127441,2,4,8,2,4,0,38,1,59,39,0
55,4,239913,11,5,8,4,4,0,32,1,37,39,0
27,1,56016,8,2,10,0,4,1,16,1,40,39,1
48,4,142346,15,2,3,0,4,1,37,0,40,39,0
26,0,282648,9,2,10,5,4,0,19,1,40,39,0
42,4,263479,15,5,4,1,4,0,24,1,40,39,0
40,4,436128,7,3,12,4,4,0,26,3,36,39,0
50,6,141219,8,2,3,0,4,1,11,0,40,39,1
68,4,174615,5,6,0,4,4,0,62,0,40,21,0
51,7,30187,15,2,1,0,0,1,55,0,40,39,0
39,5,184307,8,4,4,3,4,1,6896,1,50,39,1
40,5,205996,9,2,12,0,4,1,16,2,50,39,0
58,0,245643,0,6,0,4,4,0,18,1,35,39,0
34,4,318699,15,0,8,4,4,0,47,0,40,39,0
45,5,296412,9,2,12,0,4,1,12,3,50,39,1
37,0,322152,15,3,0,4,4,0,9,1,42,39,0
44,4,158966,5,6,1,4,4,0,45,1,50,39,0
18,4,270188,15,4,8,1,4,1,17,0,19,39,0
21,5,37894,6,4,12,4,4,1,11,0,40,39,0
27,4,156874,9,4,7,1,3,1,14,1,40,26,0
27,4,175158,11,2,7,0,4,1,10,0,40,39,0
20,2,294616,11,4,8,1,4,1,13,0,11,39,0
53,5,79926,15,1,4,5,4,0,65,1944,38,39,1
20,7,286889,15,4,3,3,0,1,31,0,40,39,0
61,1,133075,7,0,1,4,4,0,4,0,40,39,0
46,5,123671,15,2,12,0,4,1,10,1,38,39,0
32,2,300844,15,4,8,3,4,1,20,0,40,39,0
38,6,167296,15,2,12,0,4,1,9,0,24,4,0
38,5,228623,11,5,4,1,4,0,19,0,38,39,0
49,4,114922,15,3,13,4,4,0,1,0,37,39,0
55,6,117328,0,6,3,4,4,0,11,1,9,21,0
25,7,161498,9,4,10,4,1,0,7,1,40,39,0
31,1,166601,7,2,13,0,4,1,12,0,40,39,1
36,4,131591,15,1,12,2,4,0,29,0,40,39,0
42,0,70812,15,2,0,3,4,0,3,0,40,39,0
49,4,136515,10,2,10,5,4,0,24,1,40,39,0
41,5,316156,12,2,10,0,4,1,15353,1,51,39,1
57,5,128582,14,2,10,0,4,1,14227,1,50,39,1
58,6,130003,8,2,4,5,4,0,50,1795,36,0,1
38,4,128954,11,5,3,4,4,0,47,0,40,39,0
34,4,240680,15,2,13,0,4,1,45,0,50,39,1
22,4,293147,7,5,8,1,4,1,12,1,40,39,0
51,0,269755,5,6,0,4,4,0,18,1,40,18,0
36,4,120240,2,4,8,2,4,0,12,1,4,3,0
39,4,264768,11,2,8,0,4,1,0,1,51,39,0
45,6,140058,15,5,12,4,4,1,50,0,15,39,0
29,4,312228,9,2,10,0,4,1,17,2,36,39,1
39,1,153458,15,2,3,0,4,1,1,0,40,39,1
