Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Cover_Type
40,8,30,13,3270,206,234,193,4873,1,1
182,5,280,29,3270,233,240,106,5423,1,2
13,7,351,37,2914,208,234,137,5269,1,1
276,13,192,16,3034,207,238,156,2866,1,2
186,13,266,22,2916,231,231,154,2642,1,2
144,2,415,61,3371,223,231,131,2629,1,1
61,5,312,32,3731,225,248,163,2946,1,2
94,4,187,63,7151,231,228,173,5153,1,2
67,12,126,22,3098,240,226,121,2512,1,1
46,16,231,73,4591,231,249,106,3101,1,2
19,16,212,74,5263,237,244,188,5476,1,2
74,13,358,11,4973,216,214,121,3158,1,2
82,7,157,72,6062,190,229,164,2708,1,2
179,12,179,69,6400,204,241,168,2564,1,2
31,10,334,69,4911,213,217,129,2923,1,1
261,16,101,38,4577,234,245,178,2534,1,1
142,7,222,8,5213,218,226,143,2455,1,2
272,6,307,67,4240,237,249,182,4415,1,1
84,12,117,43,5981,205,219,141,2423,1,2
108,11,536,58,2899,235,235,156,3008,1,1
332,3,170,11,4815,193,229,131,2343,1,2
99,8,130,36,3124,192,211,127,4486,1,2
19,11,243,45,5355,242,241,148,4635,1,2
309,7,886,74,4491,188,215,166,2421,1,1
132,5,387,26,4651,236,208,127,2458,1,1
77,4,300,89,4635,210,237,150,2554,1,1
72,10,72,23,5268,193,231,108,2402,1,1
263,5,91,14,3037,233,233,177,2225,1,1
245,10,193,14,4653,222,227,115,2256,1,1
4,5,467,90,5269,201,230,126,2463,1,1
37,13,136,29,6160,211,231,141,2142,1,2
113,14,357,6,5300,225,227,175,2868,1,1
77,17,154,14,6803,222,216,119,4604,1,2
297,9,60,7,3493,183,229,133,2438,1,2
1,17,508,81,5350,195,228,170,3304,1,1
145,14,279,86,2915,210,218,124,4932,1,1
97,9,366,71,3672,232,237,152,2062,1,2
66,4,371,8,4527,197,207,115,2215,1,1
85,6,321,22,5064,226,214,184,2224,1,1
322,14,143,11,3355,220,238,162,2192,1,1
224,8,150,46,3371,203,207,136,2164,1,1
311,10,503,8,3796,198,209,168,2484,1,1
83,9,301,7,2876,234,215,193,2455,1,1
2,8,206,15,3903,220,209,132,2372,1,1
35,6,102,79,4135,185,221,117,6580,1,2
73,5,287,61,3292,185,206,171,2403,1,2
98,14,135,43,4465,231,209,98,2596,1,1
112,14,80,74,3635,210,223,166,3001,1,1
60,2,259,85,2965,242,234,137,2225,1,2
18,12,617,123,5297,216,227,146,2335,1,1
119,3,140,34,3929,242,254,115,3562,1,1
241,8,454,120,4413,207,209,143,3572,1,1
80,18,266,61,3704,240,222,195,2800,1,1
92,15,354,120,5779,239,230,174,2243,1,2
359,5,682,42,4927,179,248,141,2777,1,1
152,18,554,71,3322,226,211,141,2220,1,1
2,18,61,45,6082,198,253,110,2471,1,2
129,4,64,3,4424,221,245,150,3578,1,2
150,5,73,66,3530,193,250,103,2936,1,1
128,5,367,30,3451,190,242,168,2291,1,2
34,11,116,37,6286,216,227,172,2006,1,2
29,6,120,58,3929,230,217,97,4208,1,1
317,18,111,16,3689,189,237,204,2157,1,1
233,4,80,75,2841,222,254,116,2142,1,1
282,15,86,0,3012,196,239,167,3412,1,2
250,12,343,32,3520,240,243,96,2931,1,2
264,9,140,85,5200,209,230,125,4139,1,2
126,5,332,29,5125,232,250,99,4099,1,1
65,6,172,77,2808,224,219,157,4139,1,1
191,14,74,0,3458,228,220,116,2474,1,2
107,4,349,18,3753,240,225,204,3527,1,1
92,6,254,35,5192,224,244,135,2576,1,2
31,18,129,82,3551,209,227,100,2158,1,2
99,12,529,34,3402,214,221,126,2030,1,1
287,9,203,11,4667,226,233,141,1957,1,1
295,12,119,5,5750,238,218,137,3389,1,2
177,2,116,33,6444,229,237,205,2807,1,2
190,14,403,3,6140,221,252,120,5598,1,2
285,15,110,17,2808,242,231,96,2715,1,2
70,4,85,25,2860,210,242,186,3381,1,2
217,15,150,35,3254,185,226,156,3724,1,1
12,13,171,33,3437,214,230,183,1938,1,1
100,17,297,74,2801,227,228,181,2207,1,1
44,8,492,43,6091,210,244,178,1904,1,2
111,10,182,34,2916,221,207,188,1996,1,1
65,14,119,5,5121,203,220,142,5318,1,1
71,4,222,92,3345,182,228,147,2440,1,1
316,2,156,42,3265,241,235,190,1924,1,1
132,8,462,0,5542,217,215,125,2281,1,2
16,6,192,79,5828,199,222,131,1866,1,2
159,11,341,63,5854,194,227,133,1852,1,2
150,1,213,0,4391,211,227,138,3140,1,2
32,16,518,25,3637,222,229,137,1850,1,2
97,14,174,3,5421,217,216,146,5576,1,2
101,10,558,99,3364,237,228,202,2126,1,1
75,6,279,151,4300,226,233,163,2919,1,1
32,8,197,4,4008,226,231,105,2394,1,1
159,15,265,10,4699,224,235,99,1846,1,2
327,2,293,25,7039,226,232,156,1962,1,2
147,7,1050,72,5794,219,216,114,7618,1,2
195,18,261,7,3762,226,239,192,1916,1,2
343,18,94,78,3760,231,233,116,2025,1,2
7,12,77,42,4309,232,218,150,1876,1,2
0,9,558,95,5311,239,232,122,1837,1,1
98,11,485,75,3941,231,208,131,1867,1,1
80,13,465,3,4570,243,222,105,4371,1,1
14,12,287,6,4148,220,210,139,1883,1,2
77,8,267,22,4125,210,226,116,1776,1,1
58,6,200,2,3653,224,240,181,4672,1,2
86,11,215,79,4056,215,216,176,1834,1,1
314,15,557,12,2810,243,231,186,5186,1,2
25,4,219,52,3369,222,218,133,3071,1,2
58,13,180,30,3496,203,229,114,2826,1,2
142,16,612,-52,5808,242,232,114,2639,1,1
266,17,269,9,3190,228,212,168,1873,1,2
158,18,348,71,3487,186,253,159,1852,1,1
123,13,393,-87,4472,219,231,156,4230,1,1
27,3,148,72,6435,234,231,133,1807,1,2
23,3,261,-9,6944,242,235,145,3995,1,2
38,12,203,21,6165,206,214,164,1801,1,1
304,8,87,0,5480,239,243,114,2065,1,2
131,5,513,207,4309,208,231,146,1954,1,1
308,17,104,45,2964,234,254,120,1830,1,2
354,11,202,23,2869,182,219,165,1870,1,2
