age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
31,4,129177,9,4,10,4,4,0,6,0,40,39,0
28,4,73079,8,2,3,0,4,1,15,1,40,39,0
19,4,155612,15,4,8,1,2,1,61,1,40,39,0
39,4,203935,11,2,7,1,2,1,19,1,59,39,0
21,5,164964,15,4,8,3,4,1,15,1,12,39,0
32,4,99338,9,2,10,5,4,1,19,1,37,39,1
39,5,206266,9,4,10,1,4,1,27,0,40,39,0
71,4,229606,5,3,14,1,4,1,55,0,40,26,0
57,1,138559,11,4,1,1,2,1,12,0,40,39,0
55,2,192175,11,6,13,1,4,0,38,0,37,39,0
33,5,193624,8,4,4,1,4,1,97411,1,45,39,0
51,5,108502,15,2,4,5,4,0,41,2,36,3,0
51,6,171865,7,2,12,5,4,0,49,1958,37,39,0
56,0,184077,0,6,0,4,4,0,6,1,10,23,0
67,4,193647,15,6,1,1,4,0,16,1,22,39,0
43,0,157877,15,2,0,0,4,1,3121,0,19,39,1
60,4,193961,8,2,12,5,4,0,25,1956,35,39,0
31,4,312791,0,4,12,3,4,1,16,2,16,39,0
28,5,132650,15,4,8,4,4,0,3,0,40,39,0
23,4,519375,15,4,12,3,2,1,3,1,40,39,0
30,4,286011,11,4,7,3,4,0,15,1,40,39,0
40,6,197667,14,2,4,5,4,0,5,1,36,39,1
59,1,117831,12,2,10,0,4,0,14379,1,40,39,1
34,0,222990,15,4,0,4,4,0,7,1,43,39,0
51,2,225606,11,0,1,1,4,0,35,3,35,39,0
38,1,108361,15,4,3,2,4,1,48,0,60,5,0
52,6,119334,15,2,4,0,4,1,34,0,40,39,1
21,4,272251,2,4,8,3,4,1,40,1,20,39,0
58,4,190470,9,0,4,1,4,0,6828,1,30,39,1
59,6,181461,14,0,10,4,4,0,14563,1,12,39,1
34,5,285894,15,4,12,3,4,0,4,0,19,39,0
69,4,112920,11,2,4,5,4,0,18,0,40,39,0
44,6,107857,12,2,12,0,4,1,27,0,72,4,0
43,4,105429,4,2,3,0,4,1,0,0,40,6,0
45,8,201917,11,2,8,0,4,1,0,0,37,7,0
49,4,98243,11,2,3,0,4,1,16,1,40,39,1
30,2,261986,15,2,8,5,4,0,25,1,36,39,0
30,4,212590,15,4,10,4,4,0,27,1,37,39,0
21,4,285679,7,4,12,4,4,0,39,1,40,39,0
20,4,136090,1,4,6,3,4,1,8,3,40,39,0
32,6,172090,1,4,5,1,4,1,16,2,40,39,0
49,6,241476,12,5,12,4,4,0,36,1897,40,21,1
38,4,177006,11,0,8,1,4,0,37,1,40,39,0
45,5,217343,8,2,6,0,4,1,38,1,40,39,0
23,4,235395,0,4,9,3,4,0,25,1,40,39,0
68,4,282085,8,2,3,0,4,1,35,0,40,39,1
36,1,113367,15,5,8,4,4,0,53,2,40,39,0
