Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,2,1,21.723716349551104,0,0,31.646611268275183,1
1,2,1,74.94528165883679,2,1,18.397512257707106,1
0,3,0,58.8056537155911,0,0,8.028967572592741,1
0,3,1,28.79299473579245,1,0,3.4834027966678027,3
0,2,0,35.46864528854543,2,0,9.607787863779897,1
1,2,0,21.36525349530978,0,0,11.85415994939091,1
0,3,1,27.127823789510302,0,0,13.40183574517703,1
0,3,0,27.404081588866088,5,2,69.84959446784715,1
0,3,1,49.910626278832055,1,3,41.92347825730368,1
0,1,0,63.39346036400018,0,0,27.053340723183492,1
1,1,0,10.017842463624165,0,2,234.95151432205012,2
0,3,0,18.813292139734962,0,0,8.938112719007094,1
0,2,0,27.45518025371425,0,0,7.604128651406561,1
0,3,1,44.03760123016461,0,0,9.973654207966753,1
0,2,0,26.013556653543674,1,0,8.876235067570292,1
1,2,1,1.7153098826303097,1,1,34.802505685375145,1
0,3,1,28.293137022840835,1,0,17.155871752558912,3
1,3,1,4.751364249105193,1,1,15.539681395162177,1
0,2,0,28.316489825119874,0,0,9.900778001832265,1
0,3,0,28.908920171195163,0,0,6.9033987528561145,1
0,3,0,28.460527612647773,3,2,3.3265367224582008,1
0,3,0,38.34760519932253,0,0,7.92293493494944,1
1,2,1,2.8480374226618035,1,1,36.75668968942954,1
1,1,1,57.397044366102705,0,0,273.9809255589695,2
1,2,1,30.231263741035892,1,0,11.199835120308862,1
0,3,0,4.685860505886786,4,1,25.844594777630146,1
1,2,1,14.811099372202051,2,0,60.08276593812107,1
0,3,0,18.768573409379115,0,0,6.761354717365389,1
0,3,0,23.188315559186766,0,0,24.389273047145824,1
0,3,1,8.438106661535821,4,1,23.228964901301993,1
0,2,1,38.63779942133559,1,0,10.417232929025385,1
0,3,0,22.158471313179206,0,0,7.068690681447999,1
1,3,1,28.466521774718483,1,2,28.21124565146014,2
1,3,1,59.28033510085071,1,0,6.124986517129068,3
0,3,1,20.48647573787535,0,0,11.005152983059116,1
1,1,1,28.664633366474312,0,0,94.84161354498652,2
0,3,0,22.081415121803545,0,0,9.196035397654523,1
0,2,0,22.55636681668899,0,0,7.658000047792293,1
1,2,1,11.908823423304465,2,1,18.41145489089092,1
0,3,1,50.45376270756887,0,0,6.483742890112372,1
0,3,1,38.166624483949235,0,0,10.024217903634097,2
0,3,0,20.34561032594876,0,0,9.190663136315237,1
0,3,0,27.708320963819244,0,0,7.482877872731284,1
0,3,0,5.12615468237457,4,0,11.618834450573296,1
0,3,1,36.9658950967546,1,3,33.94741369023172,1
1,1,0,48.086357989010764,0,0,30.2060511305109,1
0,2,0,45.07694478442089,0,0,11.035164368575995,1
0,3,0,28.405246143956767,1,0,17.072725187190834,3
1,2,1,51.92814338196974,0,0,14.986547874336917,1
0,3,0,38.11081935879736,0,0,9.234356863788667,3
0,3,0,27.99344467256201,1,0,14.557629542136501,3
0,1,0,29.74188029277977,1,0,10.076358321563701,2
1,1,0,24.27753316022441,0,2,42.36168440982992,1
0,3,0,23.34906272603302,0,0,10.21342017137995,1
1,3,0,27.886286345188395,0,0,3.084515907341941,3
0,1,0,25.410044567121172,0,0,173.21124446875234,2
1,1,0,64.10734436354646,0,0,189.26033534335807,2
0,3,0,3.4193618594419535,4,1,28.665450467561215,1
0,3,1,28.817182236994718,0,0,9.791475252408521,2
1,1,0,47.70617591766545,0,0,39.43568128617421,1
1,1,1,50.15965763893232,0,0,150.95516805667143,2
0,3,0,20.912600677151005,0,0,5.194939436258598,1
0,3,1,26.623549483505773,1,5,35.45149497107315,1
1,3,1,14.206564603410644,1,1,34.076915135726566,1
0,3,0,52.051318727199835,0,0,26.451424018662845,3
0,2,0,48.93040780802175,0,0,9.467373864129549,1
0,3,0,27.25244284969847,1,0,19.027117919002457,3
1,3,0,29.14890359948032,1,0,17.946056707005727,3
1,3,1,7.723412652536867,0,0,10.942102084930777,1
1,2,1,31.39781848862633,1,0,30.014417629720583,1
0,2,1,28.416087239049574,1,0,30.189917644574933,1
0,2,0,29.902237239908132,0,0,7.632845090147463,1
0,3,1,28.851356940743567,0,0,12.499206004187965,3
1,1,1,24.387573706814873,0,0,31.576319689474694,1
1,3,1,28.94185693951725,1,0,5.439987604835906,1
0,3,0,22.45502760108189,0,0,6.916923976197578,1
1,3,1,49.453561015489456,0,1,218.97549614522418,2
1,1,1,46.7714337209833,0,1,241.09366026157642,1
1,1,0,28.48700935892148,0,0,24.84908901680335,1
1,3,1,54.36603807574717,0,0,11.897089473310068,1
1,3,1,7.499810282995015,0,1,29.909893331523335,1
0,3,1,29.996676681870834,1,0,53.35729980710522,1
0,3,1,20.549350668580235,0,0,8.63120684157596,1
1,1,0,26.660297526918086,1,1,88.26317910578892,2
1,2,0,29.557259879455128,0,0,7.098157389099234,1
0,2,0,25.783501747861028,0,0,5.560208540977044,1
0,1,1,38.813296209386124,0,0,28.998228822373413,2
0,3,1,30.114590712952378,1,3,38.747124874096286,1
0,3,0,25.11125017906476,0,0,12.458080749290135,3
1,2,1,19.1648440626903,2,1,21.31196223801821,1
0,3,0,28.134409350152815,0,0,3.300291887089978,1
0,1,0,34.54299239223814,0,0,11.782830677464927,1
1,3,1,35.98984291612735,0,0,10.556871649949812,2
1,2,1,29.2809216415639,1,2,12.149782005113298,1
1,1,0,30.316762746541634,1,0,73.56988334223688,1
0,3,0,28.252601550301033,0,0,10.28684976846444,1
