age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35,2,309521,9,0,10,5,4,0,4113,2,12,39,0
62,4,208927,11,6,4,4,2,0,7992,0,40,39,1
27,4,200563,1,2,6,0,4,1,18,1,46,39,0
35,4,105198,12,4,1,1,4,0,7,1,40,39,0
59,4,178994,12,2,10,0,4,1,6821,2,64,39,1
30,4,143872,11,0,7,4,4,1,24,1,40,39,0
29,4,271417,15,0,7,4,2,0,0,1,40,39,0
25,4,316708,15,0,12,4,4,0,7,0,40,39,0
31,4,169261,15,2,7,0,4,1,3,0,77,39,1
69,7,205719,11,6,8,4,4,0,3,0,35,4,0
32,4,287621,15,0,1,1,2,0,2405,2,46,39,0
49,4,350260,9,4,4,1,4,0,1783,2,47,39,1
31,4,229539,15,0,12,4,4,0,45,0,40,39,0
60,4,144033,15,6,8,4,2,0,6889,0,13,39,1
62,6,54779,15,0,9,1,4,0,5,4,56,39,0
74,2,268645,12,0,10,1,4,0,8,0,40,39,0
41,4,323840,9,0,7,1,4,1,10,0,40,39,0
47,4,380546,12,2,4,0,4,1,29,1,63,39,1
56,4,421473,12,2,10,0,4,1,14040,0,51,39,1
61,4,39987,7,2,8,0,4,1,12,0,59,39,1
48,5,84662,9,2,12,0,4,1,7421,0,40,39,1
55,2,95900,9,2,4,0,2,1,20,0,49,39,1
43,4,125465,11,4,6,1,4,1,39,0,40,39,0
60,5,37665,9,2,3,0,4,1,15,0,45,39,1
42,4,179475,15,2,4,0,4,1,21,0,40,39,1
68,0,111944,12,6,0,4,4,0,4,0,15,39,0
37,7,157980,14,4,10,1,4,1,6184,0,40,39,0
52,2,314771,9,0,10,1,4,1,27,2,40,39,0
30,4,163206,11,4,14,3,4,1,10,1,40,39,0
62,4,224132,8,6,1,4,2,0,8986,1,50,39,0
37,4,207635,15,1,12,2,4,0,7504,4,32,39,1
58,4,206775,15,0,12,1,3,0,23,1,14,27,0
73,4,191091,9,6,10,4,4,0,3288,1,40,39,0
20,0,100987,15,4,0,3,4,1,23,0,23,39,0
38,4,184075,15,2,12,0,4,1,10,1,60,39,1
40,4,225392,12,2,8,0,1,1,5,0,40,32,0
74,6,32985,11,2,12,0,4,1,53,0,57,39,0
58,4,220766,9,6,8,2,4,0,6679,1,50,39,1
45,4,57472,15,2,4,0,4,1,83,1,57,39,1
37,7,122555,9,0,4,3,4,0,32,0,44,39,0
43,7,353026,0,0,9,1,4,0,7,0,40,39,0
42,4,303656,14,2,10,1,4,1,33,1,51,39,1
30,7,298823,7,2,4,0,4,1,16,2,50,39,1
20,0,130820,15,4,0,4,2,0,11,1759,40,39,0
72,7,177302,0,0,12,5,4,0,14,1,36,39,0
33,2,154238,12,0,7,1,4,1,29,1,40,39,0
57,4,238699,12,2,4,0,4,1,6329,1,52,39,1
48,4,184413,9,0,1,1,4,0,2223,1,45,39,0
62,0,108176,6,2,0,0,4,1,6,0,40,39,0
47,4,177888,11,2,3,0,4,1,17,0,40,39,0
36,4,195508,9,2,4,0,4,1,93,1,45,39,1
53,4,110973,15,2,12,0,4,1,14,0,70,39,1
48,1,160273,2,2,14,0,2,1,19,0,37,39,1
69,4,402359,9,6,8,4,4,0,9,0,49,39,1
36,4,197871,15,1,8,4,4,0,8125,4,40,39,1
54,1,190009,9,2,10,5,4,0,14554,1766,40,39,1
35,4,160245,9,4,4,4,4,0,13,2,66,39,0
34,7,167607,11,2,10,0,4,1,66,1,61,39,1
51,6,141952,11,2,3,3,4,1,49,1,59,39,0
48,4,125743,9,2,4,0,4,1,75,0,40,39,1
37,4,168760,15,2,3,0,4,1,43,0,40,39,1
47,7,174819,9,2,4,0,4,1,13,0,60,39,1
87,2,122199,9,0,11,1,4,1,50,2,40,39,0
45,7,87439,9,0,4,4,2,0,65,1,59,39,1
52,4,186619,15,2,14,0,4,1,110,0,45,39,1
72,4,265985,15,1,8,4,4,0,62,6,28,39,1
56,6,26729,11,0,3,1,4,1,42,1,58,39,0
31,5,66508,9,4,11,1,4,1,3543,0,40,39,0
59,2,315430,15,5,9,1,3,0,77,1,17,39,0
27,4,117634,9,2,4,0,2,1,67,1,37,39,1
44,1,184704,10,2,10,0,1,1,12,0,71,20,1
48,6,156636,11,2,3,0,4,1,31,1,8,39,1
45,4,375253,12,2,4,0,4,1,7175,1824,61,39,1
43,4,272372,12,0,8,4,2,0,41,0,40,39,0
20,4,194666,11,4,10,3,4,0,55,2,37,39,0
36,4,335202,7,5,8,1,2,0,3171,0,36,39,0
50,6,178966,11,2,3,0,4,1,8,0,57,39,0
35,4,126335,15,5,13,4,2,0,40,0,40,39,0
55,4,169245,14,2,10,0,4,1,18,2,60,21,1
44,5,364562,9,2,4,0,4,1,123,0,59,39,1
31,4,230782,11,5,6,4,2,0,30,2,40,39,0
42,5,53011,9,2,12,0,4,1,77,2,57,39,1
60,0,135455,1,0,8,4,4,0,5,1814,23,39,0
38,4,161050,12,4,14,1,4,0,10,0,40,39,0
43,4,302674,1,4,6,1,4,1,1,1,40,39,0
46,4,152419,15,2,13,0,1,1,6686,0,59,17,1
49,4,310651,15,2,10,0,4,1,54,0,40,39,1
30,4,157240,11,4,1,2,4,0,3,0,37,39,0
58,4,151249,5,2,3,0,4,1,2453,2,40,22,0
48,4,293680,5,3,4,1,4,1,7362,1,63,7,0
43,4,302665,10,4,10,4,4,1,16233,1,40,39,1
79,4,181701,11,6,8,1,4,1,25,1,40,39,1
54,6,111313,9,2,8,0,4,1,19,0,36,39,1
54,4,261820,0,4,1,2,4,0,3,1,40,39,0
32,4,56540,9,4,10,3,4,1,18,1,40,39,0
43,4,265273,15,2,12,0,4,1,10,1,23,39,1
45,4,127499,0,2,7,0,4,1,8,0,86,27,0
48,4,34589,9,2,1,0,4,1,7805,1,59,19,1
23,4,173709,9,2,3,0,2,1,6,0,63,39,1
29,4,305929,11,0,4,4,2,0,15,2,40,39,0
30,4,597779,2,1,6,0,4,1,3,0,62,39,1
30,4,180712,1,2,6,0,4,1,31,1,58,39,1
54,4,155290,8,2,12,0,4,1,30,1840,71,39,0
33,4,167382,9,4,12,1,4,0,2935,0,18,39,0
58,6,163921,15,5,9,1,4,0,94,1,55,39,0
45,4,316453,10,2,10,0,4,0,15098,0,40,39,1
51,8,386543,7,2,4,0,4,1,14,1,40,39,0
24,4,130011,9,4,10,3,4,0,34,2,40,39,0
22,4,271304,7,4,7,3,4,1,10,1,40,39,0
36,4,355376,0,0,8,1,2,0,13,0,37,39,0
29,7,352743,9,0,1,4,4,0,33,0,40,39,0
64,1,457791,4,6,8,1,4,0,6946,0,36,39,1
46,2,401799,15,4,4,3,2,0,23,1,10,39,0
52,7,368007,12,4,3,1,4,0,5992,0,40,39,0
34,4,310988,1,5,8,1,4,0,2,1,18,39,0
56,4,202025,12,1,8,0,4,1,8073,5,52,39,1
36,4,259694,11,4,8,3,4,1,13,0,40,39,0
49,4,195642,4,2,3,0,4,1,3200,1,40,39,1
36,2,210198,15,2,1,5,4,0,37,0,12,39,0
41,4,192195,14,2,10,5,2,0,7372,0,10,39,1
56,7,156940,9,2,4,0,4,1,43,1,50,39,1
45,6,122080,9,4,3,1,4,1,8,0,40,39,0
23,2,245045,5,2,7,3,3,0,15,0,55,39,0
56,4,176107,11,2,3,0,2,1,14,1,40,39,1
63,4,98949,15,2,12,0,4,1,30,1798,44,39,1
66,4,128924,4,6,8,4,4,0,6746,0,65,6,1
19,4,196908,15,2,7,0,4,1,48,1,46,39,0
57,4,208197,14,2,10,0,4,1,7481,2,62,39,1
46,4,195273,15,2,4,0,4,1,28,0,58,39,1
27,4,113360,14,0,10,1,4,1,13968,0,60,39,1
49,4,184041,3,0,13,1,4,0,24,2,40,39,0
30,4,419389,7,5,12,4,1,0,10,0,40,26,0
29,4,37693,11,4,8,3,2,0,17,1,25,39,0
31,4,415848,11,0,7,4,4,0,35,0,40,39,0
57,4,172574,15,2,12,0,4,1,53,1868,55,39,1
22,4,171102,1,4,8,3,4,1,19,2,40,39,0
32,4,55282,11,0,8,4,4,0,3770,2,40,39,0
