Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,25.243172337002328,0,0,4.245019728728122,3
0,2,0,42.893239987549926,0,0,22.202502404367372,2
1,2,1,11.443804662237639,0,2,20.55483602326815,1
0,3,0,26.31505706352318,0,0,8.04212665766,3
0,2,0,24.872486098892523,1,0,27.184150249126304,1
1,3,1,51.71019242083684,1,4,26.10288001385509,1
0,3,0,25.99746323008599,0,0,7.953555292716195,1
1,3,1,27.147861676286624,1,0,33.33495950958437,2
0,2,0,21.456449819112105,0,0,23.993169630299146,2
0,2,0,28.251433321746113,0,0,3.8256245665012685,2
0,3,0,26.37393244758413,0,0,11.399255001772783,1
1,3,1,27.213591974394703,0,0,28.06122576611918,3
0,1,0,25.74101521550258,0,0,28.537751007987886,2
1,1,0,23.026514501848762,0,0,157.8333458648038,2
1,3,1,25.116177613288684,0,0,4.4273777271606445,3
1,2,1,26.928465741296414,2,0,28.624231292884517,2
0,3,0,26.559793182224297,0,0,4.63830256350657,2
0,3,0,25.9736820542611,0,0,7.72451277701218,3
1,2,1,23.80895011131151,1,0,26.271563042519034,2
1,2,1,25.812412163839625,0,0,8.198695813696688,3
0,3,1,27.035052680265153,3,1,31.796353837371015,1
1,1,1,26.617821916615625,1,0,35.00590951757543,3
0,3,0,22.00594111683406,0,0,6.268320718208684,3
1,1,1,44.94285021271099,0,0,191.98980307564233,2
1,1,1,28.674976620313622,0,0,176.45791524518475,2
0,3,0,25.818114949245146,0,0,23.529192207949194,2
0,3,1,27.70427743623294,0,0,8.006784751825302,3
1,1,1,26.26102639701619,0,0,18.957335398946114,1
1,2,1,27.472020879127484,0,0,139.81119943108334,2
0,3,0,35.75261782364357,0,0,22.069118075703244,2
1,1,1,31.805148969731043,0,0,33.48784165405029,1
1,3,1,24.30319931009447,0,0,26.32633938125664,3
0,3,0,26.439963452886666,0,0,7.205437664930504,2
1,3,0,25.344818355973764,1,2,16.621768411975612,2
0,3,0,25.953984838316014,0,0,7.928195247309526,2
1,1,0,33.47724613563188,0,0,63.2474974978868,2
1,1,1,44.98404541797573,0,0,78.51212617214394,2
0,2,0,39.89654318732306,0,0,21.679205054726182,2
0,3,0,26.603167787833083,0,0,3.5645470907566636,3
0,3,0,24.73964414721457,0,0,3.019404191758908,2
0,3,0,26.025258663754684,0,0,8.098316174858072,2
0,3,1,26.51260319964217,0,0,8.99031655057594,3
0,3,1,25.61534303505261,0,0,6.325724153643698,3
0,3,0,26.573050713977334,0,0,6.498005674472176,3
0,3,0,28.121079190706716,1,4,22.650621074543082,1
1,3,1,26.38135034616902,0,0,8.875366715921011,3
0,3,0,26.16562084052509,0,0,21.587184825251413,1
0,1,0,27.90324081157975,0,0,100.42194652844017,2
1,1,0,44.588145366881626,0,0,214.11843638329648,1
0,1,0,57.08486131243307,0,0,28.673349764975903,2
1,1,1,46.44955495758224,0,2,107.17099918745161,2
0,3,1,25.66106160595045,0,0,5.77224009631262,3
0,1,0,27.168303971208278,1,0,246.3085591590858,2
1,1,1,43.89910082055766,1,0,33.29064724475862,2
1,3,1,25.60900117229985,0,0,11.439153539446686,3
0,3,0,27.38638805082523,0,0,18.425814266817873,2
0,2,0,26.314823587265657,0,0,12.686396524557107,1
0,2,0,25.168202940290346,0,0,6.873673357819394,3
0,3,1,26.138495500757557,0,0,9.141118588421444,3
1,2,1,36.1606501925698,0,0,24.163894579976578,2
0,3,0,54.656475221460866,0,3,15.251444253041553,1
0,1,0,30.534579295502752,0,0,52.01656473733669,1
0,1,0,49.92390454144221,0,0,23.871740434585504,2
0,3,0,25.697079153137803,0,0,21.60137967995488,2
0,3,0,25.21780659019753,0,0,8.535252254295614,3
0,3,1,26.035428685027732,3,1,17.694174258109555,1
0,3,0,25.73588444092413,0,0,17.436106540390206,2
1,1,0,44.312794464025544,1,0,199.47144112492379,2
0,3,0,25.073455207415336,5,0,1.9340314409562005,1
0,2,0,27.3151553037459,0,0,20.943501235076496,1
0,3,1,26.736682719484527,0,5,18.070148548836336,2
1,1,1,29.46386570555402,0,0,23.921949258552768,2
0,3,1,26.240797809559453,0,0,7.603224252123067,3
