age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,0,128500,11,0,0,3,2,0,21,0,26,39,0
19,1,26755,15,4,1,3,4,0,32,0,40,39,0
43,6,117462,8,2,8,5,4,0,16,0,40,39,0
41,1,116445,9,5,10,4,4,0,8,0,46,39,0
32,4,120895,11,2,3,0,4,1,0,1,40,39,1
32,4,118169,9,2,10,0,4,1,10,1,64,39,1
41,4,140386,11,4,8,1,4,0,13,0,40,39,0
20,4,137141,15,2,3,0,4,1,21,0,28,39,0
32,4,118957,8,2,3,0,4,1,2,0,40,39,1
18,4,80168,15,4,8,1,4,1,0,1,51,39,0
33,4,125438,9,2,10,0,4,1,7185,0,40,39,1
43,6,135634,1,6,8,1,4,0,8,0,47,39,0
33,8,140733,11,2,12,0,4,1,47,1,48,39,1
36,6,112654,14,2,10,0,4,1,60,0,65,39,1
33,8,133118,11,6,11,1,4,1,13,0,40,39,0
20,4,127112,8,0,7,3,4,1,24,0,40,39,0
20,4,65979,1,4,3,1,4,1,23,0,46,39,0
38,4,70018,11,4,8,1,4,1,25,1,40,39,0
22,0,139241,11,2,0,0,4,1,30,0,47,39,0
50,6,147288,7,5,12,1,2,0,25,1837,40,39,0
40,4,48943,15,4,8,3,4,0,13,1,47,39,0
18,4,140242,15,4,7,3,4,1,19,1,27,39,0
34,4,185660,11,5,8,2,1,1,16,1,40,39,0
28,4,128900,15,4,8,3,4,0,7,1,29,39,0
34,4,123362,7,2,3,0,4,1,7078,1,52,39,1
36,4,117027,9,2,12,0,4,1,7257,1,52,39,0
20,4,56838,11,2,8,0,4,1,20,1,40,32,0
33,2,135949,12,0,10,1,4,0,6,1,40,39,0
38,1,124417,8,2,10,0,2,0,14,1,47,39,1
18,5,127283,15,2,0,0,4,1,9,1,26,39,0
20,6,134128,11,4,8,3,4,1,29,1,51,39,0
37,4,133532,11,4,3,3,4,1,6,1,40,39,0
53,0,114220,11,2,0,0,4,1,9,1,40,39,0
49,4,156453,11,0,7,1,4,1,20,1,40,23,0
59,0,125347,11,6,0,1,4,0,28,0,26,39,0
38,7,129948,8,5,8,1,4,1,2,1,40,39,0
21,4,156439,11,0,8,1,4,1,24,1,28,39,0
33,6,134452,11,0,8,1,4,1,9,1,27,39,0
28,4,163230,7,3,7,4,4,1,8,0,40,39,0
46,4,68417,11,0,8,4,4,0,0,0,47,39,0
29,4,150545,15,0,8,1,4,1,12,1,40,39,0
34,2,123240,12,4,10,1,4,1,20,0,51,39,0
33,4,130428,11,2,7,1,4,1,4,2,40,39,0
18,4,125766,15,4,12,3,4,1,28,0,25,39,0
20,4,155066,7,2,8,0,4,1,23,0,40,39,0
18,4,134038,11,4,8,3,4,1,38,2,40,39,0
21,4,148204,11,4,8,3,4,1,24,1,40,39,0
37,4,116760,15,1,10,5,4,0,33,1666,26,39,1
44,4,127833,11,0,8,1,4,0,0,1,48,39,0
33,6,130472,10,2,10,0,4,1,55,0,51,39,1
42,4,114555,11,2,8,5,4,0,19,0,48,39,0
33,6,124292,7,4,8,1,4,0,18,1,48,39,0
48,4,150103,11,3,6,1,4,1,1,1,60,26,0
43,6,134178,7,2,3,0,4,1,7490,0,40,39,1
21,6,124743,11,2,6,0,4,1,11,1,40,39,0
32,5,116988,1,2,8,0,4,1,17,2,47,20,0
18,4,128056,11,4,3,3,4,1,13,2,40,39,0
19,4,180292,15,4,8,3,4,1,6,0,40,39,0
64,6,126378,11,4,8,1,4,0,20,0,40,39,0
33,4,121901,9,2,10,0,4,1,14845,0,40,39,1
35,6,149747,11,4,8,1,4,1,13,3,64,39,0
38,4,120403,11,5,1,1,4,0,33,0,40,39,0
23,4,126649,8,4,8,1,4,1,2,0,40,39,0
20,0,14556,15,4,8,3,4,1,4,0,30,39,0
61,4,137946,11,6,8,1,4,0,13,1,27,39,0
45,2,109602,11,2,11,0,4,1,4,2,47,39,0
47,2,137458,12,5,10,1,4,0,36,0,40,39,0
32,4,126343,11,6,8,1,4,1,0,1,40,39,0
47,6,110670,15,0,8,3,4,1,35,1,47,39,0
20,4,159914,11,4,8,3,4,1,23,1,40,39,0
24,4,134624,11,4,8,1,4,1,9,2,40,39,0
40,0,134985,11,5,0,2,4,0,14,0,40,4,0
32,6,122669,10,2,10,0,4,1,12,1782,66,39,1
37,6,55397,11,2,6,0,4,1,9,0,40,39,0
41,4,144951,7,0,8,5,4,0,10,1852,47,39,0
47,4,136467,11,0,12,1,4,1,24,0,47,39,0
31,4,133634,11,0,8,1,4,1,2,0,64,39,0
42,0,116513,11,2,0,5,2,0,7,0,29,39,0
31,4,137109,2,4,12,2,4,1,2,0,28,26,0
22,0,143836,7,4,0,2,4,1,36,1,28,39,0
55,4,125134,3,2,6,0,4,1,11,1815,47,23,0
35,2,117970,12,2,11,0,4,1,17,1,26,39,0
32,4,141965,7,2,10,0,4,1,23,1,40,39,1
34,6,120276,11,2,8,0,4,1,21,1,48,39,1
33,5,111398,11,2,8,0,4,1,0,1,47,39,0
18,4,131660,15,4,0,3,4,1,43,1,40,39,0
52,6,127804,11,6,8,1,4,0,18,0,46,39,0
60,6,130254,11,6,8,4,4,0,41,0,29,39,0
34,4,133552,12,2,12,0,4,1,6,2,40,39,1
27,4,147301,11,4,8,1,4,1,19,1,51,39,0
24,6,133729,11,0,8,1,4,0,10,1,47,39,0
32,4,128691,11,4,8,3,4,1,1,0,51,39,0
34,1,238143,9,4,12,4,2,0,39,1,40,39,0
31,4,120881,8,2,4,0,4,1,4,0,52,39,0
21,4,118103,15,4,8,3,4,1,6,0,26,39,0
31,4,121050,7,4,12,3,4,1,14,1,45,39,0
52,4,147337,11,4,8,1,4,1,17,1,51,39,0
37,6,124327,11,2,8,0,4,1,1,2,46,39,0
25,4,126825,11,5,6,3,4,1,30,0,40,39,0
45,4,69720,15,4,8,1,1,0,1,1,47,39,0
50,4,74510,11,4,8,4,4,1,10,1,40,39,0
20,4,145153,11,4,8,3,2,0,27,0,40,39,0
49,4,120613,7,2,3,0,4,1,46,0,29,39,1
47,0,39915,7,2,0,0,4,1,5,1,47,39,0
42,0,115335,1,2,8,0,4,1,26,2,28,39,0
48,0,116369,11,2,0,0,4,1,22,1,40,39,0
34,6,127800,8,2,5,0,4,1,2782,0,46,39,0
21,0,126792,15,4,8,3,4,1,10,0,46,39,0
55,4,133984,11,4,8,1,4,0,20,0,40,39,0
50,1,40068,9,0,10,1,4,0,16,0,27,39,0
25,6,141455,12,4,12,1,4,0,31,0,29,39,0
51,6,115438,11,2,5,0,4,1,18,0,39,39,0
31,4,59768,11,4,8,1,4,1,8,2,40,39,0
19,4,137288,1,4,8,3,4,1,13,1,26,39,0
17,4,140737,11,4,8,3,2,1,38,0,27,39,0
31,4,159466,11,4,8,1,4,0,22,1,40,39,0
33,4,122081,8,2,4,0,4,1,16,1,48,39,1
36,4,123511,11,2,8,0,4,1,29,0,40,39,0
23,4,14666,1,4,8,3,1,1,13,0,19,19,0
22,4,137005,8,2,3,0,4,1,22,1,40,39,1
50,6,129712,5,5,11,1,4,1,14,0,40,39,0
45,6,158500,11,2,8,0,4,1,8,0,46,39,0
34,1,107957,8,2,1,0,4,1,7,1,40,39,1
45,6,115379,8,2,8,0,4,1,7,0,48,39,0
42,4,145996,11,0,3,1,4,1,29,1,51,39,0
22,4,129137,15,4,8,1,4,0,43,1,40,39,0
22,4,126595,15,4,8,3,4,0,29,1,40,39,0
27,4,147976,11,4,8,1,4,1,19,1,64,39,0
55,4,161939,11,5,8,4,4,0,25,0,40,39,0
19,0,132728,15,4,0,1,4,1,12,0,26,39,0
36,4,129268,11,2,3,0,4,1,8,0,52,39,0
19,0,120481,11,2,8,0,4,1,3,0,20,39,0
27,4,149660,11,4,8,3,4,0,11,1,23,39,0
29,4,140046,11,4,8,1,4,1,17,1,47,39,0
41,4,119437,11,2,14,0,4,1,1,0,52,39,0
39,6,126357,11,4,10,1,4,0,10,0,51,39,0
37,4,121241,8,2,7,0,4,1,8,0,52,39,0
