Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,1,26.17129022348793,0,0,131.90615273762438,3
1,2,0,18.304858123882582,0,0,19.61416701487616,1
0,3,0,26.59866186648347,0,0,6.482733556354416,3
0,3,0,26.518077450988322,0,0,4.353424338448833,2
1,2,1,11.5586832095958,2,1,26.557755857081922,1
1,3,1,27.199891860276125,0,0,104.73338283856535,2
1,1,0,30.048614725356494,0,0,149.6189808586162,2
0,3,0,26.576523545492552,0,0,2.4219470535168393,2
0,3,0,28.38693431988503,0,0,8.70756623686799,2
0,1,0,38.950839756753886,0,0,26.365391040084365,2
1,2,1,28.685954829627114,0,2,15.730771596690342,2
0,3,1,26.512818100051472,3,1,19.515247831714,1
1,3,0,26.331173401276207,0,0,9.723297065868687,2
1,3,1,26.233286861312806,0,0,10.2948729149462,3
1,2,1,28.68248162694183,0,0,21.448108791434567,2
0,3,0,25.797953166673775,0,0,11.764569593282491,1
0,3,0,25.575198411567094,0,0,4.263923535899688,2
1,3,1,27.144683757664577,0,2,30.518727133779045,3
0,3,0,27.76931363243418,0,0,7.121399997730455,2
1,2,1,18.678378126944942,1,0,26.22778175456095,1
0,2,1,31.32741675526326,0,0,7.625709923346178,1
0,3,0,25.771272965581172,0,0,6.513019608487303,3
0,1,0,33.78440587269336,0,0,47.729677699754454,2
1,3,1,27.171721330809756,0,1,141.98594313422038,2
0,2,1,27.127747696700823,0,0,6.42109449244423,1
0,3,1,25.05966545204752,5,2,6.548467077900028,1
0,1,0,36.88747334055089,0,0,6.028142062857555,2
1,2,1,55.7545012707872,2,1,26.705393203943,1
0,3,0,27.07069842895649,0,0,6.109016597338206,1
1,3,1,26.636149802831355,0,0,7.855381290972689,3
0,3,0,25.934878300260404,8,2,11.722070252077328,1
0,3,0,39.21318851666206,3,1,18.115119810030954,1
1,2,1,40.48395570567076,0,0,27.461252639452518,2
0,3,0,25.62587196216387,0,1,24.51903654168085,1
0,2,0,26.948725087636316,0,0,21.672811058145786,1
0,3,0,34.32407345387008,0,0,22.92616746324245,2
0,1,0,32.06787253436669,2,0,159.5096994227177,2
0,3,0,25.382565331673064,0,0,7.435438053720947,2
0,3,0,29.506566910213557,0,0,25.716468890211104,1
1,2,1,27.640187649675227,0,0,24.889400818194833,2
1,1,0,37.581442020851526,0,0,134.89177199159235,2
0,3,0,26.365433059707083,0,0,5.487959016357757,1
0,3,1,25.593907528723033,0,1,8.78438072567816,3
0,3,0,28.351409203096303,0,0,6.202000620500071,2
0,3,1,25.978578068423467,1,1,9.830138982336617,1
0,3,1,27.76978337558698,3,1,19.69550065662365,2
0,2,0,23.71688155573533,5,0,19.81082547691348,1
1,3,1,25.588092947386897,3,1,5.97997663579659,1
0,2,0,29.74000347400497,0,0,20.826588625471906,1
1,2,0,26.64703320484455,0,0,20.388370168034207,3
1,1,1,26.68191651755602,1,0,37.49485677005693,1
