age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
46,4,418364,9,4,1,1,4,1,3176,0,44,39,0
58,1,317519,15,4,1,1,4,1,50,0,40,39,0
41,7,64900,14,2,10,0,4,1,15296,0,40,7,1
60,7,195692,12,6,1,1,4,0,2566,0,38,39,1
47,4,125512,12,4,13,1,4,0,15086,1,37,39,1
38,5,139258,9,2,4,0,4,1,7560,0,45,39,1
20,4,101174,11,4,12,3,4,0,43,0,40,39,0
45,4,214416,11,0,12,4,4,0,18,3,40,39,0
59,4,164731,1,2,1,0,2,1,18,1,40,39,0
41,8,146248,7,2,0,0,4,1,71,1739,40,39,0
47,4,323987,0,5,7,3,4,0,3143,1,30,39,0
30,4,171773,11,5,6,1,4,1,7,2,40,39,0
51,4,53731,5,3,11,1,4,1,52,2,58,39,1
18,4,302969,9,4,8,3,4,0,1,0,40,39,0
55,2,105055,1,2,8,0,4,1,29,1,22,34,0
35,4,223487,11,2,11,0,4,1,79,1,40,39,0
40,6,159317,15,4,3,3,4,1,14,2,69,39,0
51,4,176651,1,5,12,1,4,1,6660,0,58,39,1
48,4,172229,5,3,12,1,4,0,7702,1,51,39,0
21,0,123495,1,4,6,3,4,1,19,2,40,39,0
78,6,24741,11,2,12,5,4,0,13,0,21,39,0
50,5,283436,9,2,8,0,4,1,16,0,59,33,1
31,4,299972,11,3,4,1,4,1,5923,4,40,39,0
48,2,46672,15,2,3,0,2,1,14,0,57,39,1
62,4,259253,12,2,4,0,4,1,5782,3,51,39,1
24,4,154796,4,6,8,2,4,0,69,2,35,39,0
57,4,190098,12,2,13,0,4,1,7,2,40,39,1
38,4,115487,15,2,0,5,4,0,4,0,35,39,0
37,4,205485,11,3,6,2,2,1,2,0,40,39,0
27,4,75455,9,2,12,0,4,1,3,0,61,39,1
43,4,442532,15,2,4,0,4,1,71,2,61,39,1
26,4,334894,15,2,3,0,4,1,69,0,45,39,1
38,4,300160,5,3,8,1,4,1,6631,0,64,39,0
53,6,168730,11,2,12,0,4,1,37,0,56,39,1
35,4,397553,0,0,13,4,4,0,22,0,40,39,0
45,4,396219,15,4,7,1,2,0,8,0,40,39,0
29,4,101410,5,2,6,0,4,1,33,0,40,18,0
77,4,308996,11,6,8,1,4,0,5850,1,35,39,1
57,4,109769,1,2,6,0,2,1,8,1,14,19,0
54,4,211526,11,0,1,4,4,0,5834,0,40,39,0
40,4,167198,11,2,7,0,2,1,16,0,44,39,1
47,5,204954,9,2,4,0,4,1,7869,0,50,39,1
55,7,199413,12,1,8,0,4,1,67,1,49,39,1
38,4,105572,7,2,10,5,4,0,9,0,40,39,1
73,4,131384,9,6,8,1,4,0,7,0,24,6,1
53,8,198041,9,2,4,0,4,1,18,2,57,39,0
51,2,92633,9,0,11,1,4,1,18,1,56,39,0
41,1,312230,9,2,4,0,2,1,10,1,60,39,1
35,4,484042,7,0,10,4,2,0,5,1,40,32,0
26,4,136602,15,4,4,3,2,0,71,0,61,39,0
49,4,145311,15,2,8,5,4,0,13,1661,12,39,1
57,4,79536,3,2,8,0,4,1,32,0,40,16,1
34,4,204140,1,5,1,2,4,1,21,0,40,39,0
47,4,494719,11,4,1,1,4,0,2599,1,47,39,0
48,6,178166,12,0,8,1,4,1,2793,0,40,39,0
58,4,212525,8,4,8,1,4,0,31,1,46,39,0
50,7,56806,12,0,10,1,4,1,13905,1,17,6,1
54,6,198303,11,0,7,1,4,1,33,2,59,39,0
29,4,60532,3,2,8,0,4,0,73,0,37,3,1
40,4,329546,15,2,12,0,4,1,25,1,49,39,0
33,4,97387,15,2,4,0,4,1,33,2,40,39,1
54,4,325533,14,2,13,0,4,1,25,0,40,21,1
28,4,122368,15,2,3,0,4,1,13,0,60,39,1
26,4,346110,11,0,13,4,1,0,21,0,40,39,0
41,4,153621,15,2,4,0,4,1,54,0,57,39,1
46,4,137894,15,2,4,0,4,1,27,0,59,39,1
31,4,258691,1,5,6,1,4,1,49,0,49,39,0
48,4,393078,5,5,3,1,3,1,27,0,7,4,0
53,4,165831,10,2,10,0,4,1,4,0,19,1,1
55,4,328228,12,2,4,0,4,1,53,2024,51,39,1
37,4,213782,15,1,8,0,4,1,84,5,51,39,1
35,4,84086,11,2,7,0,4,1,1,0,45,39,0
47,4,391825,4,6,8,2,2,0,2182,0,50,39,0
40,4,102162,15,2,12,0,4,0,6820,0,40,39,0
54,4,85162,15,2,12,0,2,1,17,1,40,39,1
54,5,119603,9,2,4,0,4,1,7452,0,61,39,1
32,4,42247,9,4,10,4,4,1,16,0,40,39,1
42,4,231732,11,2,7,0,4,1,9,1,40,25,0
47,4,124744,15,2,4,0,4,1,6737,0,51,39,1
58,5,145793,9,2,11,0,4,1,8266,0,40,39,0
44,4,172986,12,2,4,0,4,1,86,0,58,39,1
52,4,237319,12,2,4,0,4,1,15430,1,61,39,1
54,4,119734,9,2,4,5,4,0,10,1792,35,39,1
46,4,197725,15,2,3,0,4,1,17,0,37,39,0
40,4,194406,15,1,0,1,2,1,8110,4,52,39,1
65,4,399533,11,6,8,1,4,0,7200,0,45,39,0
36,4,162436,15,4,14,1,4,1,6016,2,64,39,1
37,4,205514,15,1,8,4,2,0,105,4,32,39,1
21,4,134253,15,2,1,3,4,0,8,0,12,39,1
25,4,61458,11,0,12,4,4,0,37,1,40,39,0
60,2,249174,15,2,3,3,4,1,20,1774,57,39,0
38,5,263198,9,2,12,0,4,1,7037,1892,57,39,1
37,5,156418,9,2,2,0,4,1,97,0,40,39,0
39,4,209324,15,1,8,0,4,1,10,5,51,39,1
39,4,323727,15,2,7,0,4,1,9,1,40,39,0
46,4,306698,9,2,12,0,4,1,9,0,44,39,1
56,6,24823,15,2,12,0,4,1,17,1,61,39,0
21,4,190028,9,4,8,3,4,1,51,1,7,26,0
82,0,176598,6,2,0,5,4,0,2694,1588,11,39,1
45,4,334458,9,0,4,1,4,1,4,0,47,39,0
58,2,482040,15,4,7,4,2,0,31,1,32,39,0
81,6,186600,11,2,3,0,4,1,12,0,54,39,0
22,4,334476,15,4,12,1,3,1,13,1,15,5,0
22,4,187773,1,4,8,3,4,0,6,1,40,39,0
37,5,243981,12,2,7,0,4,1,12,0,40,39,0
22,2,117828,1,4,11,3,4,1,1,3,7,39,0
40,4,248498,12,2,4,0,4,1,57,1,62,39,1
36,7,86213,9,2,10,0,4,1,40,1,50,39,1
45,4,181066,9,2,4,0,2,1,69,0,49,39,1
57,6,469347,15,5,9,1,4,1,100,1,40,39,0
52,4,242176,3,2,4,0,4,1,31,0,40,21,1
33,7,221497,9,0,4,2,2,0,32,0,40,39,0
