age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,4,113826,8,2,10,0,4,1,6892,2,52,39,1
21,0,122265,11,0,0,1,4,0,40,0,26,39,0
29,4,135118,11,4,7,2,2,1,23,0,40,39,0
38,4,137255,11,2,1,0,4,1,18,0,40,39,0
35,4,44224,12,5,10,1,4,1,20,1,51,39,1
29,4,118468,12,2,10,0,4,1,12,1,48,39,1
37,0,115126,15,4,0,4,4,0,36,1,40,39,0
20,4,214784,11,2,13,3,4,1,8,0,40,39,0
33,6,127684,12,2,8,0,4,1,15127,2,48,39,1
20,4,135292,15,4,8,3,4,1,19,1,27,39,0
37,7,127295,9,2,10,0,4,1,6,0,47,39,1
33,0,126513,15,0,8,1,4,0,11,0,40,39,0
39,2,113503,8,2,8,0,4,1,10,2,47,39,0
48,4,110814,12,2,1,0,4,1,4,1893,40,39,1
44,8,134413,11,2,11,0,4,1,3,0,40,39,0
18,6,175621,1,2,8,0,2,1,11,0,40,39,0
31,4,155891,11,4,8,1,4,1,1,0,46,39,0
38,4,144459,11,3,6,4,4,1,21,1,47,39,0
38,4,133327,11,3,8,4,4,1,16,1,40,32,0
20,6,119997,15,4,8,3,4,1,32,0,25,39,0
19,6,112544,13,2,5,0,4,1,31,1,63,26,0
28,4,136252,15,2,11,0,2,1,28,1,40,39,0
38,4,144405,11,4,8,2,1,1,22,1,40,39,0
37,4,67023,11,5,8,1,4,1,18,2,40,39,0
22,4,151638,11,4,8,1,4,0,13,2,40,39,0
31,4,123210,8,0,1,5,4,0,13,0,40,39,0
35,6,113634,1,2,8,0,4,1,4,1,47,39,0
22,4,152062,15,4,8,1,4,0,11,0,28,39,0
28,4,149270,11,4,8,3,4,1,32,2,40,39,0
40,4,129264,8,2,1,5,4,0,12,1778,40,39,1
35,4,127082,9,2,10,0,1,1,0,0,40,39,0
43,5,111562,9,2,10,0,4,1,8,1,47,39,1
20,0,134353,11,2,0,0,4,1,3,0,27,39,0
22,4,119578,13,2,5,0,4,1,26,1,40,39,0
27,4,184060,11,4,12,3,2,0,5,0,28,39,0
35,2,161466,11,5,8,2,3,1,9,0,40,21,0
37,4,142128,15,4,8,3,4,0,15,0,40,39,0
26,4,130158,1,2,7,0,4,1,17,0,40,39,0
42,4,129817,3,3,6,4,4,0,14,0,47,39,0
45,4,142820,11,0,8,1,4,0,11,0,40,39,0
32,4,123973,8,2,7,0,4,1,4,0,40,39,0
22,0,146125,2,4,8,1,4,1,15,1,47,39,0
36,4,131660,15,0,7,1,4,1,22,1,51,39,0
40,4,125148,11,5,3,4,4,0,13,0,40,39,0
42,4,59955,11,5,8,4,2,0,17,0,40,39,0
39,4,118054,15,2,8,0,4,1,11,2,28,39,1
32,4,122366,1,2,3,0,4,1,1,1,48,39,0
33,5,115427,9,2,10,0,4,1,17,1,47,39,1
39,4,183142,12,2,10,0,4,1,15067,0,52,39,1
27,4,142104,11,4,8,3,4,1,20,0,40,39,0
20,4,128237,11,2,8,0,4,1,11,1,28,39,0
21,0,134992,11,4,0,3,4,1,10,2,40,39,0
44,0,143816,1,5,0,2,2,0,48,0,40,39,0
38,0,125809,11,2,0,2,4,1,23,0,25,39,0
20,4,141222,1,4,8,3,4,1,9,0,29,39,0
30,6,120804,8,2,8,0,4,1,27,1,48,39,0
18,4,120671,1,2,8,0,4,1,4,1,47,39,0
20,4,160822,11,4,8,2,3,1,12,0,40,39,0
27,4,135656,11,0,8,1,4,1,14,1,40,39,0
29,5,118990,11,2,8,0,4,1,9,1,47,39,0
20,2,137801,11,4,8,3,4,0,12,2,38,39,0
38,6,154783,1,2,8,0,4,1,20,1,46,39,0
33,4,141436,11,4,8,3,4,1,15,1,40,39,0
31,4,76121,9,4,10,3,1,0,4,0,40,39,0
36,0,122204,11,2,0,0,4,1,21,1,28,39,0
33,6,130697,12,2,5,0,4,1,9,1,40,39,0
19,4,140917,11,0,8,1,4,1,6,1,40,39,0
24,4,125496,8,0,8,3,4,1,16,1,40,39,0
49,0,136050,11,6,0,1,4,0,9,0,29,39,0
43,4,114057,12,2,8,0,1,1,14953,1,40,39,1
42,4,121291,11,2,8,0,4,1,4,1,47,39,0
21,2,138603,10,2,10,0,4,1,5,0,40,39,1
46,6,56824,1,0,8,1,4,0,24,0,26,39,0
21,4,138327,15,4,8,1,4,1,3450,1,47,39,0
39,4,129931,8,4,8,3,4,0,15,0,40,39,0
42,4,107665,11,2,8,0,4,1,11,1,48,39,0
28,4,128952,7,0,12,1,4,1,20,1818,64,39,0
37,6,134931,7,2,8,0,4,1,12,1,25,39,0
23,4,60504,11,4,8,1,4,1,3,1,47,39,0
43,4,140339,11,4,8,4,4,0,27,0,40,39,0
28,4,122125,11,2,8,0,4,1,8,1,40,39,0
40,6,116950,12,2,10,0,4,1,13,3,47,39,1
27,4,124429,8,2,7,0,4,1,2,0,40,26,0
21,4,107199,8,2,3,0,4,1,13,3,40,39,0
38,4,143772,15,5,8,4,4,0,3,0,40,39,0
