age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
22,4,425756,15,2,14,0,3,1,28,1,40,2,1
63,4,162822,11,6,6,1,4,0,0,2,40,39,0
59,0,611483,11,3,0,2,1,1,15,0,40,23,0
54,4,116826,15,2,0,0,4,1,14,1,40,39,1
49,4,339983,13,4,12,1,4,1,38,7,49,39,0
28,4,372265,11,0,12,4,2,1,29,1,44,39,0
52,0,359031,15,0,0,1,1,0,12,3,40,39,0
33,1,275625,9,0,4,4,2,0,43,2,40,39,0
29,4,417847,11,5,1,2,4,0,25,1,40,39,0
38,4,203628,11,5,1,4,4,1,3380,1898,40,39,0
45,2,474462,9,6,1,4,2,0,6,1,40,39,0
43,0,379087,11,0,1,1,2,0,20,1,40,39,0
34,4,358069,7,0,12,4,1,0,24,0,40,3,0
35,4,295668,11,2,3,0,4,1,58,2042,40,39,1
31,6,159870,14,2,12,0,4,1,31,3,46,39,1
30,2,191511,11,2,11,0,4,1,61,2,40,39,1
44,4,416543,2,3,8,0,4,1,16,1,79,39,0
33,1,303241,11,2,1,0,4,1,68,2,40,39,0
34,1,270795,9,0,3,1,4,1,6,1781,40,39,1
42,1,298443,14,2,11,0,2,1,3820,1,50,21,1
28,4,424242,11,4,8,2,4,0,29,1,40,39,0
48,0,410514,11,0,0,2,1,0,11,2,40,39,0
42,4,451059,11,2,1,5,4,0,0,1787,40,39,1
30,6,426994,11,5,13,4,2,0,4,1,40,39,0
63,4,106540,9,2,12,0,4,1,6997,1777,40,39,1
30,4,358754,7,0,1,4,2,0,53,1,40,39,0
20,4,347480,6,2,3,0,4,1,123,0,40,39,0
17,6,169803,11,2,3,0,1,1,33,1,40,39,0
34,4,169415,9,4,6,3,4,1,24,1,40,39,0
26,4,351095,11,2,3,0,4,1,118,2,40,39,0
43,4,325120,3,4,10,1,4,0,1,0,44,39,0
42,0,58745,14,0,0,4,1,0,15,2,40,39,1
55,5,189055,4,2,10,0,4,1,55,2,56,39,0
47,2,367323,15,0,7,4,2,0,4,1,40,39,0
23,4,200245,8,4,13,1,4,1,1,5,45,39,0
36,2,400994,12,0,4,4,2,0,9,1,40,39,0
21,4,369517,11,4,6,3,2,1,2,3,40,39,0
40,4,337247,11,2,12,0,4,1,17,1843,45,39,1
61,4,173880,7,2,14,0,4,1,0,1,51,39,1
46,0,386544,12,5,0,4,1,0,6,2,40,39,0
33,2,489221,8,4,13,4,2,0,8,0,40,3,0
50,0,462054,15,3,0,2,2,0,3,1,40,2,0
27,4,337265,15,2,14,0,2,1,35,1,40,4,0
44,4,384773,15,3,1,2,3,0,19,0,35,23,0
46,4,435984,15,6,7,2,4,0,32,0,33,39,0
23,2,234541,11,2,3,0,4,1,84,4,40,39,1
36,4,354508,11,5,1,2,2,0,47,0,44,39,0
28,2,355958,1,6,13,4,2,0,0,0,40,39,0
30,2,167168,11,2,3,0,4,1,80,5,40,39,1
41,2,205898,12,3,0,4,1,0,19,1,40,39,0
26,4,317909,11,0,3,1,4,1,110,3,40,39,0
30,4,301797,0,0,5,2,4,1,75,2,29,39,0
40,4,137551,12,2,10,5,2,0,10,1,40,21,1
29,7,215349,8,5,0,4,2,0,13,3,40,39,0
23,2,188146,11,2,11,0,4,1,16,4,40,39,1
50,0,269131,10,2,10,0,4,1,15,1,40,19,1
62,4,380323,5,6,12,1,4,0,2,1899,40,39,0
28,2,381407,12,0,4,1,4,1,7886,1,49,39,0
53,6,246578,9,2,12,0,2,1,72,2,40,39,1
47,4,281424,11,5,8,4,2,0,61,0,40,39,0
50,4,399675,15,2,3,0,3,1,21,0,40,2,0
38,4,331832,7,4,4,1,4,0,81,2,66,39,0
35,4,386619,11,2,12,0,4,1,16,1889,45,39,1
39,2,412317,9,0,1,4,2,0,29,2,35,39,0
40,1,342792,9,0,3,1,4,1,49,0,40,39,0
30,2,179478,11,0,3,1,4,1,0,1,40,39,0
41,4,119634,15,2,3,0,3,1,23,0,40,4,1
54,7,74371,9,0,10,1,4,1,61,1,58,39,1
26,2,174524,11,2,3,0,4,1,23,2,46,39,0
27,4,420694,15,2,3,0,3,1,9,1,40,0,1
28,4,425004,15,4,2,1,4,0,82,4,45,39,0
21,4,172223,11,2,3,0,4,1,120,4,40,39,0
53,4,195880,11,5,1,4,2,0,14,1,40,39,0
48,0,407608,15,5,0,2,1,0,7,2,40,39,0
53,0,190304,0,0,0,1,4,0,11,2,23,39,0
24,4,36540,11,0,1,1,2,0,18,2,35,39,0
24,4,181483,8,4,10,1,4,1,8,5,60,39,0
26,2,407786,12,0,10,4,2,0,28,2,45,39,0
42,5,402606,14,0,10,1,4,1,53,1,46,4,1
22,2,218879,11,2,3,0,4,1,75,6,40,39,0
18,4,427553,11,4,5,3,4,1,3,2,58,39,0
65,4,75277,12,2,12,0,4,1,40,0,44,39,1
30,4,373734,11,2,5,0,4,1,12,3,56,39,0
23,0,402051,7,4,0,1,1,0,12,1,31,39,0
60,6,179913,11,2,12,0,1,1,20,0,45,13,1
30,2,172442,11,2,3,0,4,1,49,4,40,39,1
45,5,172732,14,2,10,0,4,1,84,2,51,39,1
21,4,168260,9,4,10,1,4,0,10,1,37,39,0
49,4,163659,11,2,3,0,4,1,43,1,51,39,1
31,5,242254,14,2,10,0,4,1,66,2,45,39,1
34,5,214717,9,2,12,0,3,1,64,2,40,39,1
34,2,411796,11,0,13,4,2,0,8,1,40,39,0
28,6,138086,4,2,3,0,4,1,99,8,40,39,1
40,5,47718,12,0,10,4,4,0,62,0,51,39,1
40,0,481930,15,0,13,4,2,0,9,1,40,39,0
31,4,346555,14,0,4,4,2,1,101,2,40,39,0
22,4,305493,6,2,3,0,4,1,101,5,40,39,0
25,6,180722,4,2,5,0,4,1,6,2,34,39,0
46,2,436228,10,5,10,1,1,1,72,0,40,39,1
26,4,398969,11,0,8,1,4,1,4,0,40,39,0
40,7,445187,9,2,10,0,4,0,20,1921,49,39,1
26,4,478944,0,4,8,2,4,1,5,2,46,13,0
30,4,350074,6,2,3,0,4,1,75,1,40,39,0
35,4,479554,15,0,3,1,4,1,3,0,40,39,1
40,4,151031,5,0,12,1,4,1,12,4,40,39,0
49,0,192437,10,2,13,5,1,0,2735,1796,40,6,1
27,6,83761,14,2,12,0,4,1,67,2,44,19,0
38,2,323686,12,0,4,1,2,1,101,2,40,39,0
46,6,198942,11,5,13,4,4,0,21,1,40,39,0
26,1,181494,9,0,4,1,2,1,72,1,40,39,0
25,4,486580,15,4,13,4,4,1,31,0,40,39,0
45,5,201011,14,2,10,5,4,0,58,2,57,28,1
57,5,292886,12,2,10,0,4,1,10,0,45,39,1
39,4,418759,15,2,14,0,2,1,12,3,40,39,0
37,4,363862,11,2,14,0,4,1,63,9,40,39,0
41,4,401459,8,4,13,1,4,1,1,0,40,39,0
47,5,50704,9,0,10,1,4,0,8,1816,40,39,1
22,4,377274,8,0,10,1,4,1,69,4,40,39,0
54,4,414084,15,2,3,0,3,1,7,1,40,13,1
33,7,124653,15,4,8,1,4,1,0,2,45,39,0
53,5,221943,9,2,4,0,2,1,42,2,40,39,1
45,4,277101,3,4,12,3,4,0,28,2,44,27,0
55,4,363086,11,0,13,0,4,1,10,2,40,39,1
36,2,219126,10,4,10,0,1,0,89,0,40,23,1
39,4,442073,9,4,4,0,4,0,1,2,40,26,1
50,4,266753,4,6,8,2,1,0,18,1,40,24,0
27,4,370861,15,2,1,0,1,1,87,4,40,14,0
27,1,359698,12,0,4,1,4,1,3126,1,40,39,1
30,7,43604,15,0,8,1,4,1,42,1,40,39,0
30,4,329592,14,0,10,4,4,0,48,3,35,2,0
39,4,138087,15,2,4,5,4,0,38,1943,35,39,0
46,1,371713,15,2,0,0,4,1,14,2,61,39,1
47,4,54832,11,2,13,0,4,1,27,1973,40,39,1
44,5,197173,9,0,10,0,4,1,59,1914,40,39,1
47,0,204957,15,2,11,0,4,1,9,2,47,39,1
19,0,412370,15,4,0,3,4,0,14,3,40,39,0
44,4,49265,12,2,10,5,4,0,4,1,40,31,0
43,5,236599,9,2,10,0,4,1,58,1,40,39,1
36,7,186843,9,2,10,0,4,1,20,2,40,20,1
43,6,152368,14,2,8,0,4,1,63,8,40,39,1
51,0,781574,15,3,0,2,1,0,8,0,40,20,1
49,6,289685,11,2,10,0,4,1,28,2,50,39,0
31,0,183436,15,3,0,4,2,0,3,4,40,39,0
29,4,411439,15,4,8,3,4,0,25,0,40,39,0
39,4,141317,11,2,4,5,4,0,23,0,36,39,1
53,1,142597,15,2,12,0,4,1,48,3,45,39,1
45,0,149919,1,4,0,4,2,0,16,0,40,16,0
31,7,435026,8,5,10,4,2,0,31,1,40,39,0
29,4,271043,11,0,3,1,4,1,83,1,40,39,0
25,6,172757,4,2,7,0,4,1,34,4,44,39,1
59,5,213159,15,2,12,0,2,1,10,3,40,39,0
28,4,391514,15,2,10,0,1,1,110,2,40,8,0
61,4,101773,7,2,12,0,4,1,19,1837,40,39,1
22,4,446937,15,4,2,1,4,1,62,3,44,39,0
33,4,235343,15,2,12,0,4,1,9,1,45,39,1
37,4,96201,9,2,4,5,4,0,79,1,30,39,1
24,4,185658,11,2,3,0,4,1,127,2,40,39,0
35,5,99342,9,2,12,0,4,1,17,0,40,39,1
30,2,478362,11,2,11,0,4,1,22,2062,80,39,1
30,4,110300,15,2,10,0,1,1,101,3,40,27,0
27,1,302992,9,0,10,1,2,1,73,1,40,39,0
49,6,215969,11,2,12,0,4,1,72,3,44,19,1
20,0,423298,15,4,0,3,4,0,6,2,29,39,0
53,1,258856,6,0,4,1,4,0,17,2,40,39,0
27,4,447926,0,4,8,3,4,1,4,2,12,39,0
30,2,386864,15,0,13,4,2,0,18,0,40,39,0
51,4,420865,5,2,14,0,4,1,2715,1881,40,21,0
45,2,412342,15,6,13,4,2,0,22,0,40,39,0
27,4,204662,7,0,4,1,4,0,106,2,65,39,1
54,5,226890,15,2,4,0,2,1,47,1,59,39,1
30,6,165972,15,2,11,0,4,1,0,2,69,39,1
29,1,314248,12,0,4,1,2,0,74,2,40,39,0
29,4,442155,11,5,7,4,4,0,45,0,40,39,0
45,0,136280,11,0,0,2,2,0,14,3,40,39,0
43,4,445489,15,0,12,0,4,1,19,2,45,39,0
27,4,324431,11,2,3,0,2,1,15,0,40,39,1
28,2,379316,6,0,4,1,2,0,43,1,40,39,0
27,5,176869,14,2,10,5,4,0,76,2,50,39,1
41,4,130479,11,0,1,4,2,0,62,2,40,39,0
45,0,174941,7,2,0,5,4,0,59,1,40,39,1
28,4,361634,11,5,3,0,4,1,33,2,40,39,0
26,4,417760,14,2,10,0,1,1,82,3,40,29,1
27,5,363536,9,0,4,1,4,1,43,1,43,39,0
35,4,411925,11,0,7,1,4,1,27,1,51,39,0
19,4,393431,11,4,14,3,2,1,38,0,57,39,0
64,4,355852,15,5,1,2,4,0,27,1,56,39,0
57,6,245869,5,2,12,0,4,1,24,3,50,39,1
56,4,196875,7,2,1,0,4,1,12,0,45,9,1
28,4,410891,11,4,14,1,2,1,21,4,62,39,0
