age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
51,4,284009,15,2,8,4,0,0,7,0,40,39,0
53,4,153215,9,2,3,0,4,1,20,1,47,39,1
54,5,140453,6,2,12,0,4,1,13,0,40,39,1
63,0,193796,0,6,0,4,4,0,57,0,40,39,0
20,4,47368,1,4,8,3,4,1,19,1,40,39,0
27,0,141947,0,5,0,4,4,0,17,1,40,3,0
20,4,516879,2,4,8,2,4,1,18,0,40,39,0
21,4,343016,15,4,3,3,4,0,14,0,40,39,0
19,0,314677,15,0,0,1,4,1,7,1,8,39,0
56,4,232346,15,2,3,0,4,1,12,0,40,39,1
47,6,124683,7,6,4,4,4,0,15,1,37,39,0
38,1,214568,11,5,7,4,2,0,20,0,40,39,0
57,4,283417,8,2,4,4,4,0,13,2,36,39,0
59,4,230792,8,0,7,1,4,0,45,1,40,39,0
56,1,64892,15,2,3,0,4,1,7348,0,40,39,1
32,4,394542,3,3,8,4,4,0,34,1,40,26,0
39,4,135000,12,2,10,0,4,1,15521,1,50,39,1
21,7,284827,15,4,8,1,4,1,30,0,40,4,0
21,4,162379,15,4,8,3,1,1,33,1,40,5,0
24,4,138441,15,3,1,1,1,0,13,1,18,39,0
34,4,170442,11,2,6,0,4,1,26,1,40,39,0
25,4,241418,9,4,10,3,4,1,5,1,36,39,0
48,2,196608,8,0,5,1,4,0,15,0,47,39,0
28,4,149119,0,0,12,4,4,0,2,1,40,39,0
36,8,192777,2,4,2,0,4,1,2685,1,64,39,0
50,4,235233,7,5,4,1,4,0,13,1,39,39,1
42,7,260151,11,0,3,2,4,1,8,1,49,6,0
24,2,443380,15,4,8,1,4,1,34,0,17,39,0
54,5,141321,14,2,10,0,4,1,8,2,50,39,1
23,4,178302,11,4,8,3,4,1,12,0,40,39,0
50,0,144545,8,2,10,5,2,0,59,1836,40,2,0
18,4,170998,15,4,8,3,4,1,38,2,21,39,0
22,2,494137,7,4,10,1,4,0,9,1,20,39,0
36,2,201919,0,2,4,5,4,0,19,0,35,39,0
31,4,322480,15,4,5,3,4,1,12,1,30,25,0
17,4,461581,15,4,12,3,4,0,37,1,40,39,0
30,4,184243,4,4,8,3,4,1,26,2,25,26,0
41,0,310041,14,2,0,5,4,0,33,0,40,3,0
20,4,418858,6,4,3,3,2,1,1,0,40,39,0
47,1,53081,15,6,4,4,4,0,54,0,40,2,1
44,5,52838,7,2,4,4,4,1,14628,2,40,39,0
69,4,132967,8,2,10,5,4,0,11,0,40,3,0
65,5,150379,8,2,4,0,4,1,4,1,46,39,1
48,2,155698,8,2,12,0,4,1,16,1,51,39,1
24,4,139655,9,4,13,3,4,0,0,0,40,39,0
41,2,153436,15,2,10,0,4,1,7,0,39,4,1
24,4,126889,15,4,8,2,4,1,51,0,62,6,0
23,7,78574,11,3,8,2,4,0,11,1,40,39,0
48,6,28791,8,2,5,0,4,1,20,0,16,39,0
67,6,122258,8,2,0,5,4,0,38,1770,40,3,1
48,4,100078,1,0,12,4,4,0,40,0,40,39,0
46,4,428514,11,3,9,4,4,0,15,1,23,39,0
69,8,351473,5,2,14,0,4,0,35,0,15,39,0
56,1,111166,15,6,4,4,4,1,10,0,76,39,0
28,2,262629,9,4,3,1,4,1,17,1,50,39,1
45,7,188471,9,4,8,4,1,1,25,1,37,2,0
23,4,129252,15,4,8,4,4,0,19,1,40,3,0
22,4,217819,15,4,12,3,4,0,0,1,40,39,0
