age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
46,4,119797,11,6,1,1,4,0,0,1721,50,26,0
26,4,116523,15,6,1,4,4,1,7,0,40,39,0
26,4,105083,9,2,10,4,2,1,2727,3,40,39,0
18,4,264616,9,4,1,3,4,0,14544,1,9,39,0
21,1,83245,15,2,3,2,4,1,47,10,48,39,0
32,4,163646,5,3,13,3,4,1,30,1,44,39,0
26,4,176678,9,2,8,1,2,0,13,3,50,31,0
45,7,70485,15,4,12,4,0,1,5,3,40,39,0
36,4,322239,11,2,10,4,4,1,98322,1,40,39,0
43,6,212632,9,4,12,1,4,0,3392,0,40,32,0
24,4,107287,9,4,8,1,4,0,16,1,40,26,0
25,4,330945,15,4,3,2,4,0,44,2,40,39,0
47,4,73309,11,2,4,0,4,1,14143,0,30,39,1
38,4,243387,9,0,10,0,4,1,8,0,49,39,1
65,4,112591,12,4,11,4,4,1,21,1721,40,39,0
24,1,152835,15,2,7,0,4,1,4,3,40,21,0
36,4,327016,11,2,3,2,4,0,41,2,19,33,0
64,4,27229,11,4,12,1,3,1,26,1,40,39,0
33,4,161093,11,2,10,0,2,1,21,0,50,39,0
35,1,379901,15,2,3,0,2,1,8,1,51,39,0
45,4,279648,15,2,3,0,2,1,7037,1,40,39,0
22,1,275935,15,2,3,0,2,1,47,3,40,39,0
41,4,79839,9,4,8,1,4,0,20,2008,62,39,0
28,4,317766,9,4,14,5,4,0,3156,1,23,39,0
39,4,164003,11,2,10,0,4,1,14,2,8,39,1
30,7,56470,15,2,3,4,0,1,4,3,29,39,0
45,4,275535,9,4,3,5,4,1,6,0,44,4,0
44,4,104536,9,4,8,1,2,1,24,2,7,39,0
26,4,287175,15,2,10,0,4,1,14,2,40,39,0
41,0,219283,9,4,0,3,4,0,48,0,5,33,0
20,4,107936,11,2,3,2,2,1,95158,4,29,39,0
26,4,141216,15,2,3,2,4,1,17,1,45,39,0
30,1,93789,15,2,3,0,4,1,2051,5,51,39,0
44,4,246153,11,2,10,0,4,1,14785,1,22,39,1
37,4,136220,15,2,8,0,2,1,10,1,50,39,0
17,4,294473,15,2,7,2,4,0,9,1,45,39,0
37,6,84913,11,2,10,4,4,1,7,0,40,39,1
28,4,456267,15,2,3,1,4,1,23,3,25,39,0
28,2,99468,11,2,14,2,3,0,0,3,40,1,0
22,2,183939,0,2,0,3,4,0,1722,5,46,39,1
33,1,264019,11,2,3,0,2,1,5,1,40,39,0
20,4,260999,11,2,3,0,4,1,24,5,49,39,0
21,4,102375,10,3,13,3,4,1,15151,6,34,39,0
38,4,34602,0,2,4,0,4,1,14630,5,22,39,1
41,6,169638,0,2,10,0,4,1,14595,0,19,2,1
23,4,92645,9,4,4,3,4,0,2,9,10,39,1
